W|thomas barton|saintemilion aoc|fr|r|??|bordeaux|saint-emilion|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terranoble|merlot|cl|r|merlot|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terranoble|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|terranoble|carmenere|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terranoble|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terranoble|cabernet sauvigon|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terranoble|chardonay|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terranoble|carmenere reserva terroir|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terranoble|carmenere gran reserva|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terranoble|carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terranoble|cabernet sauvignon reserva|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terra rossa|primitivo di manduria dop|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|terra mae|tinto|pt|r|??|alentejo|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terra del rei|tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|terra del rei|branco|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|terra del giglio|chianti docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|tempos de goes cabernet sauvignon|suave|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|tempos de goes cabernet sauvignon|demisec|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ted the mule|cuvee reserve branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|tarima|organico|es|r|??|alicante|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tarima|monastrell|es|r|monastrell|alicante|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tarefa|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tarapaca|sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|tarapaca|sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=62
W|tarapaca|sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=62
W|tarapaca|rose|cl|p|??|valle central|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|tarapaca|rose|cl|p|??|valle central|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=65
W|tarapaca|pinot noir|cl|r|pinot noir|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tarapaca|pinot noir|cl|r|pinot noir|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=67
W|tarapaca|pinot noir|cl|r|pinot noir|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=67
W|tarapaca|pinot noir|cl|r|pinot noir|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=67
W|tarapaca|merlot|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tarapaca|merlot|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=71
W|tarapaca|merlot|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=71
W|tarapaca|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|tarapaca|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=74
W|tarapaca|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=74
W|tarapaca|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=74
W|tarapaca|carmenere|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tarapaca|carmenere|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=78
W|tarapaca|carmenere|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=78
W|tarapaca|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tarapaca|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=81
W|tarapaca|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=81
W|tarapaca|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=81
W|tarapaca|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=81
W|tarapaca|merlot|cl|r|merlot|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tarapaca|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|tarapaca|carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tarapaca|carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=88
W|tarapaca|syrah|cl|r|syrah|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tarapaca|syrah|cl|r|syrah|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=90
W|tarapaca|sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=62
W|tarapaca|sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=62
W|tarapaca|pinot noir|cl|r|pinot noir|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=67
W|tarapaca|pinot noir|cl|r|pinot noir|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=67
W|tarapaca|pinot noir|cl|r|pinot noir|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=67
W|tarapaca|merlot|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=71
W|tarapaca|merlot|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=71
W|tarapaca|merlot|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=71
W|tarapaca|etiqueta negra|cl|r|??|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tarapaca|etiqueta negra|cl|r|??|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=100
W|tarapaca|etiqueta negra|cl|r|??|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=100
W|tarapaca|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=74
W|tarapaca|carmenere|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=78
W|tarapaca|carmenere|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=78
W|tarapaca|carmenere|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=78
W|tarapaca|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=81
W|tarapaca|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=81
W|tarapaca|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=81
W|tarapaca|pinot grigio|cl|w|pinot grigio|valle central|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|tapiz|malbec|ar|r|malbec|mendoza|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tapiz|cabernet franc|ar|r|cabernet franc|mendoza|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tapada do fidalgo|tinto|pt|r|??|alentejo|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tapada do fidalgo|tinto|pt|r|??|alentejo|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tapada do fidalgo|branco|pt|w|??|alentejo|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|tapada do fidalgo|branco|pt|w|??|alentejo|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=115
W|tapada do chaves|reserva|pt|r|??|alentejo|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tapada do chaves|branco|pt|w|??|alentejo|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|tapada do chaves|branco|pt|w|??|alentejo|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=118
W|tantehue|sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|tantehue|rose|cl|p|??|valle central|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|tantehue|rose|cl|p|??|valle central|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=121
W|tantehue|merlot|cl|r|merlot|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tantehue|merlot|cl|r|merlot|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=123
W|tantehue|merlot|cl|r|merlot|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=123
W|tantehue|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|tantehue|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=126
W|tantehue|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=126
W|tantehue|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=126
W|tantehue|carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tantehue|carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=130
W|tantehue|carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=130
W|tantehue|carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=130
W|tantehue|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tantehue|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=134
W|tantehue|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=134
W|talacasto|blend tinto|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|talacasto|blend tinto|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=137
W|talacasto|blend branco|it|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|talacasto|blend branco|it|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=139
W|tabali talud cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tabali talinay sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|tabali talinay pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|tabali talinay chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|tabali talinay chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=144
W|tabali pedregoso|viognier|??|w|viognier|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|tabali pedregoso|syrah|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tabali pedregoso|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|tabali pedregoso|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tabali pedregoso|merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tabali pedregoso|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|tabali pedregoso|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|t pacheca lagar no1|esp|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|syrah 22|22|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sutter home pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sutter home chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|sutter home chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=156
W|susana balbo tradicion malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|susana balbo signature|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|susana balbo signature cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|susana balbo crios|rose of malbec 2019|??|p|malbec|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|susana balbo crios malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|susana balbo crios malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=162
W|susana balbo brioso|brioso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|suolo rosso primitivo di|manduria|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|sulafricano millstream pinotage|pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sul africano robertson chenin blanc|2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sul africano golden kaan chenin blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sublinhado|regional lisboa tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|sublinhado regional lisboa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sublinhado regional lisboa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|suave|e bom|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|suave|black tower rivaner|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|suave|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|stefanello|arinarnoa|??|r|arinarnoa|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|starry night viognier|viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|starry night viognier|viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=176
W|starry night syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|starry night emocion syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|starry night emocion syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=179
W|starry night emocion pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|starry night emocion malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|starry night emocion garnacha|garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|starry night chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|sta carolina|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|sottano|blend|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|sottano malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sottano malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=187
W|sottano barrabas by judas cabernet franc|2019 tinto argentina|ar|r|cabernet franc|mendoza|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|soprasasso amarone della valpolicella|docg|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|soprasasso amarone della valpolicella|docg|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=190
W|sophenia altosur sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|somm pinot grigiomuscat lata|lata|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|somm lata|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|somm cabernet franc syrah lata|lata|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sombrero malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|solouro verde|doc branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|solandes chardonnay coleccion roble|roble|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|soave|classico 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sinzero sem alcool|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|sinzero sem alcool|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=200
W|sin reglas mil demonios pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sin palabras torrontes|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|sin palabras malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sin palabras malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=204
W|sin palabras chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|sin palabras cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sin palabras bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|signos malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|signos malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=209
W|signos de origen chardonnay emiliana|emiliana|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|sibaris|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|sexy fish sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|sexy fish|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|sexy fish malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sexy fish cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sexy fish blanc de blancs|blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sessantanni old vines primitivo di|manduria 2019|it|r|primitivo|puglia|manduria|2019|14.5|DOP|encorpado|carnes vermelhas, massas, queijos curados|seco
W|sericaia|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
