1. W|jeanneret|big fine girl riesling|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
21. W|jeanneret|wines big fine girl riesling|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
22. W|jeanneret|wines big fine girl riesling 2024 135 sc|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
23. W|jeanneret|wines cabernet malbec|??|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
24. W|jeanneret|wines cabernet malbec clare valley australia|au|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
25. W|jeanneret|wines hill river gewurztraminer|??|w|gewurztraminer|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
26. W|jeanneret|wines hill river gewurztraminer 2022 135 sc|??|w|gewurztraminer|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
27. W|jeanneret|wines matilda me rose 2025 125 sc|??|p|??|??|??|2025|12.5|??|leve|carnes brancas, saladas, antepastos|seco
28. W|jeanneret|wines rank file shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
29. W|jeanneret|wines rank file shiraz 2022 16 sc|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
30. W|jeanneret|wines rank file shiraz clare valley|au|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
31. W|jeanneret|wines stand deliver shiraz 2022 155 sc|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
32. W|jeanneret|wines temperance league shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
33. W|jeanneret|wines temperance league shiraz 2023 145 sc|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
34. W|jeannes|reserve|??|r|??|??|??|NV|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
35. W|jeannes|reserve|??|r|??|??|??|2019|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
36. W|jeannette|blanc|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
37. X
38. W|jeanniard|bourgogne aligote vieilles vignes|fr|r|??|bourgogne|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
39. W|jeanniard|chambolle musigny vieilles vignes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
40. W|jeanniard|gevreychambertin vieilles vignes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
41. W|jeanniard|morey saint denis 1er cru clos des ormes|??|r|??|??|??|2021|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
42. W|jeanniard|morey saint denis 1er cru clos des ormes|??|r|??|??|??|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
43. W|jeanniard|morey saint denis vieilles vignes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
44. W|jeanniard|remi 2015 morey st denis vieilles vignes|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
45. X
46. X
47. X
48. X
49. W|jeannine|boutin les vedias aop crozeshermitage rouge|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
50. W|jeannine|boutin les vedias aop crozeshermitage rouge|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=49
51. W|jeannine|boutin les vedias aop crozeshermitage rouge|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=49
52. X
53. W|jeannoel|gagnard batardmontrachet grand cru|??|r|??|??|??|2020|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
54. W|jeannoel|gagnard caroline lestime clos de tavannes santenay 1er cru|??|r|??|??|??|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
55. W|jeannoel|gagnard caroline lestime cremant de bourgogne grand lys|fr|s|??|bourgogne|??|2019|12|??|medio|aperitivos, frutos do mar, sushi|brut
56. W|jeannoel|gagnard caroline lestime cremant de bourgogne grand lys|fr|s|??|bourgogne|??|2020|12|??|medio|aperitivos, frutos do mar, sushi|brut
57. W|jeannoel|gagnard caroline lestime cremant de bourgogne rose grand lys|fr|p|??|bourgogne|??|2020|12.5|??|leve|carnes brancas, saladas, antepastos|seco
58. W|jeannoel|gagnard caroline lestime cremant de bourgogne rose grand lys|fr|p|??|bourgogne|??|2022|12.5|??|leve|carnes brancas, saladas, antepastos|seco
59. W|jeannoel|gagnard chassagne montrachet|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
60. W|jeannoel|gagnard chassagnemontrachet 1er cru caillerets|??|r|??|??|??|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
61. W|jeannoel|gagnard chassagnemontrachet 1er cru clos de la maltroie france|??|r|??|??|??|2005|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
62. W|jeannoel|gagnard chassagnemontrachet 1er cru clos maltroye|??|r|??|??|??|NV|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
63. W|jeannoel|gagnard chassagnemontrachet 1er cru les caillerets chardonnay|??|w|chardonnay|??|??|NV|12.5|1er cru|medio|peixes, frutos do mar, saladas|seco
64. W|jeannoel|gagnard chassagnemontrachet blanc 1er cru les caillerets|??|w|??|??|??|NV|12.5|1er cru|medio|peixes, frutos do mar, saladas|seco
65. X
66. W|jeannoel|gagnard grand lys cremant de bourgogne extra brut|fr|s|??|bourgogne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
67. W|jeannoel|gagnard hautes cotes de beaune blanc eguisons|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
68. W|jeannoel|gagnard hautescotes de beaune blanc sous eguisons|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
69. W|jeannoel|gagnard hautescotes de beaune blanc sous eguisons|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
70. W|jeannoel|gagnard hautescotes de beaune blanc sous eguisons|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
71. W|jeannoel|haton brut rose nv|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
72. W|jeannoel|haton cuvee de reserve brut|??|s|??|??|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
73. W|jeannoel|haton noble vintage brut|??|s|??|??|??|2018|12|??|medio|aperitivos, frutos do mar, sushi|brut
74. X
75. W|jeannot|2014 mag|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
76. W|jeannot|2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
77. W|jeannot|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
78. X
79. W|jeanpaul|balland la grand cuvee sauvignon blanc 2019 aoc|??|w|sauvignon blanc|??|??|2019|12.5|aoc|leve|peixes, frutos do mar, saladas|seco
80. W|jeanpaul|balland la grande cuvee sauvignon blanc 2018 aoc|??|w|sauvignon blanc|??|??|2018|12.5|aoc|leve|peixes, frutos do mar, saladas|seco
81. W|jeanpaul|balland le sancerre blanc sauvignon blanc 2021 aoc|fr|w|sauvignon blanc|sancerre|??|2021|12.5|aoc|leve|peixes, frutos do mar, saladas|seco
82. W|jeanpaul|balland le sancerre blanc sauvignon blanc 2022 aoc|fr|w|sauvignon blanc|sancerre|??|2022|12.5|aoc|leve|peixes, frutos do mar, saladas|seco
83. W|jeanpaul|balland le sancerre rose 2019 aoc|fr|p|??|sancerre|??|2019|12.5|aoc|leve|carnes brancas, saladas, antepastos|seco
84. W|jeanpaul|balland le sancerre rose 2021 aoc|fr|p|??|sancerre|??|2021|12.5|aoc|leve|carnes brancas, saladas, antepastos|seco
85. X
86. W|jeanpaul|balland sancerre blanc|fr|w|??|sancerre|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
87. W|jeanpaul|balland sancerre blanc|fr|w|??|sancerre|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
88. W|jeanpaul|balland sancerre blanc grande cuvee|fr|w|??|sancerre|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
89. X
90. W|jeanpaul|balland sancerre grande cuvee|fr|r|??|sancerre|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
91. W|jeanpaul|balland sancerre rouge|fr|r|??|sancerre|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
92. X
93. W|jeanpaul|benoit droin chablis 1er cru montee de tonnerre burgundy fr|fr|r|??|burgundy|chablis|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
94. W|jeanpaul|benoit droin chablis 1er cru montmains|fr|r|??|chablis|chablis|2021|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
95. W|jeanpaul|benoit droin chablis 1er cru montmains|fr|r|??|chablis|chablis|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
96. W|jeanpaul|benoit droin chablis 1er cru vaillons|fr|r|??|chablis|chablis|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
97. W|jeanpaul|benoit droin chablis 1er cru vaillons burgundy fr|fr|r|??|burgundy|chablis|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
98. W|jeanpaul|benoit droin chablis|fr|r|??|chablis|chablis|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
99. W|jeanpaul|benoit droin chablis|fr|r|??|chablis|chablis|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
100. W|jeanpaul|benoit droin chablis|fr|r|??|chablis|chablis|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
101. W|jeanpaul|benoit droin chablis|fr|r|??|chablis|chablis|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=100
102. W|jeanpaul|benoit droin chablis|fr|r|??|chablis|chablis|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
103. W|jeanpaul|benoit droin chablis|fr|r|??|chablis|chablis|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=102
104. X
105. W|jeanpaul|benoit droin chablis aoc|fr|r|??|chablis|chablis|2023|13.5|aoc|medio|carnes vermelhas, cordeiro, queijos curados|seco
106. W|jeanpaul|benoit droin chablis burgundy fr|fr|r|??|burgundy|chablis|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
107. W|jeanpaul|benoit droin chablis burgundy fr|fr|r|??|burgundy|chablis|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
108. W|jeanpaul|benoit droin chablis fourchaume 1er cru|fr|r|??|chablis|chablis|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
109. W|jeanpaul|benoit droin chablis grand cru les clos branco|fr|w|??|chablis|chablis|NV|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
110. W|jeanpaul|benoit droin chablis grand cru les clos hommage a louis|fr|r|??|chablis|chablis|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
111. W|jeanpaul|benoit droin chablis grand cru les clos hommage a louis burgundy fr|fr|r|??|burgundy|chablis|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
112. W|jeanpaul|benoit droin chablis grand cru valmur|fr|r|??|chablis|chablis|2006|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
113. W|jeanpaul|benoit droin chablis grand cru valmur|fr|r|??|chablis|chablis|2021|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
114. W|jeanpaul|benoit droin chablis grand cru valmur|fr|r|??|chablis|chablis|2022|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
115. W|jeanpaul|benoit droin chablis grand cru valmur|fr|r|??|chablis|chablis|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
116. W|jeanpaul|benoit droin chablis grand cru vaudesir|fr|r|??|chablis|chablis|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
117. W|jeanpaul|benoit droin chablis grand cru vaudesir burgundy fr|fr|r|??|burgundy|chablis|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
118. W|jeanpaul|benoit droin chablis grenouille grand cru|fr|r|??|chablis|chablis|2016|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
119. W|jeanpaul|benoit droin chablis grenouilles grand cru|fr|r|??|chablis|chablis|2017|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
120. W|jeanpaul|benoit droin chablis grenouilles grand cru|fr|r|??|chablis|chablis|2018|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
121. W|jeanpaul|benoit droin chablis grenouilles grand cru|fr|r|??|chablis|chablis|2020|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
122. W|jeanpaul|benoit droin chablis hommage a louis grand cru|fr|r|??|chablis|chablis|NV|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
123. W|jeanpaul|benoit droin chablis les blanchots grand cru|fr|r|??|chablis|chablis|2016|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
124. W|jeanpaul|benoit droin chablis les clos grand cru|fr|r|??|chablis|chablis|2007|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
125. W|jeanpaul|benoit droin chablis les clos grand cru|fr|r|??|chablis|chablis|2009|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
126. W|jeanpaul|benoit droin chablis les clos grand cru|fr|r|??|chablis|chablis|2010|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
127. W|jeanpaul|benoit droin chablis les clos grand cru|fr|r|??|chablis|chablis|2011|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
128. W|jeanpaul|benoit droin chablis les clos grand cru|fr|r|??|chablis|chablis|2012|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
129. W|jeanpaul|benoit droin chablis les clos grand cru|fr|r|??|chablis|chablis|2013|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
130. W|jeanpaul|benoit droin chablis les clos grand cru|fr|r|??|chablis|chablis|2014|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
131. W|jeanpaul|benoit droin chablis les clos grand cru|fr|r|??|chablis|chablis|2016|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
132. W|jeanpaul|benoit droin chablis les clos grand cru|fr|r|??|chablis|chablis|2018|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
133. W|jeanpaul|benoit droin chablis mont de milieu 1er cru|fr|r|??|chablis|chablis|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
134. W|jeanpaul|benoit droin chablis montee de tonnerre 1er cru|fr|r|??|chablis|chablis|NV|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
135. W|jeanpaul|benoit droin chablis montee de tonnerre 1er cru|fr|r|??|chablis|chablis|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
136. W|jeanpaul|benoit droin chablis montmains 1er cru|fr|r|??|chablis|chablis|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
137. W|jeanpaul|benoit droin chablis montmains 1er cru|fr|r|??|chablis|chablis|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
138. W|jeanpaul|benoit droin chablis premier cru fourchaume|fr|r|??|chablis|chablis|NV|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
139. W|jeanpaul|benoit droin chablis premier cru mont de milieu branco|fr|w|??|chablis|chablis|NV|12.5|premier cru|medio|peixes, frutos do mar, saladas|seco
140. W|jeanpaul|benoit droin chablis premier cru montmains|fr|r|??|chablis|chablis|2022|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
141. W|jeanpaul|benoit droin chablis premier cru vaillons|fr|r|??|chablis|chablis|2023|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
142. W|jeanpaul|benoit droin chablis vaillons 1er cru|fr|r|??|chablis|chablis|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
143. W|jeanpaul|benoit droin chablis vaillons 1er cru|fr|r|??|chablis|chablis|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
144. W|jeanpaul|benoit droin chablis vaillons premier cru|fr|r|??|chablis|chablis|2023|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
145. W|jeanpaul|benoit droin chablis vallions 1er cru|fr|r|??|chablis|chablis|NV|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
146. W|jeanpaul|benoit droin chablis valmur grand cru|fr|r|??|chablis|chablis|2016|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
147. W|jeanpaul|benoit droin chablis valmur grand cru|fr|r|??|chablis|chablis|2020|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
148. W|jeanpaul|benoit droin chablis vaucoupin 1er cru|fr|r|??|chablis|chablis|2019|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
149. W|jeanpaul|benoit droin chablis vaudesir grand cru|fr|r|??|chablis|chablis|2016|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
150. W|jeanpaul|benoit droin chablis vaudesir grand cru|fr|r|??|chablis|chablis|2020|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
151. W|jeanpaul|benoit droin chablis vaudesir grand cru|fr|r|??|chablis|chablis|2021|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
152. W|jeanpaul|benoit droin chablis vaudesir grand cru|fr|r|??|chablis|chablis|2022|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
153. W|jeanpaul|benoit droin chablis village|fr|r|??|chablis|chablis|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
154. W|jeanpaul|benoit droin chablis vosgros 1er cru|fr|r|??|chablis|chablis|2019|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
155. W|jeanpaul|benoit droin chablis vosgros 1er cru|fr|r|??|chablis|chablis|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
156. W|jeanpaul|benoit droin hommage a louis chablis grand cru|fr|r|??|chablis|chablis|2022|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
157. W|jeanpaul|benoit droin les clos chablis grand cru|fr|r|??|chablis|chablis|NV|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
158. W|jeanpaul|benoit droin les clos chablis grand cru|fr|r|??|chablis|chablis|2019|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
159. W|jeanpaul|benoit droin montee de tonnerre 1er cru|??|r|??|??|??|2010|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
160. W|jeanpaul|benoit droin vaudesir chablis grand cru|fr|r|??|chablis|chablis|2008|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
161. W|jeanpaul|benoit droin vaudesir grand cru|??|r|??|??|??|2017|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
162. X
163. W|jeanpaul|brun beaujolais blanc classic|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
164. W|jeanpaul|brun beaujolais blanc classic terres dorees|fr|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
165. W|jeanpaul|brun beaujolais blanc fut|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
166. W|jeanpaul|brun beaujolais blanc terres dorees|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
167. W|jeanpaul|brun beaujolais blanc vinification bourguignonne|fr|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
168. W|jeanpaul|brun beaujolais blanc vinification bourguignonne|fr|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=167
169. X
170. X
171. X
172. W|jeanpaul|brun beaujolais le ronsay|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
173. W|jeanpaul|brun beaujolais le ronsay|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=172
174. W|jeanpaul|brun beaujolais le ronsay|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=172
175. W|jeanpaul|brun bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
176. W|jeanpaul|brun chardonnay 2006 vitt vin|??|w|chardonnay|??|??|2006|12.5|??|medio|peixes, frutos do mar, saladas|seco
177. W|jeanpaul|brun chardonnay beaujolais blanc|fr|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
178. X
179. W|jeanpaul|brun cremant de bourgogne|fr|s|??|bourgogne|??|2021|12|??|medio|aperitivos, frutos do mar, sushi|brut
180. W|jeanpaul|brun cremant de bourgogne charme extra brut|fr|s|??|bourgogne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
181. W|jeanpaul|brun cremant de bourgogne extra brut charme|fr|s|??|bourgogne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
182. W|jeanpaul|brun domaine des terres dorees beaujolais blanc|fr|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
183. W|jeanpaul|brun domaine des terres dorees beaujolais blanc france|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
184. X
185. W|jeanpaul|brun domaine des terres dorees beaujolais lancien beaujolais france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
186. W|jeanpaul|brun domaine des terres dorees beaujolais lancien vieilles vignes|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
187. W|jeanpaul|brun domaine des terres dorees beaujolais lancien vieilles vignes beaujolais france|fr|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
188. W|jeanpaul|brun domaine des terres dorees cote de brouilly pissevieille|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
189. W|jeanpaul|brun domaine des terres dorees cotedebrouilly|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
190. W|jeanpaul|brun domaine des terres dorees fleurie beaujolais france|fr|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
191. X
192. W|jeanpaul|brun domaine des terres dorees frv 100 mousseux rose nv|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
193. X
194. W|jeanpaul|brun domaine des terres dorees morgon|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
195. W|jeanpaul|brun domaine des terres dorees morgon cote du py javernieres beaujolais france|fr|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
196. X
197. X
198. W|jeanpaul|brun domaine des terres dorees moulinavent les thorins|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
199. W|jeanpaul|brun domaine terres dorees beaujolais blanc|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
200. W|jeanpaul|brun fleurie beaujolais|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
201. X
202. X
203. W|jeanpaul|brun frv100 sparkling rose nv|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
204. X
205. X
206. W|jeanpaul|brun lancien beaujolais nouveau|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
207. X
208. X
209. X
210. X
211. W|jeanpaul|brun moulin a vent beaujolais|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
212. X
213. W|jeanpaul|brun terres dorees beaujolais blanc|fr|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
214. W|jeanpaul|brun terres dorees beaujolais blanc|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
