W|gonzalez|byass matusalem vors|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nectar pedro ximenez sherry nv|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass nectar pedro ximinez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nectar pedro ximinez sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass nectar px|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nectar px|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|gonzalez|byass nectar px|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=29
W|gonzalez|byass nectar px nv 15|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nectar px pedro ximenez 9 years nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe 30 year old pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe 30yo pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe pedro ximenex vors 30 anos 37|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe pedro ximenez 30|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe pedro ximenez 30|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=38
W|gonzalez|byass noe pedro ximenez 30 years old sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass noe pedro ximenez 30y 155|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe pedro ximenez 30y 155 37|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe pedro ximenez 30y sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass noe pedro ximenez 30yr old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe pedro ximenez 375mls|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe pedro ximenez jerezxerezsherry do|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass noe pedro ximenez sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass noe pedro ximenez sherry 30yo|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass noe pedro ximenez vors|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe pedro ximinez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe pedro ximinez 30yo vors sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass noe px|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe px pedro ximenez muy viejo vors 30 years nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass noe vors 30 year pedro ximenez sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass noe vors pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nutty solera oloroso|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass nv cristina medium nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nv matusalem vors cream 30 years|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nv noe pedro ximenez vors 30 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nv vina ab|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass nv vina ab amontillado anada when specified|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass oloroso alfonso|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass oloroso alfonso|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=62
W|gonzalez|byass oloroso matusalem sherry|us|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass palo cortado apostle 30 years sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass palo cortado apostoles sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass palomino fino amontillado vina ab jerez spain nv|es|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass palomino fino fino tio pepe jerez spain nv|es|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass palomino sherry alfonso oloroso seco|??|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass pedro ximenez nectar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass pedro ximenez noe sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass px nectar 07|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass px nectar 3 x|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass sherry alfonso olo seco|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry anada finest dry vintage collection palo|??|f|??|??|??|1975|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry apostoles medium vinum optimum rare signatum 30 yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry apostoles vors nv jerez spain|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry cristina medium|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry fino dos palmas|??|f|??|??|??|2021|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry fino una palma|??|f|??|??|??|2021|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry leonor palo cortado 12 yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry leonor palo cortadon nv jerez spain|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry matusalem 30 years old|us|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry matusalem vinum optimum rare signatum 30 yr|us|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry matusalem vinum optimum rare signatum 30 yr|us|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=84
W|gonzalez|byass sherry nectar pedro ximenez|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry nectar px pedro ximenez|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry noe pedro ximenez vinum optimum rare signatum 30 yr|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry solera 1847|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sherry solera 1847 cream|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass soberano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass soberano reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass soberano solera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass solera 1847|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass solera 1847|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=94
W|gonzalez|byass solera 1847|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=94
W|gonzalez|byass solera 1847 cream|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass solera 1847 cream nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass solera 1847 cream sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass solera 1847 cream sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=99
W|gonzalez|byass solera 1847 jerezxeressherry cream|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass solera 1847 pedro ximenez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass solera 1847 sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass sweet vermouth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gonzalez|byass tintilla de rota de finca moncola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass tio pepe|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass tio pepe cuatro palmas amontillado sherry wei trocken seco jerez spanien 12|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe cuatro palmas amontillado sherry wei trocken seco jerez spanien 3|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe cuatro palmas amontillado sherry wei trocken seco jerez spanien 6|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe dry fino|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe en rama|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass tio pepe en rama|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass tio pepe en rama|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|gonzalez|byass tio pepe en rama sherry|??|f|??|??|??|2023|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe en rama wild ferment sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=116
W|gonzalez|byass tio pepe fino|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=116
W|gonzalez|byass tio pepe fino|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=116
W|gonzalez|byass tio pepe fino en rama|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino en rama|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=120
W|gonzalez|byass tio pepe fino en rama|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=120
W|gonzalez|byass tio pepe fino en rama|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=120
W|gonzalez|byass tio pepe fino en rama|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=120
W|gonzalez|byass tio pepe fino en rama release sherry|??|f|??|??|??|2025|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino en rama sherry|??|f|??|??|??|2024|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino en rama sherry trocken halbe flasche jerez spanien 12|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino en rama sherry trocken halbe flasche jerez spanien 3|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino en rama sherry trocken halbe flasche jerez spanien 6|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino en rama sherry trocken jerez spanien 12|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino en rama sherry trocken jerez spanien 3|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino en rama sherry trocken jerez spanien 6|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=133
W|gonzalez|byass tio pepe fino tres palmas|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe fino una palma|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe jerezxerezsherry do bottles|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe palomino fino|??|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe palomino fino sherry|??|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe palomino fino sherry trocken jerez spanien 1|es|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe palomino fino sherry trocken jerez spanien 12|es|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe palomino fino sherry trocken jerez spanien 3|es|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe palomino fino sherry trocken jerez spanien 6|es|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe tres palmas fino sherry wei trocken seco jerez spanien 12|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe tres palmas fino sherry wei trocken seco jerez spanien 3|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tio pepe tres palmas fino sherry wei trocken seco jerez spanien 6|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass tres palmas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass una palma|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass una palma fino sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass una palmas fino|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vilarnau brut nature nv bottles|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|gonzalez|byass vilarnau brut nv bottles|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonzalez|byass vilarnau brut nv bottles|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=163
W|gonzalez|byass vilarnau cava rose brut nv|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonzalez|byass vilarnau demi sec nv bottles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gonzalez|byass vilarnau rosado nv bottles|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gonzalez|byass vina ab|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass vina ab 12 years amontillado seco jerezxeressherry|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=171
W|gonzalez|byass vina ab amontillado|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=171
W|gonzalez|byass vina ab amontillado|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=171
W|gonzalez|byass vina ab amontillado 12 anos|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado 12 yo|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado 165|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado nv|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado palomino 12 years nv|??|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado seco|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado seco|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=180
W|gonzalez|byass vina ab amontillado seco 12 year old|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado seco jerez spain|es|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|byass vina ab amontillado sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=184
W|gonzalez|byass vina ab amontillado sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=184
W|gonzalez|byass vinas del vero chardonnay macabeo somontano do bottles|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalez|byass vinas del vero crianza somontano doca bottles|??|r|??|??|??|2016|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass vinas del vero gewurztraminer coleccion somontano do bottles|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalez|byass vinas del vero luces blanco somontano do bottles|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalez|byass vinas del vero luces tinto somontano do bottles|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass vinas del vero tinto somontano do bottles|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|byass white vermouth|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalez|bypass px nectar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|elegante cream sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|elegante medium sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|matusalem oloroso 205|us|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|old port porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|old portugal porto engarrafado em|pt|f|??|??|??|1955|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalez|puras blanco etiqueta negra|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalez|puras blanco joven|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonzalez|puras clarete|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|puras crianza tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|puras tinto joven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalez|puras tinto reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalezbyass|alfonso oloroso seco nv|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalezbyass|tio pepe fino muy seco palomino|??|f|palomino|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonzalo|celayeta huella de aitana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|celayetael duende|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|celayetahuracan daniela|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|celayetahuracan daniela cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|celayetakimera ancestral|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonzalo|celayetakimera ancestral rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
