W|glendronach|12 years asia festival edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|12yo original 07|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|12yo original 1980s 43 wf91|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|12yo sherry cask|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|12yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|12yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=50
W|glendronach|12yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=50
W|glendronach|12yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|12yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|glendronach|12yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|glendronach|12yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|glendronach|12yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|glendronach|12yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|glendronach|12yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|glendronach|12yrs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|13 ar cask 887 551 at|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|13 ar port pipe 554 cask 3342|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|13 ars single cask|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|13 year old taiwan exclusive cask 5950|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|13yo|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|13yo 20032016 4034 batch 14 525|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|13yo 20032016 713 for green welly stop 565|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|13yo 20052019 887 551|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|14 ar cask 1504 555|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|14 year old olorosso strength 894|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|14 year old sauterne finish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|14 year old sauternes finish|??|d|??|??|sauternes|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|glendronach|14yo 20022016 1504 555|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|glendronach|15 46|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 ans revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 ar sherry cask 46|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15 ars sherry cask single malt|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|glendronach|15 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|glendronach|15 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|glendronach|15 year old 100 matured in sherry casks|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15 year old 1990s bottling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old 1990s bottling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|glendronach|15 year old 2000s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old billy walker|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old billy walker|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old billy walker with no bottle year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old highland scotland 46 volgift box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old moscatel finish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|glendronach|15 year old older bottling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=99
W|glendronach|15 year old revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=99
W|glendronach|15 year old revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=99
W|glendronach|15 year old revival lower fill level|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old revival no box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old sherry cask new design|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15 year old tawny port finish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year old xu beihong year of the horse gift set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 year sherry cask 1990s bottling|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=109
W|glendronach|15 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=109
W|glendronach|15 years old pedro ximenez and oloroso 46|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15 years old revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 years revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 years revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=114
W|glendronach|15 years revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=114
W|glendronach|15 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 yo 40 abv 100 matured in sherry casks highland malt|??|f|??|??|??|1995|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15 yo 40 abv 100 matured in sherry casks highland malt|??|f|??|??|??|1995|20|??|encorpado|queijos, sobremesas, chocolate|doce|=118
W|glendronach|15 yo 40abv 100 matured in sherry casks highland malt|??|f|??|??|??|1995|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15 yo revival 46 edt|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 yo revival 46 edt|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 yo revival neues design|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 yr revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15 yr sherry cask finished single malt|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15y|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=128
W|glendronach|15yo late 1990s early 2000s 100 matured in sherry casks 40|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15yo revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15yo revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|glendronach|15yo revival single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15yo sherry cask|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|15yo sherry cask|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=134
W|glendronach|15yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15yr revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|15yr revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=137
W|glendronach|15yrs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|16 year old platinum|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|16 year old platinum|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=140
W|glendronach|16 year old platinum|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=140
W|glendronach|16yo 19922009 39 608 wb 8852|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|16yo platinum 48 wb 8885|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|17 year old cask 3546|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|17 years single cask no 1484|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 46|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 ar allardice 46|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 ar single malt allardice 46|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 eves allardice|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 jahre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=154
W|glendronach|18 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=154
W|glendronach|18 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=154
W|glendronach|18 year old for premiumcask cask 1732|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old px sherry cask strength|??|f|??|??|??|1995|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|18 year old for the nectar cask 4767|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old kenny hsus selection cask 3831|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old allardice|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old allardice|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|glendronach|18 year old allardice sherry cask|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|18 year old billy walker|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old billy walker scratched tube|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old lot2 bottled in billy walker version|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|glendronach|18 year old tawny port finish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|glendronach|18 years single cask no 1425|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 years allardice|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 years allardice|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|glendronach|18 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=177
W|glendronach|18 years old allardice|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 years old allardice 46|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 years old distilled in with box|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 years old distillery collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 yr allardice|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 yrs single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18ans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18y|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18yo 19942013 311 px sherry puncheon 516 wb8767|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|18yo 19952014 3025 batch 10 511|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18yo 19962014 4767 for the nectar 541|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18yo allardice lot 1 46|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18yo highland|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18yr marsala cask finish 46|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|19 year old cask 2406|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old cask 1123|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old cask 467|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old cask 537|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old batch 11 cask 538|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old cask 3250|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old cask 3326|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old cask 4889|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old cask 5086|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old cask 77|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old cask 78|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old cask 79|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old for lmdw cask 4037|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old for twe cask 4028|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old px sherry cask strength|??|f|??|??|??|1995|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|19 year old tigers finest selection cask 1711|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 year old single cask boxed|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 years cask strength|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19 years single cask no 4941|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|glendronach|green dumpy bottle 43|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|47 years old single cask|??|r|??|??|??|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19682016 47yr 5837 batch 13 459|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19712009 38yr 483 batch 1 494|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|39 years old cask 712|??|r|??|??|??|1972|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|smws 963 17 year old 519 abv|??|r|??|??|??|1979|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|single cask 21 year old bottle 505618|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19892011 21 year old pedro ximenez sherry puncheon 3314|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|c1014 px puncheon 27 yo 509 batch 16 eur|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|cask 7006|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19902010 20 year old pedro ximenez sherry puncheon 3068|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|19902013 22 year old pedro ximenez sherry puncheon 2965|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|19902013 22 year old special bottling silver seal 6921|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|19902013 23 year old oloroso sherry butt 2248|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|19902013 23 year old pedro ximenez sherry puncheon 2195|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|19902020 30 year old pedro ximenez butt 9333|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|18 year old single cask oloroso sherry butt 2512 092010 201160|??|f|??|??|??|1991|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|c3183 513 20 ar px|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glendronach|199121 y sherry c5405|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glendronach|30 years old cask no 1088 px sherry puncheon 56 cs incl a free sample|??|f|??|??|??|1992|20|??|encorpado|queijos, sobremesas, chocolate|doce
