1. W|cardhu|12yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|cardhu|14yo diageo special releases 2021 555|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|cardhu|14yo sp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|cardhu|14yo special release 2021 555|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|cardhu|14yo special release 2021 555|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=28
30. W|cardhu|14yo special release 2021 555|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=28
31. W|cardhu|14yo special release 2021 single malt|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|cardhu|14yo special release 2021 single malt|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=31
33. W|cardhu|14yo sr 2021 555 0|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|cardhu|15 ani|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|cardhu|15 ani|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=34
36. W|cardhu|15 ani 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|cardhu|15 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|cardhu|15 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
39. W|cardhu|15 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
40. W|cardhu|15 jahre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|cardhu|15 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|cardhu|15 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=41
43. W|cardhu|15 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=41
44. W|cardhu|15 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=41
45. W|cardhu|15 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=41
46. W|cardhu|15 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|cardhu|15 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=46
48. W|cardhu|15 years 0 40 gb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|cardhu|15 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|cardhu|15 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=49
51. W|cardhu|15 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=49
52. W|cardhu|15 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=49
53. W|cardhu|15 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=49
54. W|cardhu|15 yl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|cardhu|15 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|cardhu|15 yo 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|cardhu|15 yo 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=56
58. W|cardhu|15ans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|cardhu|15y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|cardhu|15y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=59
61. W|cardhu|15yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
62. W|cardhu|15yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=61
63. W|cardhu|15yo vm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|cardhu|16 anni special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|cardhu|16 ars special release 2022 58|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|cardhu|16 eves 2022 special release 07 pdd 58|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|cardhu|16 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|cardhu|16 year old special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|cardhu|16 year old special release 2022 single malt|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
70. W|cardhu|16 year old special releases|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
71. W|cardhu|16 year special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|cardhu|16 years old special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
73. W|cardhu|16 years old special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=72
74. W|cardhu|16 years special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|cardhu|16 years special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
76. W|cardhu|16 years special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
77. W|cardhu|16 years special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
78. W|cardhu|16 yo special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|cardhu|16 yo the hidden paradise of black rock special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
80. W|cardhu|16y special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|cardhu|16yo special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|cardhu|16yo special release|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=81
83. W|cardhu|16yo special releases22 58 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
84. W|cardhu|18|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|cardhu|18 ani|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|cardhu|18 ani 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
87. W|cardhu|18 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
88. W|cardhu|18 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=87
89. W|cardhu|18 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=87
90. W|cardhu|18 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=87
91. W|cardhu|18 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=87
92. W|cardhu|18 jahre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|cardhu|18 y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
94. W|cardhu|18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|cardhu|18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=94
96. W|cardhu|18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=94
97. W|cardhu|18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=94
98. W|cardhu|18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=94
99. W|cardhu|18 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|cardhu|18 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=99
101. W|cardhu|18 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=99
102. W|cardhu|18 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=99
103. W|cardhu|18 years 0 40 gb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|cardhu|18 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|cardhu|18 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
106. W|cardhu|18 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
107. W|cardhu|18 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
108. W|cardhu|18 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|cardhu|18 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=108
110. W|cardhu|18a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|cardhu|18ans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|cardhu|18y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|cardhu|18yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|cardhu|18yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=113
115. W|cardhu|18yo 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
116. X
117. W|cardhu|18yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|cardhu|18yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=117
119. W|cardhu|22yr|??|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|cardhu|19912018 26 year old select cask|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|cardhu|200th 12 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|cardhu|special release 14 anos|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|cardhu|21 ani|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|cardhu|21 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|cardhu|21 years specia release 19912013|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|cardhu|700cc cest 12y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
129. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
130. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
131. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
132. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
133. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
134. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
135. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
136. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
137. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
138. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
139. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
140. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
141. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
142. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
143. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
144. W|cardhu|amber rock|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
145. W|cardhu|amber rock 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|cardhu|amber rock 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=145
147. W|cardhu|amber rock 07|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|cardhu|amber rock 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|cardhu|amber rock case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|cardhu|amber rock estojo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|cardhu|amber rock etui|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|cardhu|amber rock etui|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=151
153. W|cardhu|amber rock etui|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=151
154. W|cardhu|amber rock gb 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|cardhu|amber rock single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|cardhu|amber rock single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=155
157. W|cardhu|connoisseurs edition 12 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|cardhu|diageo 2020 annual release 11 yo|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|cardhu|diageo 2021 annual release 14 yo|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|cardhu|game of thrones house targaryen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|cardhu|game of thrones house targaryen gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
162. W|cardhu|gold 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|cardhu|gold game of thrones|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. W|cardhu|gold promo pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|cardhu|gold res house targaryen game of thrones 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
167. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
168. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
169. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
170. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
171. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
172. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
173. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
174. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
175. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
176. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
177. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
178. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
179. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
180. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
181. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
182. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
183. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
184. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
185. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
186. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
187. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
188. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
189. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
190. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
191. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
192. W|cardhu|gold reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=166
193. W|cardhu|gold reserve 0|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
194. W|cardhu|gold reserve 07|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
195. W|cardhu|gold reserve 070 ltr|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
196. W|cardhu|gold reserve 40|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
197. W|cardhu|gold reserve cask|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
198. W|cardhu|gold reserve cask selection|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
199. W|cardhu|gold reserve cask selection|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=198
200. W|cardhu|gold reserve cask selection 0|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
201. W|cardhu|gold reserve cu doua pahare|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
202. W|cardhu|gold reserve edicion juego de tronos casa targaryen|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
203. W|cardhu|gold reserve game of thrones|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
204. W|cardhu|gold reserve game of thrones|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=203
205. W|cardhu|gold reserve game of thrones house targaryen|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
206. W|cardhu|gold reserve game of thrones house targaryen|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=205
207. W|cardhu|gold reserve gb|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
208. W|cardhu|gold reserve got edition|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
209. W|cardhu|gold reserve haus targaryen 40|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
210. W|cardhu|gold reserve house targaryen 40 0|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
211. W|cardhu|gold reserve house targaryen game of thrones|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
212. W|cardhu|gold reserve house targaryen game of thrones limited edition|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
213. W|cardhu|gold reserve single malt|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
214. W|cardhu|gold reservegb 40|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
215. W|cardhu|gold rezerve|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|cardhu|gold rezerve|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=215
217. W|cardhu|highland speyside 12 year old 40 vol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|cardhu|juego de tronos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|cardhu|single malt 11yr 92|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|cardhu|single malt cardhu pure malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|cardhu|special cask|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
222. W|cardhu|special cask reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
223. W|cardhu|special cask reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=222
224. W|cardhu|special cask reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=222
225. W|cardhu|special release 14 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|cardhu|special release 2020 11 yo|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|cardhu|special release 2021 14 years|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|cardhu|special release 2022 16y natural cask strength 58c|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. X
230. W|cardhu|wine cask 200th anniversary 12 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|cardi|bs whip shots bundle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
232. W|cardi|razz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|cardi|selvatici|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|cardido|loureiro|??|r|??|??|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
235. W|cardiff|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
236. W|cardiff|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
237. W|cardiff|junto al mar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
