W|syrah|vdf|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|the firs|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|the bench vyd pax|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane sole di sicilia giordano vini|it|r|syrah|sicilia|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igt red|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igt molino a vento|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igt linea luna az vinicola vaccaro|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igt due mondi barone montalto|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igt cusumano|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igt branciforti dei bordonaro firriato|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igt barone montalto|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igt barone montalto|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco|=45
W|syrah|terre siciliane igt barone montalto|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco|=45
W|syrah|terre siciliane igt baglio normanno|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igt cusumano|it|r|syrah|sicilia|??|2024|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igt|it|r|syrah|sicilia|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igp paxmentis|it|r|syrah|sicilia|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igp nino gandolfo sicilia|it|r|syrah|sicilia|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igp molino a vento tenute orestiadi|it|r|syrah|sicilia|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igp molino a vento tenute orestiadi|it|r|syrah|sicilia|??|2023|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igp krio curto|it|r|syrah|sicilia|??|2016|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igp fina|it|r|syrah|sicilia|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igp fina|it|r|syrah|sicilia|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco|=56
W|syrah|terre siciliane igp biologico baglio di grisi|it|r|syrah|sicilia|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igp|it|r|syrah|sicilia|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane bio|it|r|syrah|sicilia|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|tellus rosso lazio igp falesco|??|r|syrah|??|??|2021|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|tellus lazio igt|??|r|syrah|??|??|2020|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|tellus falesco|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|tellus falesco|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=63
W|syrah|tellus falesco|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=63
W|syrah|tellus falesco|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=63
W|syrah|tatzes|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|tarapaca zp suho|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|talia bio|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|tair doc languedocroussillon frankreich|??|r|syrah|??|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|swartland mullineux|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|swartland mullineux|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|swartland damascene|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sv|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sv|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sv|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sv 3|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sur echalas vyd horsepower|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|superiore vr douro|pt|r|syrah|douro|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sumu kaw vineyard|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|stems|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|stems|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|stellenbosch damascene|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|stefano amerighi|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|stefano amerighi|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco|=84
W|syrah|steepside keermont|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sta rita hills patterson sebastiano piedrasassi|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sta rita hills patterson casa cassera piedrasassi|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|spring mountain 2021case only|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sphere du domaine gayda|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|souhaut|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sopron bio|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sonoma hillsides pax|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sonoma coast ramey cellars|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sonoma coast ramey cellars|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sonoma coast cep by peay|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sole di sesta sicilia doc cottanera|it|r|syrah|sicilia|??|2017|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|smash three|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|smagekasse 2|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|smagekasse|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sky vineyards|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|single vinyard|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|single vineyard turtles alpha estate|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|single vineyard|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|single vineyard|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|single vineyard|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|single vineyard|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=106
W|syrah|single block reserve bracco bosca|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|silber aoc valais c varonier sohne ag varen|??|r|syrah|??|??|NV|13.5|AOC|encorpado|carnes, massas, queijos|seco
W|syrah|signatur grand reserva|??|r|syrah|??|??|NV|13.5|Reserva|encorpado|carnes, massas, queijos|seco
W|syrah|sierre grand cru domaine des cretes grands crus du valais|??|r|syrah|??|??|2021|13.5|Grand Cru|encorpado|carnes, massas, queijos|seco
W|syrah|sierre grand cru christophe rey grands crus du valais|??|r|syrah|??|??|2023|13.5|Grand Cru|encorpado|carnes, massas, queijos|seco
W|syrah|sierre grand cru cave sinclair grands crus du valais|??|r|syrah|??|??|2022|13.5|Grand Cru|encorpado|carnes, massas, queijos|seco
W|syrah|sicilien doc sicilia paolini|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|sicilia luaddu igp lunaria orsogna bio demeter vegan|it|r|syrah|sicilia|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|sicilia illustrata terre siciliane igt madaudo|it|r|syrah|sicilia|??|2022|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|sicilia doc nadir x750ml rapitala|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|sicilia doc mandrarossa|it|r|syrah|sicilia|??|2023|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|sicilia doc mandrarossa|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|sicilia doc i sensi abbazia santa anastasia|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|sicilia doc bio nadir tenuta rapitala|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|sicilia doc bio nadir tenuta rapitala|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco|=121
W|syrah|sicilia doc baglio di pianetto|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|sicilia doc|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|shiraz enate|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|shiraz 3612|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|shiraz|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|shiraz|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sem enxofre adicionado|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sem enxofre adicionado|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|selverello cortona dal cero|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|selection bundle of|??|r|syrah|??|??|NV|12|??|encorpado|carnes, massas, queijos|seco
W|syrah|selection|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|selection weingut scheiblhofer burgenland cervene suche|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|selection|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|selection|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|selection|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|selection|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=137
W|syrah|select|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|select|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco|=139
W|syrah|select|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco|=139
W|syrah|sei mani|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|seco tinto fino 06 un chile arrivo 31|??|f|syrah|??|??|NV|19.5|??|encorpado|foie gras, queijos azuis, sobremesas|seco
W|syrah|seco tinto|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|scions of sinai swanesang|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|schist roundstone mullineux leeu|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|schist roundstone mullineux leeu|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=146
W|syrah|saverio faro|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sauer bodegas palmera|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|santomas|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|santo tomas|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|santa rita|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|santa barbara county qupe|us|r|syrah|santa barbara county|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sans sulfites|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sandlands|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|san giuseppe|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sampler que syrah syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|salquenen cave saintphilippe|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|salento igp sampietrana|??|r|syrah|??|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|saintleonard mariebernard gillioz reserve du chateau|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|saintleonard mariebernard gillioz|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|saintjoseph les lauves|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|saintjoseph les lauves|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=162
W|syrah|saintjean vdf|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|saintgothard domaine mettaz sarl reserve du chateau|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|saillon grand cru cave corbassiere grands crus du valais|??|r|syrah|??|??|2021|13.5|Grand Cru|encorpado|carnes, massas, queijos|seco
W|syrah|safra|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|s8 safra|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|s|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|russian river valley|??|r|syrah|??|??|2009|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rupestre|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rousanne|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rouge igp ctx de narbonne chateau camplazens|??|r|syrah|??|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|rouge elegance joseph castan|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rouge by haussmann|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rouge les jamelles|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rouge domaine blanc plume igp cotes catalanes|??|w|syrah|??|??|2020|12.5|IGP|encorpado|peixes, aves, saladas|seco
W|syrah|rouge|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rouge|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rouge|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rouge|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rouge|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rosu|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rosso terre siciliane igp|it|r|syrah|sicilia|??|NV|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|rosso igt lazio|??|r|syrah|??|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|rosso igt giuli tenuta villa rovere|??|r|syrah|??|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|rosso igt giuli tenuta villa rovere|??|r|syrah|??|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco|=186
W|syrah|rosso doc sicilia|it|r|syrah|sicilia|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|rosevin caleuche|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose ricome|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose lor du sud vignobles foncalieu|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose les classiques|??|p|syrah|??|??|2021|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose la vie safra|??|p|syrah|??|??|2024|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose jaja de jau|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose fleur de charlotte languedoc france|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose fleur de charlotte france|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose charles pasteur|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose bourdic pays doc|??|p|syrah|??|??|NV|12.5|DOC|medio|saladas, peixes, aves|seco
W|syrah|rose bib|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose amor vitae|??|p|syrah|??|??|2024|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose alcoholvrij|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose|??|p|syrah|??|??|2025|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose terrace edge|??|p|syrah|??|??|2022|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose cave de richemer languedoc frankrig|??|p|syrah|??|??|2016|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco|=205
W|syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco|=205
W|syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco|=205
W|syrah|rosato vallarom|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rosato coralium igt terre siciliane biologico quattrocieli|it|p|syrah|sicilia|??|2024|12.5|IGT|medio|saladas, peixes, aves|seco
W|syrah|rosato coralium igt terre siciliane biologico quattrocieli|it|p|syrah|sicilia|??|2024|12.5|IGT|medio|saladas, peixes, aves|seco|=210
W|syrah|rosato contessa filomarino|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rosato|??|p|syrah|??|??|NV|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rosado ombu de bracco bosca|??|p|syrah|??|??|2022|12.5|??|medio|saladas, peixes, aves|seco
W|syrah|rosa toscana igt stefano amerighi|??|r|syrah|??|??|2023|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|rosa stefano amerighi|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rosa stefano amerighi|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=216
W|syrah|rosa|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rosa|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=218
W|syrah|rosa|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rosa|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco|=220
W|syrah|rocks|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rocca|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|roblesenorio de fuente alamo|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rio lindo|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rinsed gusto 150gms|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|ried seeberg|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|ried seeberg|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|ried schafleiten burgenland leitner|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|ried schafleiten|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rhone saga|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|rhone|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve yamantievs|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve trocken fritz walter|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve salzl seewinkelhof|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve les grands ors les fils maye sa|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve domaine dussex|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve domaine des muses reserve du chateau|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve de la famille|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve cave du paradis|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|reserve aoc valais|??|r|syrah|??|??|2023|13.5|AOC|encorpado|carnes, massas, queijos|seco
W|syrah|reserve cave des tilleuls sa|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
