W|hagyomanyos|husos ragu 300 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=64
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=6
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=13
W|haha|hawkes bay pinot gris|??|w|pinot gris|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=13
W|haha|hawkes bay pinot gris a bottle|??|w|pinot gris|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay pinot gris 750|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay pinot gris wine delivered in a wine gift bag|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|haha|hawkes bay rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=76
W|haha|hawkes bay rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=76
W|haha|hawkes bay rose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|haha|hawkes bay rose|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|haha|hawkes bay rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|haha|hawkes bay rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|haha|hawkes bay rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|haha|hawkes bay rose|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=14
W|haha|hawkes bay sauvignon blanc|??|w|sauvignon blanc|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|hawkes bay syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=87
W|haha|hawkes bay syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay syrah|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|hawkes bay syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=7
W|haha|marl chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|marl pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marl sauv blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|marlborough brut cuvee nv|nz|s|??|??|marlborough|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|haha|marlborough brut rose nv|nz|s|??|??|marlborough|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|haha|marlborough chard|nz|r|??|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough chard|nz|r|??|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=99
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=108
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=108
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=11
W|haha|marlborough pinot noir|nz|r|pinot noir|??|marlborough|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=11
W|haha|marlborough pinot noir a bottle|nz|r|pinot noir|??|marlborough|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough pinot noir dozen deal|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough pnoir|nz|r|??|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=118
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=118
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=16
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|marlborough sauvignon blanc early release|nz|w|sauvignon blanc|??|marlborough|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=16
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=16
W|haha|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=16
W|haha|marlborough sauvignon blanc a bottle|nz|w|sauvignon blanc|??|marlborough|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|marlborough sblanc|nz|w|??|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|haha|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|haha|merlot 12x|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=135
W|haha|merlot hawkes bay|??|r|merlot|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|nelson|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|new zealand sauvignon blanc 13|nz|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=140
W|haha|pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=140
W|haha|pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=140
W|haha|pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=140
W|haha|pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=140
W|haha|pinot gris 2425|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|pinot gris|??|w|pinot gris|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|pinot gris|??|w|pinot gris|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=147
W|haha|pinot gris|??|w|pinot gris|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=147
W|haha|pinot gris 2425|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=146
W|haha|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|haha|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|haha|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|haha|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|haha|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|haha|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=157
W|haha|pinot noir marlborough new zealand|nz|r|pinot noir|??|marlborough|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|haha|pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|haha|pinot noir marlborough|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|reserve central otago pinot noir|nz|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=8
W|haha|reserve central otago pinot noir|nz|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=8
W|haha|reserve chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|reserve marlborough chardonnay|nz|w|chardonnay|??|marlborough|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|reserve marlborough pinot noir|nz|r|pinot noir|??|marlborough|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|reserve pinot noir central otago|nz|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|rohi hawkes bay sparkling rose nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|haha|rohi sparkling rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|haha|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|haha|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=172
W|haha|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=172
W|haha|rose|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|haha|rose|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=175
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=187
W|haha|sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=187
W|haha|syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|syrah hawkes bay new zealand|nz|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|syrah hawkes bay|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|wine company gi marlborough blanc|nz|w|??|??|marlborough|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|wine company gi marlborough blanc|nz|w|??|??|marlborough|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=194
W|haha|wine company gi marlborough blanc|nz|w|??|??|marlborough|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=194
W|haha|wine company gi marlborough blanc|nz|w|??|??|marlborough|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|wine company gi marlborough blanc|nz|w|??|??|marlborough|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=197
W|haha|wine company gi marlborough blanc|nz|w|??|??|marlborough|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=197
W|haha|wine company sauvignon blanc gi marlborough blanc|nz|w|sauvignon blanc|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|wine company sauvignon blanc gi marlborough blanc|nz|w|sauvignon blanc|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=200
W|haha|wine company sauvignon blanc gi marlborough blanc|nz|w|sauvignon blanc|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=200
W|haha|wine company sauvignon blanc gi marlborough blanc|nz|w|sauvignon blanc|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|wine company sauvignon blanc gi marlborough blanc|nz|w|sauvignon blanc|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=203
W|haha|wine company sauvignon blanc gi marlborough blanc|nz|w|sauvignon blanc|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=203
W|haha|wine company sauvignon blanc gi marlborough branco|nz|w|sauvignon blanc|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|wine company sauvignon blanc gi marlborough wei|nz|w|sauvignon blanc|??|marlborough|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|wine company sauvignon blanc marlborough branco|nz|w|sauvignon blanc|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|wine company sauvignon blanc marlborough wei|nz|w|sauvignon blanc|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|haha|winery marlborough pinot noir|nz|r|pinot noir|??|marlborough|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|haha|winery marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hahahaha|hawkes bay chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hahahaha|hawkes bay chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=212
W|hahn|pinot noir california|us|r|pinot noir|california|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hahn|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hahn|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hahn|merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hahn|pinot noir california|us|r|pinot noir|california|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hahn|appellation series chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hahn|appellation series chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|hahn|appellation gsm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|hahn|appellation series chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=220
W|hahn|appellation series gsm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
