W|garage|project zinger can|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine cinsault the soothsayers ferment|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co carignan lot 46 sold in lots|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co 215 bc ferment pais chile|cl|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co 215 bc pais|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co bagual vineyard|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co bagual vineyard calivoro|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co cabernet franc las higueras vineyard lot 102 chile|cl|r|cabernet franc|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co cabernet franc las huiguera vynrdmaipo lote 102|cl|r|cabernet franc|??|maipo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co cabernet franc pirque vynrdmaipo lote 100|cl|r|cabernet franc|??|maipo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co cabernet lot 74|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co cabernet sauvignon reelegido vineyard|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co cabernet sauvignon reelegido vineyard|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=36
W|garage|wine co cinsault soothsayer ferment bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co cru truquilemu carignan|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co cru truquilemu vineyard maule carignan|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co garage wine co cru truquilemu 98 puntos parker|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co higueras cabernet franc|??|r|cabernet franc|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co isidore vineyard maule valley semillon|??|w|semillon|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garage|wine co isidore vyrd semillon maule valley f5 gran cru 96pts lob nuevo|??|w|semillon|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garage|wine co las higares vineyard cabernet franc bot|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co las higueras cabernet franc lot112|??|r|cabernet franc|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co lot 125 sauzal vineyard|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co lot 126 bagual vineyard|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co lot 67 carignan maule valley|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co lot 83 carignan x mataro maule valley|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co lot 90 cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co old vine lot83|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co pais 215|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co pais 215 bc bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co pais 215 bc ferment|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co pais 215bc single ferment series|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co phoenix ferment|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co phoenix ferment pais carinena single ferment|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co phoenix ferment pais carinera bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co phoenix ferment pais secano interior cauquenes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co pirque vineyard caberner franc chile|cl|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co portezuelo vineyard|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co reelegido cabernet sauvignon maipo valley chile|cl|r|cabernet sauvignon|??|maipo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co reelegido vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co reelegido vineyard lot 111 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co renacido vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co renacido vineyard cabernet sauvignon bot|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co renacido vineyard lot 114 cabernet sauvignon nuevo cauquenes|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co renacido vineyard lot 114 dry farmed old vines cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co renacido vineyard maule cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co sauzal vineyard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co sauzal vineyard empedrado carignangarnachamataro|??|r|garnacha|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co semillon isidore vyd lot f5 old vine maule valley|??|w|semillon|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garage|wine co semillon lot f2|??|w|semillon|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garage|wine co single ferment cinsault|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co single ferment series 215 bc ferment pais maule valley|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co single ferment series pais 215 bc|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co tiene turismo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co truquilemu vineyard carignan lot 97|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co truquilemu vineyard carignan fieldblend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co truquilemu vineyard carinena field blend lot 97 empedrado|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co truquilemu vineyard carinera bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co truquilemu vineyard lot 107 dry farmed old vines field blend carignan 97 ptos parker|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co truquilemu vineyard syrah bot|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co vigno carignan|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co vigno carignan field blend maule valley|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co vigno maule valley 98 punto robert parker|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine co vigno maule valley 97 punto robert parker y 97ptos james suckling|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company bagual vineyard carinena garnacha mataro lot 96|??|r|garnacha|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company cinsault|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company cinsault soothsayer sf series|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company cru truquilemu carignan field blend|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company cru vigno|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company garnacha field blend lot 99|??|r|garnacha|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company isidore vineyard semillon|??|w|semillon|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garage|wine company las higueras cabernet franc lot 102|??|r|cabernet franc|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company pais 215 single ferment series|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company pais carinena single ferment series|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company phoenix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company reelegido vineyard cabernet sauvignon lot 101|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine company truquilemu carignan field blend lot 107|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine higueras cab franc|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine isidore vineyard semillon|??|w|semillon|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garage|wine la autoctona|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine las higueras vineyard cabernet franc lot 102|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine las higueras vineyard cabernet franc lot 112|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine las higueras vineyard cabernet franc lot 132|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine las higueras vineyard lot 132 cabernet franc|??|r|cabernet franc|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine pirque vineyard cabernet franc|??|r|cabernet franc|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine reelegido vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine revival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine tinto velasco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine vedoncho|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wine vigno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wines co cru truquilemu do empedrado carignan fieldblend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wines co pais chile|cl|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wines old vine field blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wines pirque vineyard cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|wines the soothsayers ferment cinsault|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|winter dipa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|x brujos hexcraft|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garage|x hercules amphitryon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garageland|pinot noir willamette valley|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garageland|pinot noir willamette valley|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=123
W|garageland|pinot noir willamette valley|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=123
W|garageland|rose of pinot noir|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garageland|willamette pinot noir 23|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garageland|willamette rose 24|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garageland|willamette valley pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garageland|willamette valley pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=129
W|garagewine|6 de 7|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|6 de 7 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|airen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|airen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=133
W|garagewine|airen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=133
W|garagewine|brujidera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|brujidera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|garagewine|brujidera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=136
W|garagewine|cencibel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|cencibel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=139
W|garagewine|garnacha|??|r|garnacha|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|garnacha tintorera|??|r|garnacha|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|garnacha tintorera|??|r|garnacha|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=142
W|garagewine|la autoctona|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|la forastera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|la forastera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=145
W|garagewine|tinto velasco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|tinto velasco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|garagewine|velasco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|verdoncho|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagewine|verdoncho|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=150
W|garagewine|verdoncho|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=150
W|garagista|malbec|??|r|malbec|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagista|malbec vin de bordeaux|fr|r|malbec|bordeaux|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagista|tannat cabernet franc vin duruguay|??|r|cabernet franc|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|cotier chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|cotier riesling|??|w|riesling|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|cotier sauvignon blanc|??|w|sauvignon blanc|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|eulalia bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|la stagiaire chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|la stagiaire sauvignon blanc|??|w|sauvignon blanc|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=162
W|garagiste|le stagiaire chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=166
W|garagiste|le stagiaire chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire chardonnay|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire chardonnay|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=169
W|garagiste|le stagiaire chardonnay|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=169
W|garagiste|le stagiaire gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire gewurztraminer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire gewurztraminer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=173
W|garagiste|le stagiaire gewurztraminer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=173
W|garagiste|le stagiaire grenache blanc|??|w|grenache|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire grenache blanc|??|w|grenache|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire grenache blanc|??|w|grenache|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire pinot gris|??|w|pinot gris|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|le stagiaire pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|le stagiaire pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=180
W|garagiste|le stagiaire pinot noir shop|??|r|pinot noir|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|le stagiaire pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|le stagiaire pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|le stagiaire pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|le stagiaire pinot noir mornington peninsula|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|le stagiaire pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|le stagiaire pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=187
W|garagiste|le stagiaire pinot noir|??|r|pinot noir|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|le stagiaire pinot noir|??|r|pinot noir|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=189
W|garagiste|le stagiaire rose|??|p|??|??|??|2018|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garagiste|merricks chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|merricks chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|merricks chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|merricks chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=194
W|garagiste|merricks chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|merricks chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=196
W|garagiste|merricks cuvee de coeur|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|merricks cuvee de coeur sparkling disg aug|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garagiste|merricks cuvee de coeur sparkling disg oct|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|garagiste|merricks pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|merricks pinot gris|??|w|pinot gris|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|merricks pinot gris|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|merricks pinot gris|??|w|pinot gris|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|merricks pinot gris|??|w|pinot gris|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|garagiste|merricks pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|merricks pinot noir|??|r|pinot noir|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|merricks pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|merricks pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|merricks pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|merricks pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=210
W|garagiste|merricks pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|merricks pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=212
W|garagiste|merricks rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garagiste|merricks rose|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|garagiste|merricks rose|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=215
W|garagiste|reboog vitis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|garagiste|sauternes|??|d|??|??|sauternes|2010|10|??|encorpado|sobremesas, queijos, frutas secas|doce
