W|blanco|lambrusco dell emilia sarsitano|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|garibaldino|lambrusco del|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|doc|lambrusco del fondatore lambrusco di sorbara|it|r|lambrusco|??|??|NV|11.5|DOC|medio|carne vermelha, queijo|seco
W|chiarli|lambrusco del fondatore fermentato in bottiglia spago cleto|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|wine|lambrusco del fondatore di sorbara doc sparkling|it|s|lambrusco|??|??|NV|11.5|DOC|leve|aperitivos, saladas|brut
W|chiarli|lambrusco del fondatore cleto|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|chiarli|lambrusco del fondatore cleto|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco|=22
W|italy|lambrusco del fondatore chiarli nv|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|1magnum|lambrusco del emiglia amabile|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|tinto|lambrusco decordi rosso|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|tinto|lambrusco decordi rosso|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco|=26
W|rosso|lambrusco decordi|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rosato|lambrusco decordi|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|bianco|lambrusco decordi|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|bianco|lambrusco decordi|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco|=30
W|corlo|lambrusco corleto villa di|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|doc|lambrusco contrada borgeletto|it|r|lambrusco|??|??|NV|11.5|DOC|medio|carne vermelha, queijo|seco
W|ermete|lambrusco concerto reggiano doc medici|it|r|lambrusco|??|??|NV|11.5|DOC|medio|carne vermelha, queijo|seco
W|frisante|lambrusco concerto|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|empaque|lambrusco con|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|oinoe|lambrusco colli di parma doc mestor|it|r|lambrusco|??|??|NV|11.5|DOC|medio|carne vermelha, queijo|seco
W|tinto|lambrusco cleto|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|cialdini|lambrusco|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|sweet|lambrusco chiarli|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rosso|lambrusco chiarli|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rosso|lambrusco chiarli|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|gala|lambrusco chiarli gran|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|chiarli|lambrusco chiarli gasparossa amabile doc cleto|it|r|lambrusco|??|??|NV|11.5|DOC|medio|carne vermelha, queijo|seco
W|bianco|lambrusco chiarli|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|rose|lambrusco chiarli 0 75|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|tinto|lambrusco chiarissimo|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rosado|lambrusco chiarissimo|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|blanco|lambrusco chiarissimo|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|branco|lambrusco chiarelli frisante|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|amabile|lambrusco chiarelli branco|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|dellemilia|lambrusco cella|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|nerodilambrusco|lambrusco ceci otello|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|blanco|lambrusco caviro tavernello lambrusco|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|tinto|lambrusco cavicchioli|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|tinto|lambrusco cavicchioli|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco|=55
W|igt|lambrusco cavicchioli rosso dolce dellemilia|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|rosso|lambrusco cavicchioli|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rose|lambrusco cavicchioli|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|rose|lambrusco cavicchioli|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco|=59
W|rosado|lambrusco cavicchioli|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|emilia|lambrusco cavicchioli dell|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|doce|lambrusco cavicchioli branco|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|branco|lambrusco cavicchioli|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|blanco|lambrusco cavicchioli|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|blanco|lambrusco cavicchioli|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco|=65
W|cavicchioli|lambrusco|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|cavicchioli|lambrusco|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco|=67
W|rose|lambrusco cantina di sorbara di modena|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|dop|lambrusco cantina di sorbara di modena il duomo|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|emilia|lambrusco cantina di sorbara bianco dell|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|canova|lambrusco|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|ch002|lambrusco campogrande igt emilia 750 cod|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|donati|lambrusco camillo|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|amabile|lambrusco calicella|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|tinto|lambrusco caldirola|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|branco|lambrusco caldirola|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|tinto|lambrusco ca di valle|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|manicardi|lambrusco ca del fiore|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|manicardi|lambrusco ca del fiore grasparossa doc|it|r|lambrusco|??|??|NV|11.5|DOC|medio|carne vermelha, queijo|seco
W|rocaforte|lambrusco branco dell emilia amabile|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|chiarelli|lambrusco branco|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|dolce|lambrusco botticello rosso|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|dolce|lambrusco botticello rosato|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|dolce|lambrusco botticello bianco|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|tinto|lambrusco borgofulvia|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rosado|lambrusco borgofulvia|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|tir06|lambrusco bonarda tirelli igt 750 cod|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|verdi|lambrusco bolle rosato giuseppe|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|rosato|lambrusco bolle|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|oinoe|lambrusco bocanegra|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|orlotti|lambrusco blanco dell emilia igt|it|w|lambrusco|??|??|NV|11.5|IGT|medio|peixe, frutos do mar|seco
W|italiano|lambrusco bianco sogno|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|emilia|lambrusco bianco igt|it|w|lambrusco|??|??|NV|11.5|IGT|medio|peixe, frutos do mar|seco
W|wochy|lambrusco bianco frizzante amabile marengo 0|it|s|lambrusco|??|??|NV|11.5|??|leve|aperitivos, saladas|brut
W|dolce|lambrusco bianco emilia igt|it|w|lambrusco|??|??|NV|11.5|IGT|medio|peixe, frutos do mar|seco
W|giacondi|lambrusco bianco emilia|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|dellemilia|lambrusco bianco dolce|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|igt|lambrusco bianco dellemilia|it|w|lambrusco|??|??|NV|11.5|IGT|medio|peixe, frutos do mar|seco
W|750cc|lambrusco bianco dell emilia igt dolce|it|w|lambrusco|??|??|NV|11.5|IGT|medio|peixe, frutos do mar|seco
W|antica|lambrusco bertolani rosso all|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|tinto|lambrusco bacco|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|tradizioni|lambrusco antiche|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rosso|lambrusco angeli e santi|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|blanco|lambrusco angeli e santi|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|dellemillia|lambrusco anella andreani|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rosu|lambrusco amabile terre verdiane|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rose|lambrusco amabile terre verdiane|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|cantina puianello|lambrusco amabile rosso dellemilia igt|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|cantina puianello|lambrusco amabile rosso dellemilia igt|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco|=109
W|tinto|lambrusco amabile ognigiorno|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|ceci|lambrusco amabile igt terre verdiane cantine|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|ariola|lambrusco amabile igp calicella|it|r|lambrusco|??|??|NV|11.5|IGP|medio|carne vermelha, queijo|seco
W|azienda agricola rinaldini|lambrusco amabile igp|it|r|lambrusco|??|??|NV|11.5|IGP|medio|carne vermelha, queijo|seco
W|guerr0|lambrusco amabile guado sul|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|guerr0|lambrusco amabile guado sul|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco|=115
W|manicardi|lambrusco amabile grasparossa di castelvetro doc|it|r|lambrusco|??|??|NV|11.5|DOC|medio|carne vermelha, queijo|seco
W|verdi|lambrusco amabile giuseppe|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|gusto|lambrusco amabile fiorini re|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|gusto|lambrusco amabile fiorini re|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco|=119
W|frizzante|lambrusco amabile emilia rosato igt riunite x|it|s|lambrusco|??|??|NV|11.5|IGT|leve|aperitivos, saladas|brut
W|und|lambrusco amabile emilia igt riunite x frizzante x 6|it|s|lambrusco|??|??|NV|11.5|IGT|leve|aperitivos, saladas|brut
W|und|lambrusco amabile emilia igt riunite x frizzante x 3|it|s|lambrusco|??|??|NV|11.5|IGT|leve|aperitivos, saladas|brut
W|frizzante|lambrusco amabile emilia igt riunite x|it|s|lambrusco|??|??|NV|11.5|IGT|leve|aperitivos, saladas|brut
W|riunite|lambrusco amabile emilia igt cantine|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|riunite|lambrusco amabile emilia igt cantine|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|testa|lambrusco amabile emilia igt biologico monterastelli val|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|brl09|lambrusco amabile emilia igt bertolani 750 cod|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|frizzante|lambrusco amabile emilia bianco igt riunite x|it|s|lambrusco|??|??|NV|11.5|IGT|leve|aperitivos, saladas|brut
W|rosso|lambrusco amabile diamond|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rose|lambrusco amabile diamond|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|bianco|lambrusco amabile diamond|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|ceci|lambrusco amabile dellemilia igt terre verdiane|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|ceci|lambrusco amabile dellemilia igt formato 75 terre verdiane 1813 cantine|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|vol|lambrusco amabile decordi|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|cavicchioli|lambrusco amabile contessa matilde|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|romagna|lambrusco amabile chiarli x1 emilia|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|cantina messori sweet sparkling red|lambrusco amabile|it|s|lambrusco|??|??|NV|11.5|??|leve|aperitivos, saladas|brut
W|verdi|lambrusco amabile bolle igt giuseppe|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|igt|lambrusco amabile bolle|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|czerwone|lambrusco amabile 27 opere igt|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|igt|lambrusco amabile 27 opere|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|rinaldini|lambrusco amabile igp|it|r|lambrusco|??|??|2022|11.5|IGP|medio|carne vermelha, queijo|seco
W|amabile|lambrusco|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|amabile|lambrusco|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco|=144
W|amabile|lambrusco|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco|=144
W|brl20|lambrusco al fred extra dry emilia igt bertolani 750 cod|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|lambrusco|lambrusco|it|r|lambrusco|??|??|2024|11.5|??|medio|carne vermelha, queijo|seco
W|lambrusco|lambrusco|it|r|lambrusco|??|??|2024|11.5|??|medio|carne vermelha, queijo|seco|=148
W|donati|lambrusco camillo|it|r|lambrusco|??|??|2023|11.5|??|medio|carne vermelha, queijo|seco
W|donati|lambrusco camillo|it|r|lambrusco|??|??|2019|11.5|??|medio|carne vermelha, queijo|seco
W|lambrusco|lambrusco|it|r|lambrusco|??|??|1976|11.5|??|medio|carne vermelha, queijo|seco
W|emilia|lambrusco 075 zarea bella vita|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|rose|lambrusco 075 marchesini|it|p|lambrusco|??|??|NV|11.5|??|leve|saladas, peixes|seco
W|l|l|it|r|lambrusco|??|??|NV|11.5|??|medio|carne vermelha, queijo|seco
W|lambruschi ottaviano costa marina vermentino colli di luni|doc vino bianco|??|w|vermentino|??|??|2022|12.5|DOC|leve|peixe, frutos do mar|seco
X
X
X
W|lambroosklyn|koi|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
X
W|lambrook stellar pinot gris|gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lambrook|sparkling pinot noir|??|s|pinot noir|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrook spark|sparkling pinot noir|??|s|pinot noir|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrook spark|sparkling nv|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrook seed shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambrook seed sauvignon|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lambrook seed pinot noir|rose|??|p|pinot noir|??|??|NV|13.5|??|leve|saladas, peixes|seco
W|lambrook seed pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lambrook seed pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=169
W|lambrook seed pinot gris|gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lambrook seed chardonnay|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lambrook seed chardonnay|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=172
W|lambrook seed chardonnay|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=172
W|lambrook plant pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lambrook plant chardonnay|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lambrook emerson|sparkling|??|s|??|??|??|2017|12|??|leve|aperitivos, saladas|brut
W|lambrook chardonnay|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
X
W|lambroisie|lambroisie|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, queijo|seco
W|lambro lambrusco dellemilia|igt prati al sole|it|r|lambrusco|??|??|NV|11.5|IGT|medio|carne vermelha, queijo|seco
W|lambro dmc lambrusco emilia|igp podere giardino|it|r|lambrusco|??|??|NV|11.5|IGP|medio|carne vermelha, queijo|seco
W|lambro|prati al sole|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
X
W|lambrini very cherry slightly|sparkling fruit wine can multipack|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini very cherry slightly|sparkling fruit wine can|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini very cherry slightly|sparkling fruit wine|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini strawberry lightly|sparkling wine case|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini strawberry lightly|sparkling wine|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
W|lambrini so strawberry slightly|sparkling fruit wine can multipack|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini so strawberry slightly|sparkling fruit wine can|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini so strawberry slightly|sparkling fruit wine|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini rhubarb ginger slightly|sparkling fruit wine can multipack|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini rhubarb ginger slightly|sparkling fruit wine can|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini rhubarb ginger slightly|sparkling fruit wine|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini original lightly|sparkling perry|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini mango slightly|sparkling fruit wine can multipack|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini mango slightly|sparkling fruit wine can|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini mango slightly|sparkling fruit wine|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini lightly|sparkling original case|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini lightly|sparkling original|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini lightly|sparkling original|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut|=202
W|lambrini cherry lightly|sparkling wine case|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini cherry lightly|sparkling wine|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambrini cherry lightly|sparkling fruit wine|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
X
X
W|lambre orange|wine|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco
W|lambre liquoreux|blanc|??|w|??|??|??|2004|12.5|??|leve|peixe, frutos do mar|seco
X
W|lambrays vosneromanee|1er cru les beaux monts|??|r|??|??|??|NV|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lambrays pulignymontrachet|1er cru les folatieres|??|r|??|??|??|2023|13.5|Grand Cru|medio|carne vermelha, queijo|seco
X
W|lambrays nuitssaintgeorges|1er cru la richemone|??|r|??|??|??|2023|13.5|Grand Cru|medio|carne vermelha, queijo|seco
X
X
X
W|lambrays|moreysaintdenis|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco
W|lambrays|clos des lambrays grand cru|??|r|??|??|??|2010|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lambrays|clos des lambrays grand cru|??|r|??|??|??|2009|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lambrays|clos des lambrays grand cru|??|r|??|??|??|2008|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lambrays|clos des lambrays grand cru|??|r|??|??|??|2005|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lambrays|clos des lambrays grand cru|??|r|??|??|??|2004|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lambrays|clos des lambrays grand cru|??|r|??|??|??|2002|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lambrays|clos des lambrays grand cru|??|r|??|??|??|1998|13.5|Grand Cru|medio|carne vermelha, queijo|seco
X
X
W|lamborn howell mountain cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|2005|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards zinfandel the pupil vintage 2011|lamborn family|??|r|zinfandel|??|??|2011|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards zinfandel the diamond anniversary 2012|lamborn family|??|r|zinfandel|??|??|2012|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards zinfandel howell mountain usa 2019|lamborn family|us|r|zinfandel|??|??|2019|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards zinfandel howell mountain usa 2015|lamborn family|us|r|zinfandel|??|??|2015|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards zinfandel howell mountain usa 2013|lamborn family|us|r|zinfandel|??|??|2013|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards maryhana rose howell mountain usa 2018|lamborn family|us|p|??|??|??|2018|13.5|??|leve|saladas, peixes|seco
W|vineyards maryhana rose howell mountain usa 2017|lamborn family|us|p|??|??|??|2017|13.5|??|leve|saladas, peixes|seco
W|vineyards maryhana rose howell mountain usa 2016|lamborn family|us|p|??|??|??|2016|13.5|??|leve|saladas, peixes|seco
W|vineyards howell mountain zinfandel the roots vintage napa valley 2018|lamborn family|us|r|zinfandel|napa|??|2018|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon vintage x proprietor grown 2012|lamborn family|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon vintage viii proprietor grown 2010|lamborn family|??|r|cabernet sauvignon|??|??|2010|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon vintage v proprietor grown 2007|lamborn family|??|r|cabernet sauvignon|??|??|2007|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon vintage ix proprietor grown 2011|lamborn family|??|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon vintage ii proprietor grown 2004|lamborn family|??|r|cabernet sauvignon|??|??|2004|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|vineyards cabernet sauvignon howell mountain usa 2016|lamborn family|us|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
