W|ghost|block cabernet sauvignon single vineyard napa valley|us|r|cabernet sauvignon|california|napa valley|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=51
W|ghost|corner pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=51
W|ghost|corner pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=51
W|ghost|corner pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=51
W|ghost|corner pinot noir|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner pinot noir new|??|r|pinot noir|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner pinot noir diners|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner pinot noir case of bottles|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner pinot noir cederberg|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner pinot noir elim|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=62
W|ghost|corner sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=62
W|ghost|corner sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=62
W|ghost|corner sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=62
W|ghost|corner sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=62
W|ghost|corner sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner sauvignon blanc case of bottles|??|w|sauvignon blanc|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner semillon|??|w|semillon|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner semillon|??|w|semillon|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=70
W|ghost|corner semillon|??|w|semillon|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=70
W|ghost|corner semillon|??|w|semillon|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=70
W|ghost|corner semillon|??|w|semillon|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=75
W|ghost|corner syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=75
W|ghost|corner syrah case of bottles|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner the bowline|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner the bowline|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=79
W|ghost|corner the bowline|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=79
W|ghost|corner the bowline|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=49
W|ghost|corner the bowline|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=49
W|ghost|corner the bowline sauvignon blanc semillon|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner wf sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner wild ferment sauvignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|corner wild ferment sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner wild ferment sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=87
W|ghost|corner wild ferment sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=87
W|ghost|corner wild ferment sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=87
W|ghost|corner wild ferment sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner wild ferment sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner wild ferment sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=92
W|ghost|corner wild ferment sauvignon blanc case of bottles|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner wild fermentsauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|corner wines the deep limerich soil with plentiful slate and gravel deposits in elims maritime climate gives rise to exceptional white wines shop now|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|energy bubblicious strawberry splash|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|energy electric limeade|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|energy ghost zero sugar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|energy merica pop|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|energy orange cream|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|energy original|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|energy original colada|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|energy strawberry watermelon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|energy warhead|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|energy welchs grape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|friends|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|fyrfadssstage 812|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|fyrfadssstage 814|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|fyrfadssstage 816|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|fyrfadssstage 818|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|hollow rye|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|horse cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|horse cabernet sauvignon|??|r|cabernet sauvignon|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|horse napa cabernet|us|r|??|california|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|horse napa cabernet apparition|us|r|??|california|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|house|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|hull cabernet sauvigon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|hull cabernet sauvigon 6 cs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|hull cabernet sauvigon 6 cs|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|hull red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|in a bottle ginetical royal edition wit belgie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|in a bottle ginetical royal edition wit belgie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=122
W|ghost|in a bottle ginetical royal edition wit belgie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=122
W|ghost|in a bottle ginetical the wooded edition belgie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|in the machine 16|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|in the machine chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|in the machine chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|in the machine chenin blanc|??|w|chenin blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|in the machine chenin blanc|??|w|chenin blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|in the machine freaky friday|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|in the machine malbecviognier|??|w|malbec|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|in the machine sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|in the machine sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|in the shell sac2045 ver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|ghost|in ze bottle val de combres naturvin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|mini makeup tray|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|of yotei playstation 5 latam|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|old wine zinfandel klinker brick|??|r|zinfandel|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|orchid|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pepper|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines by lm martini chardonnay weiwein wein trocken kalifornien|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|pines by lm martini chardonnay weiwein wein trocken kalifornien|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=143
W|ghost|pines by lm martini chardonnay weiwein wein trocken kalifornien|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=143
W|ghost|pines cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines cabernet sauv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=148
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines cabernet sauvignon 750 mlt 145|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines cabernet sauvignon napasonoma|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines cabernet sauvignon winemakers blend|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines chardonay 750 mlt 145|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|pines chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=165
W|ghost|pines chardonnay|??|w|chardonnay|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|pines chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|pines merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|ghost|pines merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|ghost|pines merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|ghost|pines merlot|??|r|merlot|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines merlot|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|ghost|pines pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|ghost|pines pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|ghost|pines pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|ghost|pines pinot noir|??|r|pinot noir|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines pinot noir winemakers|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines pinot noir winemakers blend|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=183
W|ghost|pines red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=183
W|ghost|pines red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=183
W|ghost|pines red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=183
W|ghost|pines red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=183
W|ghost|pines red blend|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines red blend|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines winemakers blend cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines winemakers blend cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=191
W|ghost|pines winemakers blend chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|pines zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pines zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=194
W|ghost|pines zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=194
W|ghost|pines zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=194
W|ghost|pines zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=194
W|ghost|pines zinfandel|??|r|zinfandel|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|porter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pumpkin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|pumpkin lantern|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock climat pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock climat pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock estate chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|rock estate chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|rock estate chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=207
W|ghost|rock estate pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|rock estate pinot meunier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock estate pinot meunier|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock estate pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock estate pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock estate pinot noir|??|r|pinot noir|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghost|rock estate riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghost|rock estate riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=215
