W|leaf|street cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lead|tree shoot 80|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lead|pod seeds 80g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leacocks|vintage tinta negra madeira|??|f|??|??|??|1995|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|verdelho|??|r|??|??|??|1971|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leacocks|sao joao doce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leacocks|saint john madeira|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|rainwater madeira|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|rainwater madeira|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce|=54
W|leacocks|rainwater|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|leacocks|boal solera|??|r|??|??|??|1904|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leacocks|5year rich madeira|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|5 yr old sercial madeira|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|tinta negra colheita madeira|??|f|??|??|??|2001|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|tinta negra doce vintage madeira|??|f|??|??|??|1995|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|tinta negra doce vintage madeira|??|f|??|??|??|1995|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce|=62
W|leacocks|tinta negra doce vintage madeira|??|f|??|??|??|1995|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce|=62
W|leacocks|tinta negra doce vintage madeira|??|f|??|??|??|1995|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce|=62
W|leacocks|verdelho vintage madeira|??|f|??|??|??|1973|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|sercial vintage madeira|??|f|??|??|??|1969|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|bual vintage madeira|??|f|??|??|??|1966|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|madeira bastardo|??|f|??|??|??|1927|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacocks|10 yr old bual madeira|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacock|rainwater madeirs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|leacock|madeira velho verdelho nv 19th century|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacock|madeira sercial stjohn vineyard|??|f|??|??|??|1927|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacock|madeira rainwater|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|leacock|madeira rainwater|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce|=74
W|leacock|5 years madeira|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lea winery|franc lizer vino bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea winery|franc lizer spumante rose nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lea winery|franc lizer spumante blanc de blancs nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lea|schaller domaine orion chablis|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|schaller domaine orion chablis|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|schaller domaine orion chablis|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=81
W|lea|roesch bag no7|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|roesch bag no19 egg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|perrins bloody mary mix zesty|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|perrins|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|life vanilias napolyi cukor gluten es laktoz nelkul|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|life mini vanilias napolyi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|life mini kakaos napolyi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|life kakaos napolyi cukor gluten es laktoz nelkul|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea les|aspres aoc domaine lafage|??|r|??|??|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|lea|lafage cotes du roussillon les aspres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea la|ginestra|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|julia schittler grauburgunder gutswein trocken|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|igt canaiolo nero|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lea|et remi joulin sancerre rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lea|et remi joulin sancerre fusion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|et remi joulin fusion sancerre|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lea|et remi fusion sancerre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le4|vino bianco macerato insolente|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le3|macerato|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le25|pinot shiraz wine recipe kit limited edition|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|le25|pinot gris verdelho wine recipe kit limited edition|??|w|pinot gris|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le25|pacific quartet red wine recipe kit limited edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le25|malbec cabernet wine recipe kit limited edition|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|le25|blanc de noir wine recipe kit limited edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le24|petit verdot petite sirah lodi california red wine making kit|us|r|petit verdot|california|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le24|fourtitude riverland australia red wine making kit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le24|double blanc riverland australia white wine making kit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le24|carmenere cabernet syrah maipo chile red wine making kit|cl|r|syrah|maipo|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|le24|besito manchuela spain white wine making kit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zulu|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zulu|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zulu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zudefruit rouge|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zudefruit rouge|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zudefruit rouge|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zudefruit rouge|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zudefruit jerome lambert|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zudefruit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zudefruit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=120
W|le|zu defruit|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zu defruit|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zu defruit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zu de fruit|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zu de fruit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zero dealcoholized rose alkoholfrei|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|le|zephir heida aoc|??|r|??|??|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|le|zef|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|zaune a dedee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|z in rose|??|p|??|??|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|le|yuzu liqueur de yuzu godo susei|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|xx rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|le|xx blanc|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|xx|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|xv du president reserve|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|xv du president reserve|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|xv du president grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|xv du president magnum|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|xv du president|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|xv du president|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|xmas rouge aop languedoc|fr|r|??|languedoc|??|2020|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|le|xi terre bardolino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|wine merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|walin lagery blanc de noirs premier cru brut nature|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|brut nature
W|le|vrille et le papillon tout cousins|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|voyage du riesling a travers lallemagne coffret de 6 cepages|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|le|voyage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|voyage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=148
W|le|voyage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=148
W|le|voltigeur thomas rouanet|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|voltigeur magnum thomas rouanet|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volteornellaia lt 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte tuscan red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte toscana tenuta dellornellaia|it|r|??|toscana|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte toscana igt ornellaia|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte toscana igt dellornellaia 3 liter doppel|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte toscana igt dellornellaia|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte toscana igt dellornellaia|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco|=158
W|le|volte toscana igt dellornellaia|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte toscana igt ornellaia|it|r|??|toscana|??|2019|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte tenuta dellornellaia toscana igt|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte tenuta dellornellaia|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte tenuta dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte tenuta dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=165
W|le|volte tenuta dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=165
W|le|volte tenuta dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=165
W|le|volte rosso toscana igt tenuta dellornellaia|it|r|??|toscana|??|2022|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte rosso toscana igt normalflasche|it|r|??|toscana|??|2020|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte rosso toscana igt magnum in ohk|it|r|??|toscana|??|2019|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte rosso toscana igt normalflasche|it|r|??|toscana|??|2018|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte rosso toscana igt normalflasche|it|r|??|toscana|??|2016|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte rosso toscana igt magnum in ohk|it|r|??|toscana|??|2016|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte rosso toscana igt normalflasche|it|r|??|toscana|??|2013|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte rosso toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte rosso ornellaia toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte rosso di toscana igt 1 tenuta dellornellaia|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte rosso di toscana igt 0 tenuta dellornellaia|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte ornellaia|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=181
W|le|volte ornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=181
W|le|volte magnum tenuta dellornellaia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte magnum toscana igt|it|r|??|toscana|??|2016|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte igt 23|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte igt 22|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dublu magnum toscana igt|it|r|??|toscana|??|2016|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana rosso igt|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt rosso ornellaia|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt ornellaia|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt ornellaia|it|r|??|toscana|??|2022|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt ornellaia|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt ornellaia|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco|=194
W|le|volte dellornellaia toscana igt ornellaia|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco|=194
W|le|volte dellornellaia toscana igt delivery 24 working days|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco|=198
W|le|volte dellornellaia toscana igt|it|r|??|toscana|??|2022|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt|it|r|??|toscana|??|2021|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt|it|r|??|toscana|??|2021|13.5|igt|medio|carnes vermelhas; massas; queijos|seco|=201
W|le|volte dellornellaia toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana red dry 135 075|it|r|??|toscana|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana|it|r|??|toscana|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana|it|r|??|toscana|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia rosso toscana igt cassetta legno|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia rosso toscana igt|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia rosso igt toscana|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia indicazione|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia igt wein|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia igt toscana|it|r|??|toscana|??|2021|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia igt|??|r|??|??|??|2021|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia igt|??|r|??|??|??|2021|13.5|igt|medio|carnes vermelhas; massas; queijos|seco|=215
W|le|volte dellornellaia igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia dmg|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia bolgheri toscana|it|r|??|toscana|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia bolgheri igt|??|r|??|??|??|2022|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt tenuta dellornellaia 075|it|r|??|toscana|??|2024|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia mathusalem in cassa legno|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum in cassa legno|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia jeroboam in cassa legno|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=225
W|le|volte dellornellaia|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=225
W|le|volte dellornellaia|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=225
W|le|volte dellornellaia|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=225
W|le|volte dellornellaia wine nexus|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt tenuta dellornellaia 6|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt tenuta dellornellaia 3|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia toscana igt tenuta dellornellaia 075|it|r|??|toscana|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia tenuta ornellaia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia mathusalem in cassa legno|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|le|volte dellornellaia magnum lt 6|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
