W|vinho|tinto franca ferraton las tournee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fortissimo alentejano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=23
W|vinho|tinto fortificado porto qta vale d maria reserva|pt|f|??|??|??|NV|20|reserva|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto fortificado porto messias ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto fortificado messias porto tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto forte ambrone vino rosso ditalia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto forte ambrone etichetta nera igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fort du roc bordeaux|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foral de silgueiros reserva touriga nacional tinta roriz e jaen dao|??|r|touriga|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foral de silgueiros reserva touriga nacional tinta roriz e alfrocheiro dao|??|r|touriga|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foral de medacomprar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foral de meda douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foral de meda douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foral de meda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fonte da perdiz superior doc douro|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fonte da perdiz reserva doc douro|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fonte da perdiz reserva 2019 douro|pt|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fonte da perdiz grande reserva doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fonte da perdiz douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fonte da galega quinta dos castelares 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fontareche cuvee 1682 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fontareche arrenaou 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fontanafredda serralunga dalba barolo 25 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fontanafredda serralunga dalba barolo 25 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=46
W|vinho|tinto fontanafredda piemonte grignolino doc 2020|??|r|??|??|??|2020|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fontanafredda dolcetto dalba 2020|??|r|dolcetto|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto fontanafredda dolcetto dalba 2020|??|r|dolcetto|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|doce|=49
W|vinho|tinto folha do meio reserva 2021 alentejo|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto folha do meio grande reserva 2021 alentejo|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto folha do meio colheita 2022 alentejo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foja tonda albino armani|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flores negras cabernet franc 3 und|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto florence 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto florao 2020 alentejo|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua superior touriga nacional|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua superior 17 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua reserva 2023|??|r|??|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua reserva 2022 trasosmontes|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua grande reserva garrafa magnum 1|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua grande reserva 2021 trasosmontes|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua 2022 trasosmontes|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua 17|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do tua|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do coa unoaked 175 magnum 2020 1 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do coa unoaked 175 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do coa reserva especial 2016 douro|pt|r|??|??|??|2016|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do coa reserva 2020 douro|pt|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor do coa grande reserva 2017 douro|pt|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor de trois 2022 peninsula de setubal|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor de sal silver iii aragones e cabernet sauvignon 2022 alentejo|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor de sal gold ii alicante bouschet e aragones 2023 alentejo|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor de sal bronze aragones e syrah 2023 alentejo|??|r|syrah|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor de penalva reserva red blend|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor de penalva reserva doc dao 3 und|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor de penalva dao premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor de penalva dao premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=81
W|vinho|tinto flor de lisboa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor de crasto tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor de crasto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor das tecedeiras douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor das tecedeiras 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flor das tecedeiras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fleurie les moriers 2012|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fleurie hospices de belleville|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fleurie charbonnieres 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fleurie charbonnieres 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fleurie charbonnieres 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fleurie chapelle des bois 2012|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fleurie avalanche de printemps 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flc terrunos paraje altamira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flc terrunos la consulta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flc terrunos eugenio bustos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flc heritage malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flc elite malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flc angaro tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto flc angaro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fixin vieille vigne 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fixin vieille vigne 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fixin les petits crais 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fixin les petits crais 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fixin les petits crais 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fixin les petit crais 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fiuza 3 castas blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fiuri rouge 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fiumeseccu ile de beautee rouge 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto firriato santagostino baglio 2012 sicilia italia|it|r|??|sicilia|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fino tannat castellamare|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino tannat bouza|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino suave merlot|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino suave cabernet sauvignon|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino sta carolina gran reserva assemblage|??|f|??|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco vindima 67 vaccaro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco vina mayor 2021 ribera del duero|??|f|??|??|??|2021|15|??|encorpado|sobremesas; queijos azuis|dry
X
X
W|vinho|tinto fino seco trifoglio rosso vaccaro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tracos red blend don guerino|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco touriga nacional morgado silgueiros dop portugal|pt|f|touriga|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco touriga nacional dal pizzol|??|f|touriga|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco touriga nacional capella dos campos familia lemos de almeida|??|f|touriga|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco touriga|??|f|touriga|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tinta roriz convento da gloria|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tinta roriz capella dos campos familia lemos de almeida|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco teroldego rotava kit com 6|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco teroldego rotava|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco teroldego origine 1880 reserva don guerino|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco teroldego michele carraro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco teroldego cepas selecionadas larentis|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tempranillo michele carraro|??|f|tempranillo|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tempranillo|??|f|tempranillo|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tapada delvas alentejo|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat taffarel cave antiga|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat salvati e sirena kit com 2|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat reserva torcello|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat reserva monte paschoal|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat reserva mondadori|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat reserva mena kaho|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat reserva garzon uruguay|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat reserva don guerino|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat perfetto torcello|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat immigrazione vaccaro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat gran reserva marzarotto|??|f|??|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat gran reserva dunamis|??|f|??|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat gran reserva dedicato basso|??|f|??|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat gazzaro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat el gaucho don guerino|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat don marenco don laurindo|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat dal pizzol|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat cazemiro arbugeri|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco tannat|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco syrah reserva toro de piedra|??|f|syrah|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco syrah reserva santa alba|??|f|syrah|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco syrah finca rivadavia|??|f|syrah|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco syrah armador odfjell organico chile|cl|f|syrah|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco sole estivo cave antiga|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco shiraz long row angove australia|??|f|shiraz|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco sangiovese reserva gazzaro|??|f|sangiovese|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco sangiovese collina doro vaccaro|??|f|sangiovese|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco sangiovese cave antiga|??|f|sangiovese|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco reserva gran lovara|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco red blend reserva especial mayos|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco rebo rotava kit com 6|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco rebo rotava|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco primitivo di salento la grotta igp italia|it|f|primitivo|??|??|NV|15|igp|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco porta do fontelo doc dao|??|f|??|??|??|NV|15|doc|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pizzato egiodola 2022|??|f|??|??|??|2022|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pinot noir ws santa alba|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pinot noir vallebello|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pinot noir sfera arbugeri|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pinot noir sentidos casa eva|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pinot noir reserva don guerino|??|f|pinot noir|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pinot noir otto|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pinot noir dal pizzol|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pinot noir classico luiz argenta|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pinot noir capella dos campos familia lemos de almeida|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco percentual zanella|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco pedro castas negras zanella|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco ouro meu exclusive edition|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco ouro meu|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco ouro de obidos produto simples|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco o magnanimo d joao v gran reserva|??|f|??|??|??|NV|15|gran reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco nove ilhas capella dos campos familia lemos de almeida|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco nebbiolo reserva ivo|??|f|nebbiolo|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco nebbiolo langhe doc terra italia|it|f|nebbiolo|??|??|NV|15|doc|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco mr john mena kaho|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco monte do cansado alentejo|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot zanella|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot vintage mena kaho|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot villa de vinhas zanella|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot vallebello|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot vaccaro|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot unus ulian|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot treta venice|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot souvenir venice wine|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot sfera arbugeri|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot settimana in cantina zanella|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot segreto baginbox dmotter|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot rotava kit c6|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot rotava|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot reserva toro de piedra|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot reserva torcello|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot reserva terroir lovara|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot reserva monte paschoal|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot reserva mondadori|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot reserva larentis|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot reserva dunamis|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot reserva don guerino|??|f|merlot|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot pleno marzarotto|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot perfetto torcello|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot michele carraro|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto fino seco merlot l oitenta ulian|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
