W|guigal|la doriane condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=38
W|guigal|la mouline|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=41
W|guigal|la mouline|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=41
W|guigal|la mouline|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=41
W|guigal|la mouline|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=52
W|guigal|la mouline|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=52
W|guigal|la mouline|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=55
W|guigal|la mouline|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|guigal|la mouline|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|guigal|la mouline|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la mouline cote rotie|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la reynarde|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=67
W|guigal|la turque slightly scuffed label|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque torn capsule|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque slightly soiled label|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=72
W|guigal|la turque|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|guigal|la turque|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=84
W|guigal|la turque|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=87
W|guigal|la turque|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=89
W|guigal|la turque|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=89
W|guigal|la turque|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=92
W|guigal|la turque|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque cote rotie|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque cote rotie|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|la turque cote rotie|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|lalala trilogy assortment case|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|lalala trilogy assortment case|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=98
W|guigal|landonne cote rotie 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|landonne cote rotie 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=100
W|guigal|luminescence condrieu|fr|r|condrieu|rhone|condrieu|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saint joseph 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saint joseph|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saint joseph|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=104
W|guigal|saint joseph blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|saint joseph blanc lieudit 145|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|saint joseph lieu dit blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|saint joseph lieudit blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|saint joseph lieudit joseph rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saint joseph rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saint joseph rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saint joseph rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|guigal|saint joseph rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|guigal|saint joseph rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|guigal|saint joseph rouge les vignes de lhospice|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saint joseph rouge les vignes de lhospice|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=116
W|guigal|saint joseph vignes de lhospice|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saintes pierres de nalys chateauneufdupape|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saintes pierres de nalys chateauneufdupape blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|saintes pierres de nalys chateauneufdupape rouge|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saintjoseph lieudit blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|saintjoseph rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saintjoseph rouge|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saintjoseph syrah rouge|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saintjoseph vignes de lhospice rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|saintjoseph vignes hospice|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|st joseph lhospice|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|st joseph rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|tavel rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guigal|vignes de lhospice saintjoseph|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|vignes de lhospice st joseph|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|viognier condrieu|fr|w|viognier|rhone|condrieu|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigas|vinho verde|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigas|vinho verde rose|pt|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|domaine vacheron|guignechevres sancerre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignes|et guins|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignier|moulin a vent la petite oseille|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignier|moncailleux|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignier|mystere de rosee|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guignier|mystere de rosee french rose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guignier|passe temps|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignolet|cherry rocher|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|guignolet|dangers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignolet|dangers giffard aperitif a 16|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|guignolet|danjou combier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignolet|de dijon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignolet|de dijon kirsebrlikr 18|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignolet|kirsh 15|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignolet|l heritierguyot de bourgogne|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignolet|labbe litro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignolet|maison turin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guignoletkirsch|guignoletkirsch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigo|priorat doq|es|r|??|??|??|nv|13.5|doq|encorpado|carnes vermelhas, massas, queijos|seco
W|guijarrales|graciano|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guijuelo|sliced lomo 50 iberico cebo 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guila|negri barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilbaud|cuvee du lion muscadet sevre maine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilbaud|freres rose danjou|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guilbaud|freres rose danjou 075|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guilbert|gillet aloxe corton les crapousuets vv|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilbert|gillet chorey les beaune beaumonts|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilbert|gillet morey saint denis les millandes cru vv|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilbert|gillet savignylesbeaune 1mag|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilbertgillet|pommard cre saussilles|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilbertgillet|savignylesbeaune les planchots du nord|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guild|of fanatics shiraz|??|r|shiraz|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guild|subscription per month|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guild|subscription per week|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guildalberto|guildalberto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilera|agosarat|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilera|brut nature reserva|??|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut nature
W|guilera|brut nature reserva|??|s|??|??|??|2022|12|reserva|leve|aperitivos, frutos do mar, canapes|brut nature
W|guilera|brut reserva|??|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|guilera|brut reserva|??|s|??|??|??|2022|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|guilera|cava brut reserva|es|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|guilera|cava xarella roja brut gran reserva|es|s|??|??|??|2014|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|guilera|cava xarella roja brut gran reserva|es|s|??|??|??|2015|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|guilera|far de les pleiades|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilera|green xarella|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilera|guilera|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilera|guilera|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilera|musivari|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilera|musivari brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|guilera|red xarella|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilera|semi seco reserva|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|demi-sec
W|guilera|xarella brut gran reserva|??|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut
W|guilera|xarella brut nature gran reserva|??|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut nature
W|guiletta|romeo amaretti macaroons 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilfa|blanco carbayu|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilfa|blanco castanu|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilfa|tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhaume|clusel coteaux du lyonnais galet|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|barre aop cabardes rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|barre aop cabardes rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|guilhem|barre aop cabardes rouge|??|r|??|??|??|2018|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|guilhem|barre la peyriere|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|barre la vie ca va|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|barre natural mystic|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|barre vin de france rot|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|barre vin de france rouge|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|barre vin de france rouge|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=203
W|guilhem|barre vin de france rouge|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=203
W|guilhem|barre vinho de franca tinto|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|blanc mas de daumas gassac|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|blanc de noir|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|blanc moulin de gassac|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|creme de citron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|en jean hugues goisot aligote bourgogne frankrijk|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|en jean hugues goisot chardonnay cotes d auxerre corps de garde bourgogne frankrijk|fr|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|et jean hugues goisot bourgogne cotes dauxerre gondonne|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|et jean hugues goisot bourgogne cotes dauxerre gondonne|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=213
W|guilhem|et jeanhugues goisot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|et jeanhugues goisot bourgogne cotes dauxerre|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|et jeanhugues goisot bourgogne cotes dauxerre chardonnay|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|et jeanhugues goisot bourgogne cotes dauxerre gondonne|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|et jeanhugues goisot exogyra virgula|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|gassac pays doc pinot noir|??|r|pinot noir|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|jean hugues goisot bourgogne aligote|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|jean hugues goisot bourgogne cote dauxerre blanc|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|jeanhughes goisot aligote|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|jeanhughes goisot bourgogne aligote france|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|jeanhughes goisot cotes dauxerrois corps garde rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|jeanhughes goisot saint bris exogyra virgula|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|jeanhugues goisot bourgogne aligote burgundy france|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|jeanhugues goisot bourgogne blanc|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|jhugues goisot bourgogne aligote|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|jhugues goisot bourgogne cotes dauxerre corps de garde blanc|fr|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|jhugues goisot bourgogne cotes dauxerre corps de garde rouge|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|jhugues goisot bourgogne cotes dauxerre rouge|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guilhem|jhugues goisot saintbris exogyra virgula blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|jhugues goisot saintbris moury blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guilhem|pot de vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
