W|vinho|tinto escudo rojo gran reserva carmernere|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas de estremoz reserva red blend 2015|??|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas de alqueva 14o|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas alqueva alijo reserva douro|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta do sobral touriga nacional 2020 tejo|??|r|touriga|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta do sobral syrah 2019 tejo|??|r|syrah|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta do sobral selection 2020 tejo|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta do sobral reserva 2019 tejo|??|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta do sobral grande reserva 2020 tejo|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta das perdizes vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta das perdizes superior|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta das perdizes reserva doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta das perdizes regional alentejano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta das perdizes assinatura reserva doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encosta das perdizes assinatura paulo laureano doc 2020|??|r|??|??|??|2020|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encontro red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encontro 1 2014 bairrada|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encontro 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encoberta 2019 dao|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto emiliana novas gran reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto emiliana novas gran reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=107
W|vinho|tinto emiliana novas gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto emiliana novas gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el tramposo cabernet franc 2019|??|r|cabernet franc|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el tiempo que nos une jumilla monastrell 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el renegado cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el principal andetelmo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el incidente viu manent|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el enemigo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el enemigo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=116
W|vinho|tinto el enemigo cabernet franc 2022|??|r|cabernet franc|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el enemigo cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el enemigo cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=119
W|vinho|tinto el enemigo bonarda 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el enemigo bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto el enemigo bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=122
W|vinho|tinto el canalla blend 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eguigal cotes du rhone|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eguigal cotes du rhone|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=125
W|vinho|tinto eguigal coterotie la mouline|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eguigal coterotie la landonne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eguigal coterotie brune et blonde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto echezeaux grand cru 2020|??|r|??|??|??|2020|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ea reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ea cartuxa blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ea 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ea|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ea|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=134
W|vinho|tinto ea|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=134
W|vinho|tinto dv catena malbecmalbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto dv catena malbec malbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto dv catena cabernet sauvigonmalbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto dv catena cabernet malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto duvalley grande reserva douro|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto duquesa de la victoria crianza tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto duquesa de la victoria crianza tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=142
W|vinho|tinto due lune nerello mascalese nero davola igt 2018 italia regiao sicilia|it|r|nerello mascalese|sicilia|??|2018|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto duas quintas reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto duas quintas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto dona maria alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto dona ermelinda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto don pascual varietal tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto don luciano tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto don guerino teroldego origine 1880|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto domin napa valley california eua|us|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto domin napa valley california eua|us|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=152
W|vinho|tinto domin napa valley california eua|us|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=152
W|vinho|tinto domin napa valley california eua|us|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=152
W|vinho|tinto domin napa valley california eua|us|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=152
W|vinho|tinto domin napa valley california eua|us|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=152
W|vinho|tinto domenico salton campanha marselan 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto dom daniel garrafa magnum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto doc o misterio quinta dos termos|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto doc dao senhor da vinha superior|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto doc dao okey 2023|??|r|??|??|??|2023|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto doc a surpresa quinta dos termos|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto do tejo terras do ribatejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto do porto vallegre ceremony ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto taylors tawny 30 anos 20|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto tawny port delaforce|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto santa luzia fine ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto ruby dom jose|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto real companhia velha fundador tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto offley tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto messias ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto madeira 3 anos doce justinos|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto fine tawny taylors|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto fine tawny port|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto fine ruby delaforce|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto fine ruby croft|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto ferreira ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto croft fine ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto ceremony tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto do porto 50 anos golden age taylor s|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto dirty rabbit petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto dirty rabbit petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=182
W|vinho|tinto dirty rabbit petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=182
W|vinho|tinto dezzani nebbiolo barbera piemonte|??|r|nebbiolo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto desden malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto demisec macaw merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vinho|tinto demisec bordo pergola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vinho|tinto demisec bordo pergola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec|=188
W|vinho|tinto demi sec macaw cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vinho|tinto de sol a sol velasco 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto de mesa suave don giusepp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto de mesa suave bordo lovatel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto de mesa suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto de mesa seco lovatel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto de mesa seco don giusepp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto de mesa seco bordo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto de mesa seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto da talha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto cuvee limited release don reca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto cuvee de deux soeurs aoc chateauneufdupape 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto curva douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto curva douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=202
W|vinho|tinto cuatro vientos roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto cru regnie les buillats 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto cru morgon cote du py 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto cru morgon 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto cru cote de brouilly la chapelle 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto cru cote de brouilly 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto cru brouilly les mines 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto crotta reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto crotta malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto crotta gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto crios malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto crianza rioja arienzo marques de riscal|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto crianza ribera del duero condado de haza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
