W|branco|nederburg sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|namaqua sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|namaqua chenin blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|namaqua chenin blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=25
W|branco|naia verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|nacional vivant chardonay pack 4 latas cada|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|nacional suave colheita tardia aurora|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|nacional riesling marcus james|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|nacional jota pe suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|nacional faces do brasil chardonnay lidio carraro|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|nacional don guerino sinais riesling 2021|??|w|riesling|??|??|2021|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|nacional chardonnay amitie|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|nacional cave liberte reserva chardonnay seco|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|nacional almaden riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|n2km96|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|n25 ayl riesling saar vdp ortswein 2022|??|w|riesling|??|??|2022|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|n2 ayler riesling vdp ortswein 2022|??|w|riesling|??|??|2022|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|n16 mosel riesling trocken 2022|??|w|riesling|??|??|2022|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|n12 unterstenberg saar vdp grosse lage 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|n11 ayl schonfels saar vdp grosse lage 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muxagat riesling douro|pt|w|riesling|douro|??|NV|10.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|muxagat riesling 2019 douro|pt|w|riesling|douro|??|2019|10.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|muxagat os xistos altos 2022 douro|pt|w|??|douro|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|muxagat os xistos altos 2022 douro|pt|w|??|douro|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco|=45
W|branco|muxagat douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|muxagat 2023 douro|pt|w|??|douro|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|musgo reserva 2023|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|musgo encruzado 2024 dao|pt|w|??|dao|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|musgo 2024 dao|pt|w|??|dao|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet vieilles vignes gillieres|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet sur lie gillieres|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet sevre et maine sur lie les laures 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet sevre et maine sur lie les gautronnieres 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet sevre et maine sur lie les bonnets blancs 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet sevre et maine monnieres saint fiacre 2014|??|w|??|??|??|2014|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet sevre et maine cru monnieressaint fiacre 2016|??|w|??|??|??|2016|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet granite clos des perrieres 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet granite clos de la perrieres 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet gaia 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet gabbro clos des bouquinardieres 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet gabbro clos des bouquinardieres 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet gabbro clos des bouquinardieres 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet de sevre et maine sur lie saget la perriere|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet clos des bouquinardieres gabbro 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet bellevue 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muscadet 1ere escale aop 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muros loureiro antigos anselmo mendes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muros de sao luiz|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muros de melgaco verdes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muros de melgaco alvarinho 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muros da vinha|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muros antigos loureiro 2024 vinhos verdes doc|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muros antigos escolha avesso 2021 vinhos verdes|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muros antigos escolha 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muros antigos alvarinho vinhos verdes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muros antigos alvarinho 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|murcas assobio esporao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muralhas de moncao vinhos verdes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muralhas de moncao 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muralhas de moncao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muralhas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|mural 2021 douro|pt|w|??|douro|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|munoz artero macabeoverdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|munda encruzado dao|pt|w|??|dao|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|munda encruzado 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|munda encruzado 2019 dao|pt|w|??|dao|??|2019|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|muga 2024no pixno boletoem ate3xdesem juroscomprar|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muga 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|muga 2022 rioja espanha|es|w|??|rioja|??|2022|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco
W|branco|mucho mas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|mosquita muerta blend de blancas 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|mosquita muerta blend de blancas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscato san diego castellamare|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscato giallo lembrancas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscato embrapa seco cappelletti|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscato dasti docg cascina dei vini|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscato dasti docg cabianca|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscato dasti docg cabianca|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=99
W|branco|moscato dasti docg cabianca|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=99
W|branco|moscato dasti docg bosc d la rei|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscato d asti docg batasiolo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscato briccotondo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscato briccotondo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=104
W|branco|moscato adega chesini|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscato 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscatel suntana summer|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moscatel frisante suave dolce vita santa vita|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|moscatel espumante no boleto no pix em ate 1x de sem juros vinho branco moscatel espumante no boleto no pix em ate 1x de sem juros adicionar|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|moscatel espumante no boleto no pix em ate 1x de sem juros adicionar|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|moscatel espumante|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|moscatel espumante|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut|=112
W|branco|morts block riesling kilikanoon|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morgado do quintao vinhas velhas 2022 regional algarve|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morgado do quintao negra mole 2021 regional algarve|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morgado do quintao curtimenta 2021 regional algarve|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morgado do quintao anfora 2023 regional algarve|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morgado do quintao 2024 regional algarve|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morgado do perdigao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
X
W|branco|morgadio da calcada reserva 2013 douro|pt|w|??|douro|??|2013|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|morgadio da calcada reserva 2013|??|w|??|??|??|2013|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|morgadio da calcada reserva 2012 douro|pt|w|??|douro|??|2012|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|morgadio da calcada mc 2021 douro|pt|w|??|douro|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|morgadio da calcada mc 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morgadio da calcada douro mc 2021|pt|w|??|douro|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|morgadio da calcada douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|morgadio da calcada colheita 2021 douro|pt|w|??|douro|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|morgadio da calcada colheita 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moreysaintdenis les larrets blanc 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moreau naudet petit chablis 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moreau naudet petit chablis 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moreau naudet chablis 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moreau naudet chablis 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moreau naudet chablis 1 cru vaillons 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moreau naudet chablis 1 cru monte de tonnerre 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|moreau naudet chablis 1 cru beauregards 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morande terroir wines semellion|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morande terroir wines semellion|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=139
W|branco|morande terroir wines semellion|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=139
S
S|=142
S|=142
S|=142
W|branco|morande seleccion de vinedo gewurztraminer|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morande seleccion de vinedo gewurztraminer|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=146
W|branco|morande late harvest sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|morande late harvest sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=148
W|branco|morande late harvest sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=148
W|branco|morande fray leon chardonnay 2024|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montinho sao miguel 2022 regional alentejano|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monthelie premier cru les champs fulliots 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monthelie premier cru les champs fulliot 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monthelie premier cru blanc les champs fulliot 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monthelie les toisieres 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montgras early harvest sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montgras early harvest sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=157
W|branco|montessuy chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montes toscanini reserva familiar sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|montes ermos reserva 2023|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|montes ermos reserva 2022 douro|pt|w|??|douro|??|2022|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|montes classic reserva sauvignon blanc 2023no pixno boletoem ate3xdesem juroscomprar|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|montes classic reserva chardonnay 2023no pixno boletoem ate3xdesem juroscomprar|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|montes claros reserva 2024 alentejo|pt|w|??|alentejo|??|2024|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|montes claros|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montes alpha sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montes alpha chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montes alpha chardonnay 14 2021|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montes alpha chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montes alpha chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=170
W|branco|monteabellon verdejo rueda do|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte velho esporao portugal wine|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte velho esporao portugal wine|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=173
W|branco|monte velho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte velho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=175
W|branco|monte velho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=175
W|branco|monte romano pinot grigio delle venezie|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte romano pinot grigio delle venezie|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=178
W|branco|monte romano blend veneto italia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte romano blend italia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte romano blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte reale suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|monte reale seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte pratas 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte paschoal reserva moscato|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|monte dos perdigoes reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|monte dos perdigoes poliphonia reserva 2022 regional alentejano|??|w|??|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|monte dos perdigoes grande reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|monte dos cardeais reserva 2022 alentejo portugal seco aromatico e elegante ideal para peixes frutos do mar e jantares especiais vinho branco portugues premium|pt|w|??|alentejo|??|2022|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|monte dos cardeais reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|monte dos cardeais grande reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|monte dos cardeais|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte do carrapatelo reserva 2019 alentejo|pt|w|??|alentejo|??|2019|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|monte de seda 2023 regional alentejano|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte de pinheiros|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte das bagas de ouro 2020 alentejo|pt|w|??|alentejo|??|2020|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da vaqueira|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira viognier 2024 alentejo|pt|w|viognier|alentejo|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira selecao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira sauvignon branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira sauvignon blanc alentejo|pt|w|sauvignon blanc|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira reserva da familia alentejo|pt|w|??|alentejo|??|NV|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira reserva da familia|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira mr premium 2013 alentejo|pt|w|??|alentejo|??|2013|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira encantado|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira classico alentejo|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira classico 2021 alentejo|pt|w|??|alentejo|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira alvarinho alentejo|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da ravasqueira alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da raposinha alentejo|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da peceguina alentejo|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da peceguina 2024 regional alentejano|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da peceguina|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte da cal 2023 regional alentejano|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte cascas reserva 2019 douro|pt|w|??|douro|??|2019|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|monte cascas reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|monte cascas malvasia 2017 colares doc|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte cascas fernaopires 2014 tejo|pt|w|??|tejo|??|2014|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|monte cascas colheita 2022 douro|pt|w|??|douro|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|monte cascas biologico 2022 beira interior|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte baixo reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|monte alba 2025|??|w|??|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|monte agudo vivaz sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montchenot chenin blanc 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montaria reserva 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|montalegre vinhas velhas 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|montalegre reserva 2020|??|w|??|??|??|2020|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|montalegre grande reserva 2016|??|w|??|??|??|2016|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
