W|laundry|gel cold wash non bio 35wl|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launch|collection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launayhoriot|pommard 1er cru les chaponnieres|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launayhoriot|pommard 1er cru les chaponnieres|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launayhoriot|pommard 1er cru clos blanc|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launayhoriot|pommard 1er cru clos blanc|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launayhoriot|pommard 1er cru clos blanc|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launayhoriot|latriciereschambertin grand cru mg|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|launay|horiot pommard rugiens bas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launay|horiot pommard perrieres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launay|horiot pommard les chaponnieres|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launay|horiot pommard clos blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launay|horiot pommard chaponnieres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launay|horiot latricieres chambertin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launay|horiot chambertin|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launay|horiot chambertin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launa|rioja crianza|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|launa|ikunus rioja|es|r|??|rioja|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laumonier|touraine sauvignon blanc loire frankrig|fr|w|sauvignon blanc|loire|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laumersheimer|kirschgarten weiburgunder groes gewachs trocken|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laumersheimer|kirschgarten spatburgunder groes gewachs trocken|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laumersheim|weier burgunder vom kalksteinfels|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laumersheim|chardonnay reserve|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laulerie|cotes de montravel moelleux|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laulerie|bergerac blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laulan|blanc sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laukut|laukut|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laujardiere|muscadet sur lie la noe|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laujardiere|chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laugustin|chateau marco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laughing|pig rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laughing|magpie shiraz viognier by darenberg|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laughing|jack wines limited three old vine moppa grenache|??|r|grenache|??|??|2005|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laughing|jack old vine moppa grenache|??|r|grenache|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laughing|jack old vine moppa grenache|??|r|grenache|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laughing|jack moppa hill block 6 shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack moppa hill block 6 shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=53
W|laughing|jack moppa hill block 6 shiraz|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack moppa hill block 6 shiraz barossa valley|au|r|shiraz|barossa|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack jacks shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack jacks shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=57
W|laughing|jack jacks shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack jacks shiraz barossa valley|au|r|shiraz|barossa|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack jacks shiraz|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack jacks shiraz barossa valley|au|r|shiraz|barossa|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack jacks shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack jacks shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=63
W|laughing|jack jacks semillon|??|w|semillon|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laughing|jack jacks semillon|??|w|semillon|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laughing|jack jacks gsm|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laughing|jack jacks grenache shiraz mourvedre|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack jacks grenache shiraz mourvedre|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack greenock shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack greenock shiraz|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack greenock shiraz barossa valley|au|r|shiraz|barossa|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack greenock shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|jack carl albert shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
X
W|laughing|cow cheez dippers creamy dip and chunchy breadsticks 140g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laughing|bones grizzly robust porter|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laughing|bones bone dry brut xpa|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|laughing|bones bierzeit kolsch|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laughing|bird shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laughing|bird cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laugh|out lolli 176z15ct|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laugh|learn smart stagestm sis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laugh|learn lightup learning vacuum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laugengrissini|weizenbrot mit olivenol 150g preiss|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laugel|cremant dalsace brut|fr|s|??|alsace|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|laugel|alsace riesling cuvee selection blanc|fr|w|riesling|alsace|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laugar|midnight harvest|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laugar|evilution|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laugar|aupa tovarisch 12 botellas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauft|trocken|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauft|halbtrocken|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laufhund|zioowka 35 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauffener|weinwerkstatt schwarzriesling qba|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauffener|weingartner schwarzriesling wurttemberg red dry 125 10|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauffener|weingartner schwarzriesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauffener|weingartner katzenbeisser spatburgunder wurttemberg red dry 13 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauffener|schwarzweiss schwarzriesling weiwein trocken 0|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauffener|schwarzweiss schwarzriesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauffener|schwarzweiss|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauffener|samtrot rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lauffener|rieslingrivaner alkoholfri|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauffener|riesling kologisk og vegansk|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauffener|riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauffener|muskateller|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauffener|muskateller|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=105
W|lauffener|katzenbeisser rose sekt trocken|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lauffener|katzenbeier schwarzriesling weiherbst qba lieblich 12x 1 liter mehrweg|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauffener|katzenbeier schwarzriesling qba halbtrocken 12x 1 liter mehrweg|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauffener|bio schwarz riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laufer|zinfandel|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laufer winery|zinfandel damaged label|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laufer winery|oz wine late harvest chardonnay damaged label|??|d|chardonnay|??|??|NV|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|laufer winery|oz wine late harvest chardonnay|??|d|chardonnay|??|??|NV|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|laufer winery|moscato damaged label|??|w|moscato|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laufer winery|charteau dry white damaged label|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laufer winery|cabernet syrah damaged label|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laufer winery|cabernet sauvignon damaged label|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laufer winery|blush muscat damaged label|??|w|muscat|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laufer winery|blush muscat|??|w|muscat|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laufer|tokaji late harvest damage label|hu|d|??|tokaj|??|NV|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|laufer|tokaji late harvest 21|hu|d|??|tokaj|??|NV|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|laufer|tokaji late harvest|hu|d|??|tokaj|??|2021|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|laufer|tokaji late harvest|hu|d|??|tokaj|??|2021|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce|=123
W|laufer|tokaji late harvest|hu|d|??|tokaj|??|2021|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce|=123
W|laufer|tokaji ice wine|hu|r|??|tokaj|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laufer|tokaji ice wine|hu|r|??|tokaj|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laufer|tokaji ice 21|hu|r|??|tokaj|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laufer|special reserve cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laufer|reisling moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laufer|hamaytiv cabernet sauvignon north coast|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laufer|charteau semi dry white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laufer|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|laufer|cab sauv sr|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laufer|blush muscat semi sweet|??|w|muscat|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laufer|blush muscat|??|w|muscat|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|laufener|bestseller probierpaket 12er paket|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laufener|altenberg gutedel kracher 1g|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauermann|weyer spatburgunder trocken 20192020 tr|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauermann|weyer riesling bockenheimer vogelsang alte reben tr|??|w|riesling|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauermann|weyer riesling bockenheimer vogelsang alte reben tr|??|w|riesling|??|??|2013|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauermann|weyer riesling bockenheimer vogelsang tr|??|w|riesling|??|??|2015|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauermann|weyer riesling bockenheimer goldgrube tr|??|w|riesling|??|??|2013|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauermann|weyer blanc de noir halvtr|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauer|unterstenberg fass 12 riesling mosel|de|w|riesling|mosel|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|unterstenberg fass 12 riesling mosel|de|w|riesling|mosel|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|stirn fass 15 riesling mosel|de|w|riesling|mosel|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|stirn fass 15 riesling mosel|de|w|riesling|mosel|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|sekt|??|s|??|??|??|2020|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lauer|saarfeilser fass 13 riesling gg mosel|de|w|riesling|mosel|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|saarfeilser fass 13 riesling gg mosel|de|w|riesling|mosel|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling unterstenberg fass 12 mosel|de|w|riesling|mosel|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling unterstenberg fass 12 mosel|de|w|riesling|mosel|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling stirn grand cru mosel|de|w|riesling|mosel|??|2021|12.5|grand cru|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling stirn grand cru mosel|de|w|riesling|mosel|??|2020|12.5|grand cru|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling senior ayler saar|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling senior ayler saar|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling senior ayler saar|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling senior|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling sekt reserve|??|s|riesling|??|??|1992|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lauer|riesling sekt brut saar|??|s|riesling|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|riesling sekt brut saar|??|s|riesling|??|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|riesling sekt brut saar|??|s|riesling|??|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|riesling sekt brut saar|??|s|riesling|??|??|2013|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|riesling sekt brut mosel germany|de|s|riesling|mosel|??|2021|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|riesling sekt|??|s|riesling|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lauer|riesling schonfels kabinett|??|w|riesling|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling schonfels gg|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling schonfels 111 kabinett mosel|de|w|riesling|mosel|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling reserve sekt brut saar|??|s|riesling|??|??|2017|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|riesling reserve sekt brut saar|??|s|riesling|??|??|1992|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|riesling reserve sekt brut saar|??|s|riesling|??|??|1984|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|riesling reserve natur sekt brut saar|??|s|riesling|??|??|1996|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lauer|riesling no 8 kupp kabinett|??|w|riesling|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling no 4 ayler feinherb mosel germany|de|w|riesling|mosel|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling no 25 ayler trocken mosel germany|de|w|riesling|mosel|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling neuenberg fass 17 mosel|de|w|riesling|mosel|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling neuenberg fass 17 mosel|de|w|riesling|mosel|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling kupp private bottling spatlese mosel|de|w|riesling|mosel|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling kupp kabinett mosel|de|w|riesling|mosel|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling kupp kabinett mosel|de|w|riesling|mosel|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling kupp fass 8 kabinett mosel|de|w|riesling|mosel|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling kupp auslese mosel|de|d|riesling|mosel|??|2019|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|lauer|riesling kern grand cru mosel|de|w|riesling|mosel|??|2019|12.5|grand cru|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling feils gg|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 1ayler riesling feinherb|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 18 kupp gg saar|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 18 kupp gg saar|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 18 kupp gg saar|??|w|riesling|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 18 kupp gg saar|??|w|riesling|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 13 feils gg saar|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 13 feils gg saar|??|w|riesling|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 13 feils gg saar|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 13 feils gg saar|??|w|riesling|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 13 feils gg saar|??|w|riesling|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 11 schonfels gg saar|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 11 schonfels gg saar|??|w|riesling|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling fass 11 schonfels gg saar|??|w|riesling|??|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling barrel x saar|??|w|riesling|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling barrel x mosel germany|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling barrel x|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling ayler mosel|de|w|riesling|mosel|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling ayler fass 87 kabinett mosel|de|w|riesling|mosel|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling ayler fass 4 feinherb mosel|de|w|riesling|mosel|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling ayler fass 4 feinherb mosel|de|w|riesling|mosel|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling ayler fass 3 feinherb mosel|de|w|riesling|mosel|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling ayler fass 25 trocken mosel|de|w|riesling|mosel|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling ayler fass 25 trocken mosel|de|w|riesling|mosel|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling ayler fass 2 extra trocken mosel|de|w|riesling|mosel|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|riesling 270 esw saar|??|w|riesling|??|??|2019|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|r reserve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter senior ayler village level no 6 trocken|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lauer|peter riesling no 16|??|w|riesling|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel unterstenberg riesling fass 12|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel stirn riesling fass 15|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel riesling schonfels gg|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel riesling kupp gg|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel riesling feils gg|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel neuenberg riesling fass 17|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel kupp riesling spatlese fass 7|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel kupp riesling kabinett fass 8|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel kern riesling fass 9|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel ayler riesling trocken fass 25|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lauer|peter mosel ayler riesling fass 3|de|w|riesling|mosel|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
