1. W|casio reloj|mtp1215a2adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|casio reloj|mtpe111gbl2av|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=58
60. W|casio reloj|mtpe115gb2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|casio reloj|mtpe115gb2avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=60
62. W|casio reloj|mtpe171m2evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|casio reloj|mtpe171m2evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=62
64. W|casio reloj|mtpe313d2b1vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|casio reloj|mtpe313d2b1vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=64
66. W|casio reloj|mtps101d1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|casio reloj|mtps101d1bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=66
68. W|casio reloj|mtpv001g9budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|casio reloj|mtpv001g9budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=68
70. W|casio reloj|mtpv001gl1bud|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
71. W|casio reloj|mtpv001gl1bud|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
72. W|casio reloj|mtpv001gl7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
73. W|casio reloj|mtpv001gl7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=72
74. W|casio reloj|mtpv002d7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|casio reloj|mtpv002d7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=74
76. W|casio reloj|mtpv002g1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|casio reloj|mtpv002g1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=76
78. W|casio reloj|mtpv002g7b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|casio reloj|mtpv002g7b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=78
80. W|casio reloj|mtpv002gl7b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|casio reloj|mtpv002gl7b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=80
82. W|casio reloj|mtpv002l1b3udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
83. W|casio reloj|mtpv002l1b3udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=82
84. W|casio reloj|mtpv002l1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|casio reloj|mtpv002l1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=84
86. W|casio reloj|mtpv002l7b3udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
87. W|casio reloj|mtpv002l7b3udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=86
88. W|casio reloj|mtpv004d1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|casio reloj|mtpv004d1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=88
90. W|casio reloj|mtpv004d1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|casio reloj|mtpv004d1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=90
92. W|casio reloj|mtpv004d7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|casio reloj|mtpv004d7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
94. W|casio reloj|mtpv004g1cudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|casio reloj|mtpv004g1cudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=94
96. W|casio reloj|mtpv004g7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
97. W|casio reloj|mtpv004g7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=96
98. W|casio reloj|mtpv004g9budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|casio reloj|mtpv004g9budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=98
100. W|casio reloj|mtpv004gl9audf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|casio reloj|mtpv004gl9audf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=100
102. W|casio reloj|mtpv004l1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|casio reloj|mtpv004l1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=102
104. W|casio reloj|mtpv005d1b4udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|casio reloj|mtpv005d1b4udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
106. W|casio reloj|mtpv005d1b5udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|casio reloj|mtpv005d1b5udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=106
108. W|casio reloj|mtpv005d2b5udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|casio reloj|mtpv005d2b5udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=108
110. W|casio reloj|mtpv005g7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|casio reloj|mtpv005g7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=110
112. W|casio reloj|mtpv005l1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|casio reloj|mtpv005l1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=112
114. W|casio reloj|mtpv005l7b5udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|casio reloj|mtpv005l7b5udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=114
116. W|casio reloj|mtpv006gl7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|casio reloj|mtpv006gl7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=116
118. W|casio reloj|mtpv007sg9eudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|casio reloj|mtpv007sg9eudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=118
120. W|casio reloj|mtpv302d1audf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|casio reloj|mtpv302d1audf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=120
122. W|casio reloj|mtpv302d7audf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|casio reloj|mtpv302d7audf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=122
124. W|casio reloj|mtpv302g9audf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|casio reloj|mtpv302g9audf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=124
126. W|casio reloj|mtpvd011evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|casio reloj|mtpvd011evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=126
128. W|casio reloj|mtpvd013evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|casio reloj|mtpvd013evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=128
130. W|casio reloj|mtpvd01d2evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|casio reloj|mtpvd01d2evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=130
132. W|casio reloj|mtpvd01d3e1vudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|casio reloj|mtpvd01d3e1vudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=132
134. W|casio reloj|mtpvd01d3e2vudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|casio reloj|mtpvd01d3e2vudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=134
136. W|casio reloj|mtpvd01d7evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|casio reloj|mtpvd01d7evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=136
138. W|casio reloj|mtpvd01g1cvudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|casio reloj|mtpvd01g1cvudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=138
140. W|casio reloj|mtpvd01g9evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|casio reloj|mtpvd01g9evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=140
142. W|casio reloj|mtpvd01gl1evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|casio reloj|mtpvd01gl1evudf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=142
144. W|casio reloj|mtpvt01d1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|casio reloj|mtpvt01d1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=144
146. W|casio reloj|mtpvt01d1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|casio reloj|mtpvt01d1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=146
148. W|casio reloj|mtpvt01d2b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|casio reloj|mtpvt01d2b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
150. W|casio reloj|mtpvt01d2budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|casio reloj|mtpvt01d2budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=150
152. W|casio reloj mtpvt01g|7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|casio reloj mtpvt01g|7budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=152
154. W|casio reloj|mtpvt01g1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|casio reloj|mtpvt01g1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=154
156. W|casio reloj|mtpvt01g5budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|casio reloj|mtpvt01g5budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=156
158. W|casio reloj|mtpvt01gl2b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|casio reloj|mtpvt01gl2b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=158
160. W|casio reloj|mtpvt01gl5budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|casio reloj|mtpvt01gl5budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
162. W|casio reloj mtpvt01l|1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|casio reloj mtpvt01l|1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=162
164. W|casio reloj mtpvt01l|3budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|casio reloj mtpvt01l|3budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=164
166. W|casio reloj|mtpvt01l1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
167. W|casio reloj|mtpvt01l1b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=166
168. W|casio reloj|mtpvt01l1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|casio reloj|mtpvt01l1budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=168
170. W|casio reloj|mtpvt01l2b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|casio reloj|mtpvt01l2b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=170
172. W|casio reloj|mtpvt01l2budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|casio reloj|mtpvt01l2budf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=172
174. W|casio reloj|mtpvt01l7b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|casio reloj|mtpvt01l7b2udf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=174
176. W|casio reloj|mtpvt03bl7bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|casio reloj|mtpvt03bl7bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=176
178. W|casio reloj|mtpvt03d7bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|casio reloj|mtpvt03d7bdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=178
180. W|casio reloj|mtpx100d1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|casio reloj|mtpx100d1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
182. W|casio reloj|mtpx100d1evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|casio reloj|mtpx100d1evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=182
184. W|casio reloj|mtpx100d2evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|casio reloj|mtpx100d2evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=184
186. W|casio reloj|mtpx100g1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|casio reloj|mtpx100g1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
188. W|casio reloj|mtpx100g1evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|casio reloj|mtpx100g1evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=188
190. W|casio reloj|mtpx100l1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
191. W|casio reloj|mtpx100l1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=190
192. W|casio reloj|mtpx300d7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|casio reloj|mtpx300d7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=192
194. W|casio reloj|mtpx300g1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|casio reloj|mtpx300g1avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=194
196. W|casio reloj|mtpx300l7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|casio reloj|mtpx300l7avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=196
198. W|casio reloj|mw2401b2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|casio reloj|mw2401b2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=198
200. W|casio reloj|mw2401bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|casio reloj|mw2401bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=200
202. W|casio reloj|mw2401e2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|casio reloj|mw2401e2vdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
204. W|casio reloj|mw2401evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|casio reloj|mw2401evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=204
206. W|casio reloj|mw2402bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|casio reloj|mw2402bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=206
208. W|casio reloj|mw2403bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|casio reloj|mw2403bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=208
210. W|casio reloj|mw2404bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|casio reloj|mw2404bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=210
212. W|casio reloj|mw2407bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|casio reloj|mw2407bvdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=212
214. W|casio reloj|mw2407evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|casio reloj|mw2407evdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=214
216. W|casio reloj|sgw600h1bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|casio reloj|sgw600h1bdr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=216
218. W|casio reloj|w2101avdf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
