W|landparty|rot rotwein bio halbtrocken deutschland|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmass|columbia gorge sparkling wine heavy glow|??|s|??|??|??|2023|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|landmass|columbia gorge multitudes pinot gris oregon|us|w|pinot gris|oregon|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landmass|columbia gorge gruner veltliner|??|w|gruner veltliner|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landmass|chillable red|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmass|chillable red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmass|all eyes sparkling rose of tempranillo|??|s|tempranillo|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|landmark|vineyards pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|vineyards overlook pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|vineyards overlook pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|vineyards overlook pinot noir|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|vineyards overlook pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|vineyards overlook pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=42
W|landmark|vineyards overlook pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=42
W|landmark|vineyards overlook chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landmark|vineyards hop kiln estate pinot noir|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|pinot noir overlook california|us|r|pinot noir|california|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|pinot noir hop kiln estate russian river valley|??|r|pinot noir|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|overlook pinot noir red wine|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|overlook pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|overlook pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|overlook pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=52
W|landmark|overlook chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landmark|overlook chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco|=54
W|landmark|overlook chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landmark|overlook chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=56
W|landmark|overlook chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=56
W|landmark|merlot|??|r|merlot|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|chardonnay overlook sonoma county|us|w|chardonnay|sonoma|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landmark|chardonnay overlook sonoma|us|w|chardonnay|sonoma|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landmark|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landmark|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=62
W|landmark|alabang|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|2b|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landmark|overlook chardonnay sonoma county california|us|w|chardonnay|california|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landmara|landmara|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landloperke|lochtenberg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landleben|levesgyongyok 100g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landkreis|boblingen apfelschorle 10x 05 liter mehrweg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landkreis|boblingen apfelsaft naturtrub 6x 1 liter mehrweg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landkreis|boblingen apfelsaft klar 6x 1 liter mehrweg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landkastel|riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landkastel|riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=73
W|landjaeger|semidried sausage 80g chilled 04c|hu|r|??|eger|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landjaeger|hunters smoky dried sausages 4pcs 160g chilled 04c best before date 08062026|hu|r|??|eger|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landing|63 merlot cabfranc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landing|63 chardonnaychenin blanc|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landi|las uvas de la ira|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landi|las uvas de la ira|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=79
W|landi|las uvas de la ira|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=79
W|landi|las uvas de la ira|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=79
W|landi|las uvas de la ira|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=79
W|landhaus wines|the saint shiraz barossa valley|au|r|shiraz|barossa|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|landhaus|weisser burgunder trocken 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|the saint shiraz|??|r|shiraz|??|??|2010|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|landhaus|spatburgunder rotwein trocken 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|rivaner grauburgunder trocken 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|riesling trocken 6 x 1|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|riesling halbtrocken 6 x 1|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|premium eierlikor 20 mit geschenkholzkiste|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|premium advocaat eierlikor 20 6 x 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|premium advocaat eierlikor 20|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|portugieser rose lieblich 6 x 1|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|landhaus|pfefferminz likor 6 x 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|pfefferminz likor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|paul zweigelt select|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|paul spatlese|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|paul gruner veltliner selection|??|w|gruner veltliner|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|paul golden donkey zweigelt reserve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|paul golden donkey eiswein|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|paul gelber muskateller|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|mullerthurgau qba trocken 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|mullerthurgau lieblich 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|mayer zweigelt rot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|mayer zweigelt rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|landhaus|mayer zweigelt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|mayer rose of zweigelt|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|landhaus|mayer rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|landhaus|mayer rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=109
W|landhaus|mayer rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=109
W|landhaus|mayer riesling075|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|mayer riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|mayer riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=113
W|landhaus|mayer niederosterreich austria riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|mayer niederosterreich austria gruner veltliner|??|w|gruner veltliner|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|mayer gruner veltliner weiss|??|w|gruner veltliner|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|mayer gruner veltliner niederosterreich austria|??|w|gruner veltliner|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|mayer gruner veltliner niederosterreich austria|??|w|gruner veltliner|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|mayer gruner veltliner|??|w|gruner veltliner|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landhaus|mayer gruner veltliner|??|w|gruner veltliner|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=120
W|landhaus|mayer gruner veltliner|??|w|gruner veltliner|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=120
W|landhaus|mayer gruner veltliner|??|w|gruner veltliner|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=120
W|landhaus|mayer 24 grun velt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|mayer 24 grun velt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=124
W|landhaus|mayer 2223 zweigelt|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|mayer|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|korn mit geschenkholzkiste|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|korn mit geschenkholzkiste|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=128
W|landhaus|korn 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|korn 6 x 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|korn 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|klarer mit geschenkholzkiste|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|klarer 6 x 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|klarer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|hugo frizzante vin spumant rose sec|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|landhaus|hugo frizzante rose 6 x 0|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|landhaus|hugo frizzante blanc vin spumant alb sec|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|landhaus|hugo frizzante 6 x 0|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|landhaus|eierlikor mild 14 mit geschenkholzkiste|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|dornfelder trocken 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|dornfelder spatburgunder halbtrocken 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|doppelkorn mit geschenkholzkiste|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|doppelkorn 6 x 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|doppelkorn|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|boonekamp 48 x 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|barbara enchanting shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|landhaus|advocaat eierlikor mit geschenkholzkiste|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|advocaat eierlikor mild 14 6 x 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|advocaat eierlikor mild 14|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|advocaat eierlikor 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landhaus|advocaat eierlikor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgut|zweigelt niederosterreich red dry 105 075|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgraf|frohnatur wei|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgoed|overst rose|??|p|??|??|??|2023|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|landgoed|overst riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landgoed|overst muller thurgau|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgoed|overst dornfelder|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgoed|kaasvlinders|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgoed|kaasstengels|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgoed|heenwerf cuvee alliance brut blanc de blancs in giftbox|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|landgoed|heenwerf cuvee alliance brut blanc de blancs in giftbox|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=161
W|landgoed|heenwerf cuvee alliance brut blanc de blancs in giftbox|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=161
W|landgoed|heenwerf cuvee alliance brut blanc de blancs|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|landgeflecht|unikat peter jakob kuhn duitsland rheingau wit|de|r|??|rheingau|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgeflecht|unikat peter jakob kuhn duitsland rheingau wit|de|r|??|rheingau|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=165
W|landgeflecht|unikat peter jakob kuhn duitsland rheingau wit|de|r|??|rheingau|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgeflecht|riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landgeflecht|pjkunikat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgarten|eco zmeura invelita in ciocolata 50 g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landgarten|eco mix de fructe trase in ciocolata 50g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landform|willamette valley pinot noir|us|r|pinot noir|willamette|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landform|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landet|i oktober 24 drudgaard|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landesin|hanhenmaksaterriini 60 g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landesin|hanhen foie gras 100 g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landes|symphonie domaine dulucq|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landes|symphonie domaine dulucq|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landes|style liver pate 180gm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landes|style cassoulet with goose confit 820gm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landes les|collines de perchade moeulleux domaine dulucq|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landerjenkins|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|landerer|summerfeeling|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landerer|sauvignon blanc qualitatswein trocken fume|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landerer|saignee cuvee rose trocken|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|landerer|pinot brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|landerer|oberrotweiler weiburgunder chardonnay trocken|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landerer|oberrotweiler sauvignon blanc ortswein|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landerer|oberrotweiler pinot noir schwarze erde trocken|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landerer|leiselheimer chardonnay schwarze erde|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landerer|kaisterstuhl grauburgunder trocken|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landerer|henkenberg spatburgunder trocken|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landerer|grauburgunder schwarze erde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landerer|cuvee rot insider trocken|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lander|von bern|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lander|saison cl50 birrificio agricolo sorio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lander|jenkins pinot noir 750 mlt 139|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lander|jenkins pinot noir|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lander|jenkins pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lander|driver|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lander|advanced lubricating firming body lotion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lander|advanced lubricating dry skin body lotion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landen|landen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landcraft|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landcraft|moscatel galego|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landcraft|loureiro branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landcraft|loureiro|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landcraft|geografico loureiro branco|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landcraft|geografico alvarinho branco|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landcraft|alvarinho|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landbrot|backmischung 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landbrood|van vanmenno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landbollen|van vanmenno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landbier|dunkel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landbier|landbier|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landaviddy|lane single vineyard pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landauer|willi 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landauer|pfaffstatmer rotgipfler|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landauer|organic pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landauer|chardonnay vom muschelkalk burgenland|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landau du|val private selection semillon|??|w|semillon|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landang|white approx 250g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landang|red approx 250g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|landaire|vermentino|??|w|vermentino|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|landaire|tempranillo|??|r|tempranillo|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|landaire|tempranillo|??|r|tempranillo|??|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
