W|michele|portoghese fettucine 500gr|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas|doce
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=35
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=71
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=71
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|do|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=101
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|reserva|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco|=60
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2011|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2023|14|??|encorpado|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2022|14|??|encorpado|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=102
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
X
X
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|doc|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=184
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2024|13.5|docg|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=43
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2023|14|??|encorpado|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2022|14|??|encorpado|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2022|14|??|encorpado|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2022|14|doc|encorpado|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|nebbiolo|??|??|2022|14|doc|encorpado|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=119
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=60
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=184
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2015|13.5|docg|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=119
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
