1. W|carmenere|reserva|??|r|carmenere|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
22. W|carmenere|reserva privada puente austral 6 unidades|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
23. W|carmenere|reserva privada puente austral maturana|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
24. W|carmenere|reserva privada rdvin aromo|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
25. W|carmenere|reserva punti ferrer|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
26. W|carmenere|reserva ravanal|??|r|carmenere|??|??|NV|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
27. X
28. W|carmenere|reserva red|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
29. W|carmenere|reserva reserve william cole|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
30. W|carmenere|reserva rood|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
31. W|carmenere|reserva santa rita|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
32. W|carmenere|reserva santa rita|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=31
33. W|carmenere|reserva valle de rapel|cl|r|carmenere|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
34. W|carmenere|reserva vina chocalan chile|cl|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
35. W|carmenere|reserva vina mannle|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
36. W|carmenere|reserva vistamar|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
37. W|carmenere|reservado rdvin aromo|??|r|carmenere|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
38. W|carmenere|ribera|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
39. W|carmenere|riserva 2019 vignalta doc colli euganei|??|r|carmenere|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
40. W|carmenere|riserva 2020 doc colli euganei vignalta|??|r|carmenere|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
41. W|carmenere|riserva oratorio di san lorenzo 2020 inama colli berici doc|??|r|carmenere|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
42. X
43. W|carmenere|riserva vignalta|??|r|carmenere|??|??|2021|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
44. W|carmenere|rose|??|p|carmenere|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
45. W|carmenere|rose|??|p|carmenere|??|??|2025|12|??|leve|carne vermelha, massas, queijos curados|seco
46. W|carmenere|rosso cile do|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
47. W|carmenere|rotwein trocken 2021 reserva aromo maule valley chile|cl|r|carmenere|maule valley|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
48. W|carmenere|s7|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
49. W|carmenere|san leonardo|??|r|carmenere|??|??|2018|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
50. W|carmenere|san leonardo|??|r|carmenere|??|??|2018|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco|=49
51. W|carmenere|santa alba|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
52. W|carmenere|santa ema gran reserva|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
53. W|carmenere|santa irene reserva|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
54. W|carmenere|santa irene varietal signature|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
55. W|carmenere|schwaderer|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
56. W|carmenere|seco vinho tinto fino kit 06 un chilearrivo 31|cl|f|carmenere|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
57. W|carmenere|selected vineyards las moradas maule valley 1865|cl|r|carmenere|maule valley|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
58. W|carmenere|selection terroir rdvin ravanal|??|r|carmenere|??|??|NV|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
59. W|carmenere|sereno gran reserva cuatro almas|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
60. W|carmenere|single vineyard|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
61. W|carmenere|single vineyard laura|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
62. W|carmenere|soberbio casa montero|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
63. W|carmenere|superior|??|r|carmenere|??|??|2022|13.5|superior|encorpado|carne vermelha, massas, queijos curados|seco
64. W|carmenere|tabali los molles vineyard selection|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
65. W|carmenere|tenuta san leonardo|??|r|carmenere|??|??|2016|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
66. W|carmenere|tierras moradas|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
67. W|carmenere|up wines|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
68. W|carmenere|varietal rdvin aromo|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
69. W|carmenere|vigneti delle dolomiti igt|??|r|carmenere|??|??|2015|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
70. W|carmenere|vina marty pirca|??|r|carmenere|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
71. W|carmenere|vina von siebenthal|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
72. W|carmenere|vina von siebenthal|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=71
73. W|carmenere|vineyard selection|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
74. W|carmenere|wasi vina la sirca|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
75. W|carmenere|wine makers pride|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
76. W|carmenere|winemaker series premium algorta|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
77. W|carmeneresyrah|gran reserva do elqui valley falernia|??|r|syrah|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
78. W|carmenero|sebino rosso igt ca del bosco|??|r|??|??|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
79. W|carmenero|ca del bosco|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
80. W|carmenero|igt ca del bosco|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
81. W|carmenet|carmenet|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|carmenet|buttery chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
83. W|carmenet|buttery chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=82
84. W|carmenet|buttery chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=82
85. W|carmenet|buttery chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
86. W|carmenet|cabernet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
87. W|carmenet|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
88. W|carmenet|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=87
89. W|carmenet|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=87
90. W|carmenet|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=87
91. W|carmenet|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
92. W|carmenet|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
93. W|carmenet|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=92
94. W|carmenet|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=92
95. W|carmenet|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
96. W|carmenet|chardonnay reseerve|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
97. W|carmenet|dynamite cabernet sauvignon|??|r|cabernet sauvignon|??|??|1991|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
98. W|carmenet|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
99. W|carmenet|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=98
100. W|carmenet|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=98
101. W|carmenet|merlot|??|r|merlot|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
102. W|carmenet|merlot dynamite santa ynez valley|??|r|merlot|??|??|1998|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
103. W|carmenet|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|carmenet|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=103
105. W|carmenet|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=103
106. W|carmenet|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=103
107. W|carmenet|pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|carmenet|red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|carmenet|red sonoma county|us|r|??|sonoma|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|carmenet|reserve brut chardonnay methode champenoise|??|s|chardonnay|??|??|NV|12|reserve|leve|frutos do mar, aperitivos, sushi|brut
111. W|carmenet|reserve buttery chardonnay|??|w|chardonnay|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
112. W|carmenet|reserve buttery chardonnay|??|w|chardonnay|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco|=111
113. W|carmenet|reserve buttery chardonnay|??|w|chardonnay|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco|=111
114. W|carmenet|reserve buttery chardonnay|??|w|chardonnay|??|??|2023|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
115. W|carmenet|reserve buttery chardonnay|??|w|chardonnay|??|??|2023|12.5|reserve|medio|peixes, frutos do mar, saladas|seco|=114
116. W|carmenet|reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
117. W|carmenet|reserve chardonnay|??|w|chardonnay|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
118. W|carmenet|reserve chardonnay|??|w|chardonnay|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco|=117
119. W|carmenet|reserve chardonnay|??|w|chardonnay|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco|=117
120. W|carmenet|reserve merlot|??|r|merlot|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
121. W|carmenet|reserve pinot noir|??|r|pinot noir|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
122. W|carmenet|reserve red blend|??|r|red blend|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
123. W|carmenet|reserve red blend|??|r|red blend|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=122
124. W|carmenet|reserve red blend|??|r|red blend|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=122
125. W|carmenet|reserve red blend|??|r|red blend|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=122
126. W|carmenet|reserve red blend|??|r|red blend|??|??|2020|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
127. W|carmenet|vdt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|carmenet|vintners collection pinot noir reserve california|us|r|pinot noir|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
129. W|carmenet|vintners collection red blend reserve california|us|r|red blend|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
130. W|carmenos|carmenos|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|carmenos|organic passito veneto igt|it|d|??|veneto|??|NV|10.5|igt|encorpado|sobremesas, frutas secas, queijos|doce
132. W|carmenos|passito rosso veneto igt biologico|it|d|??|veneto|??|NV|10.5|igt|encorpado|sobremesas, frutas secas, queijos|doce
133. W|carmens|best brown butter almond brittle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|carmens|best butter pecan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. X
136. W|carmens|best everyone loves vanilla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|carmens|best hes not worth it|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
138. W|carmens|best jolly ol eggnog|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|carmens|best lite mango|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
140. W|carmens|best lite mixed berries|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|carmens|best lite strawberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|carmens|best pistachio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|carmens|best rocky road|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|carmens|best salted caramel ice cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|carmens|best smore the merrier|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|carmens|best strawberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. X
148. W|carmes|de rieussec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|carmes|de rieussec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
150. W|carmes|de rieussec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
151. W|carmes|de rieussec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
152. W|carmes|de rieussec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
153. W|carmes|de rieussec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
154. W|carmes|de rieussec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
155. W|carmes|de rieussec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
156. W|carmes|de rieussec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
157. W|carmes|de rieussec|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|carmes|de rieussec|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|carmes|de rieussec|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|carmes|de rieussec|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=159
161. W|carmes|de rieussec|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=159
162. W|carmes|de rieussec 2010 sauternes|fr|d|??|??|??|2010|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
163. W|carmes|de rieussec|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. W|carmes|de rieussec|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|carmes|de rieussec|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=164
166. W|carmes|de rieussec|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=164
167. W|carmes|de rieussec|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|carmes|de rieussec|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|carmes|de rieussec|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|carmes|de rieussec|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=169
171. W|carmes|de rieussec 2015 sauternes half btl|fr|d|??|??|??|2015|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
172. W|carmes|de rieussec|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|carmes|de rieussec|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=172
174. W|carmes|de rieussec|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=172
175. W|carmes|de rieussec 2016 c6 sauternes|fr|d|??|??|??|2016|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
176. W|carmes|de rieussec 2016 sauternes halbe flasche bordeaux ac|fr|d|??|bordeaux|??|2016|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
177. W|carmes|de rieussec|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
178. W|carmes|de rieussec|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=177
179. W|carmes|de rieussec|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=177
180. W|carmes|de rieussec|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|carmes|de rieussec|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
182. W|carmes|de rieussec|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
183. W|carmes|de rieussec|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
184. W|carmes|de rieussec|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
185. W|carmes|de rieussec|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
186. W|carmes|de rieussec|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
187. W|carmes|de rieussec|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
188. W|carmes|de rieussec 2018 c6 sauternes|fr|d|??|??|??|2018|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
189. W|carmes|de rieussec|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|carmes|de rieussec|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=189
191. W|carmes|de rieussec|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=189
192. W|carmes|de rieussec 2019 12 sauternes|fr|d|??|??|??|2019|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
193. W|carmes|de rieussec 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|carmes|de rieussec 2019 sauternes 37|fr|d|??|??|??|2019|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
195. W|carmes|de rieussec|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. X
197. W|carmes|de rieussec 2020 sauternes aoc|fr|d|??|??|??|2020|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
198. W|carmes|de rieussec|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|carmes|de rieussec 2022 sauternes|fr|d|??|??|??|2022|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
200. W|carmes|de rieussec|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|carmes|de rieussec 2eme vin 2019 demi|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|carmes|de rieussec 2o ch rieussec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|carmes|de rieussec 37|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|carmes|de rieussec 6 case sauternes|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
205. W|carmes|de rieussec aop sauternes|fr|d|??|??|??|2013|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
206. X
207. X
208. X
209. X
210. W|carmes|de rieussec half|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|carmes|de rieussec half bottle sauternes|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
212. W|carmes|de rieussec rieussec 2nd wine sauternes|fr|d|??|??|??|2010|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
213. W|carmes|de rieussec sauternes|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
214. W|carmes|de rieussec sauternes|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=213
215. W|carmes|de rieussec sauternes 0|fr|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
216. W|carmes|de rieussec sauternes|fr|d|??|??|??|2007|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
217. W|carmes|de rieussec sauternes|fr|d|??|??|??|2007|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=216
218. W|carmes|de rieussec sauternes|fr|d|??|??|??|2008|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
219. W|carmes|de rieussec sauternes|fr|d|??|??|??|2009|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
220. W|carmes|de rieussec sauternes|fr|d|??|??|??|2009|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=219
221. W|carmes|de rieussec sauternes|fr|d|??|??|??|2010|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
222. W|carmes|de rieussec sauternes|fr|d|??|??|??|2010|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=221
223. W|carmes|de rieussec sauternes|fr|d|??|??|??|2010|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=221
224. W|carmes|de rieussec sauternes|fr|d|??|??|??|2010|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=221
225. W|carmes|de rieussec sauternes|fr|d|??|??|??|2011|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
226. W|carmes|de rieussec sauternes|fr|d|??|??|??|2012|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
227. W|carmes|de rieussec sauternes|fr|d|??|??|??|2012|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=226
228. W|carmes|de rieussec sauternes|fr|d|??|??|??|2012|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=226
229. W|carmes|de rieussec sauternes|fr|d|??|??|??|2012|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=226
