W|glenfarclas|40 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|8yo 40 c6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|8yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|8yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|glenfarclas|9 year old 105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|9 year old christmas edition|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|9 year old oloroso|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|9 years old oloroso sherry casks|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|9yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|aged 10 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|aged 21 years 02 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|aged 35 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|bog 185th anniversary|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|cadenheads 41 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|cask 105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|cask strength 105 60o|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|celebrating our 175th anniversary|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|chairmans reserve 175th anniversary|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|christmas edition|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|easter edition 20132024|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|edition limitee gust 9 ans 594|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 1770 423|??|r|??|??|??|1960|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask|??|r|??|??|??|1965|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask sherry cask 553|??|f|??|??|??|1970|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask 42yo 551 c3|??|r|??|??|??|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask|??|r|??|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask|??|r|??|??|??|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 13007 519|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 519 cask 9256|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask cask 9256 519|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 553 cask 5676|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask cask 5976 553|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 565 cask 872|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 1073 518|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 523 cask 1070|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 582 cask 2937|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 7635 579|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 5212|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 597 cask 2461|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 2669 601|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 15 years old 1117 615|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask 7061 461 bottled in|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask 1770 423|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask 2126 496|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask 2217 433|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask 6514 50|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask 1 578|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask 147 514|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask 1768 405|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask 178 451|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask 3456 555|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask 3483 sherry butt 529|??|f|??|??|??|2014|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask autumn cask 5040 531|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask autumn cask r1 416|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask de a|??|r|??|??|??|1953|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask milleniumfad cask 7512|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask milleniumfad milleniumfad cask 24|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask release iv cask 1838 488 bottled in|??|r|??|??|??|1959|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask release ix cask 3050 48 bottled in|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask release vi cask 534 495 bottled in|??|r|??|??|??|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask release vii cask 6778 517 bottled in|??|r|??|??|??|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask release x cask 1675 496 bottled in|??|r|??|??|??|1953|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask release x cask 437 bottled in|??|r|??|??|??|2062|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask release x cask 3247 409 bottled in|??|r|??|??|??|1962|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask spring cask 4077 439 bottled in|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask spring cask 4198 506 bottled in|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask spring cask 2215 555|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 1260 472|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 2454 578|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 2591 454|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 31 461|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 3105 418|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 3180 plain hogshead 462|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 3829 48|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 4004 413|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 4505 497|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 6032 47|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 5113 556|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 3353 16 year old|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 4775 refill butt 477|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 8796 494|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 13007 sherry butt 519|??|f|??|??|??|2021|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 2937 sherry butt 582|??|f|??|??|??|2021|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 3387 refill sherry butt 579|??|f|??|??|??|2021|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 5676 sherry butt 553|??|f|??|??|??|2021|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 872 sherry butt 565|??|f|??|??|??|2021|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 9256 sherry butt 519|??|f|??|??|??|2021|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 1030 refill butt 613|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 4th fill butt 559|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 2384 sherry butt 588|??|f|??|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 2526 sherry butt 589|??|f|??|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 3 sherry butt 56|??|f|??|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 3286 sherry butt 528|??|f|??|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 3323 sherry hogshead 506|??|f|??|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 3383 4th fill butt 551|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 4323 4th fill butt 454|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 4439 4th fill butt 538|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 553 sherry butt 603|??|f|??|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 6173 4th fill hogshead 459|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask summer cask 6651 sherry butt 502|??|f|??|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask summer cask 852 4th fill butt 554|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask trunk 19542003|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask trunk 19542003|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=166
W|glenfarclas|family cask w15 cask6356|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask winter cask 3548 sherry butt 456|??|f|??|??|??|2015|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask winter cask 1606 546|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask winter cask 38 refill hogshead 508|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask winter cask 1374 refill sherry butt 492|??|f|??|??|??|2018|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family cask winter cask 15 year old|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family cask winter cask 7060 19 year old|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 11yo 1832 601|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 11yo 20102021 1503 607|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 11yo 20102021 1504 604 wb 8717|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 12yo 2437 568|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 12yo 2438 579|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 16yo 20062023 2528 58|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 18yo 20052023 3034 4th fill butt 596|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 18yo 20052024 2462 sherry butt 593 wb885|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family casks 18yo 900285 578|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks|??|r|??|??|??|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks|??|r|??|??|??|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks s21|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks s21|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks s21|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 872 565|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 19922020 2904 559 wb8957|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks s20|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 6651 502|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 19952011 3771 575 wb8752|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 19952018 6649 516 wf89|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks s21|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 4326 503 eriksen vinhandel|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 7518 514|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 19yo 19982017 1695 494|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 24 561|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 3286 528|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks cask 6226 refill sherry hogshead summer 522|??|f|??|??|??|2000|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family casks 3383 551|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 559|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks s18|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks cask 1106 refill port pipe summer 542|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks s21|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 2461 597|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks cask 1030 refill butt summer 613|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks cask 2528 sherry but summer 58|??|f|??|??|??|2006|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family casks 2669 601|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks cask 2669 refill sherry butt summer 601|??|f|??|??|??|2007|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family casks cask 262 sherry but summer 591|??|f|??|??|??|2008|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|family casks 23yo 19982021 2937 582|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 23yo 19992022 5212 553|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 24yo 19972021 5964 589|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 25yo 19952021 6765 577|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 27yo 19952022 6651 502|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|family casks 28yo 19892018 13010 514|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
