W|portugues 2 flores|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porto|taylors vargellas vint2012 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vargellas vint2005 0375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny fine kit com 6 garrafas|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny fine kit com 3 garrafas|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny fine kit com 12 garrafas|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny edicao historica|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny 40 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny 30 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny 20 anos 0375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny 20 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors single harvest 1967 075|??|f|palomino|??|??|1967|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors sentinels vintage 2022 075|??|f|palomino|??|??|2022|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors selected reserve 075|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors select reserve|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors ruby fine kit com 6 garrafas|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors ruby fine kit com 3 garrafas|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors ruby fine kit com 12 garrafas|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors reserve tawny325 075|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors reserve tawny edicao historica 075|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors reserve tawny|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto vintage 2018 tinto taylors|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto vintage 2017 tinto taylors|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto vintage 2003 tinto taylors|??|f|palomino|??|??|2003|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto vintage 1994 tinto taylors|??|f|palomino|??|??|1994|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto tawny tinto taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto ruby tinto taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto ruby reserva select tinto taylors|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto lbv tinto taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto fine white branco taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto 40 anos tinto taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto 30 anos tinto taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto 20 anos tinto taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors porto 10 anos tinto taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors lbv 0375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors kingsman edition050|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors hm king charles iii coronation 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors fonseca vintage 1994 2x0375|??|f|palomino|??|??|1994|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors fine white 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=131
W|porto|taylors fine tawny quinta and vineyars bottlers|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=134
W|porto|taylors fine ruby quinta and vineyars bottlers|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors chip dry 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors branco chip dry|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors 50 anos old tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors 50 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors 40 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors 40 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=141
W|porto|taylors 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=143
W|porto|taylors 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylor tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylor tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylor s tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylor ruby ssafra|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylor late botlled vintage 2017|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|tawny vieira de sousa 20 anos garrafa magnum|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|tawny vieira de sousa 10 anos garrafa magnum|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|tawny special reserve alves de sousa|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|tawny maynard s colheita 1974|??|f|palomino|??|??|1974|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|tawny 10 anos vieira de sousa|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|statement 10a tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|soalheira borges vintage 2017 075|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|skeffington vint1997 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|single harvest 2000 henriques henriques|??|f|palomino|??|??|2000|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|silval vint1998 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|seara dordens lbv|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|sao pedro ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|sao pedro 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|santa marta ruby tinta barroca|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|santa marta rose portugal|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|sandeman vintage 1994|??|f|palomino|??|??|1994|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|sandeman the journey|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ruby quinta da pacheca|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ruby quinta da pacheca|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=169
W|porto|ruby dom jose com estojo|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rozes 4x37|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|royal oporto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|royal oporto ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|royal oporto rose 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|royal oporto lbvc 2015|??|f|palomino|??|??|2015|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|royal oporto extra dry bco 7|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|royal colheita 2003|??|f|palomino|??|??|2003|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dona antonia|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rcv vint2007 75|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rcv vint1997 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rcv vint1994 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rcv vint 2017 075|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rcv vint 2013 075|??|f|palomino|??|??|2013|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rcv lbv 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rcv 40 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rcv 20 anos 375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rcv 20 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|rcv 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|raven resesp|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ramos pinto vintage 2017 075|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ramos pinto ruby 009|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ramos pinto 30 anos 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ramos pinto 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta vale d maria vintage|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta vale d maria vintage|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=195
W|porto|quinta nova vintage 2017 075|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta dos pocos vintage 2021|??|f|palomino|??|??|2021|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta dos pocos vintage 2019|??|f|palomino|??|??|2019|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta dos pocos vintage 2017|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta dos murcas tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta dos murcas minas|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta dos mattos 40 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta dos mattos 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta dos frades vintage|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta dona matilde vintage 2016 075|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do vesuvio vintage 2023 ccx075|??|f|palomino|??|??|2023|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do vesuvio vintage 2019 075|??|f|palomino|??|??|2019|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do vesuvio vintage 2018 ccx 075|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do vesuvio vintage 2018 075|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do vesuvio vintage 199920092019 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do vallado tawny reserva|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do noval nacional 2019|??|f|palomino|??|??|2019|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do noval 40anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do noval 10anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do crasto tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do crasto porto lbv tinto quinta do crasto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta do crasto finest reserve ruby 075|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|quinta das tecedeiras tawny reserve 075|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
