W|argento|seleccion malbec 2019|ar|r|malbec|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|argiano|1999 toscana solengo|it|r|??|tuscany|??|1999|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|2002 solengo rosso toscana|it|r|??|tuscany|??|2002|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|2010 brunello di montalcino|it|r|??|tuscany|montalcino|2010|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|2013 non confunditur red blend tuscany italy|it|r|??|??|??|2013|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|2018 brunello di montalcino|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|2019 brunello|it|r|??|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|2019 brunello di montalcino|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|2019 brunello di montalcino|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=69
W|argiano|2020 brunello di montalcino|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|2021 nc non cunfuditur toscana igt|it|r|??|tuscany|??|2021|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|2021 solengo rosso tosc red|it|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|bru mnt v19 6pk|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di mont|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=76
W|argiano|brunello di montalcino 1997|it|r|??|tuscany|montalcino|1997|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2006|it|r|??|tuscany|montalcino|2006|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2009|it|r|??|tuscany|montalcino|2009|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2012|it|r|??|tuscany|montalcino|2012|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2013|it|r|??|tuscany|montalcino|2013|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2015|it|r|??|tuscany|montalcino|2015|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 201516|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2017|it|r|??|tuscany|montalcino|2017|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2017|it|r|??|tuscany|montalcino|2017|13.5|??|medio|carnes, massas, queijos|seco|=99
W|argiano|brunello di montalcino 2017|it|r|??|tuscany|montalcino|2017|13.5|??|medio|carnes, massas, queijos|seco|=99
W|argiano|brunello di montalcino 2017|it|r|??|tuscany|montalcino|2017|13.5|??|medio|carnes, massas, queijos|seco|=99
W|argiano|brunello di montalcino 2017|it|r|??|tuscany|montalcino|2017|13.5|??|medio|carnes, massas, queijos|seco|=99
W|argiano|brunello di montalcino 2017|it|r|??|tuscany|montalcino|2017|13.5|??|medio|carnes, massas, queijos|seco|=99
W|argiano|brunello di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco|=105
W|argiano|brunello di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco|=105
W|argiano|brunello di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco|=105
W|argiano|brunello di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco|=105
W|argiano|brunello di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco|=105
W|argiano|brunello di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco|=105
W|argiano|brunello di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco|=105
W|argiano|brunello di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco|=105
W|argiano|brunello di montalcino 2018 1 top wines 2023 ws 95pts|it|r|??|tuscany|montalcino|??|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2018 mg|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2018 no 1 del mundo|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco|=117
W|argiano|brunello di montalcino 2019 magnum|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco|=134
W|argiano|brunello di montalcino 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco|=134
W|argiano|brunello di montalcino 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco|=134
W|argiano|brunello di montalcino 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco|=134
W|argiano|brunello di montalcino 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco|=134
W|argiano|brunello di montalcino 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco|=134
W|argiano|brunello di montalcino 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco|=134
W|argiano|brunello di montalcino 2020 magnum|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 2020 tuscany|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino 75|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino argiano 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino brunello di montalcino docg 2018 vino rosso|it|r|??|tuscany|montalcino|2018|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino brunello di montalcino docg 2020 vino rosso|it|r|??|tuscany|montalcino|2020|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino docg|it|r|??|tuscany|montalcino|NV|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino docg|it|r|??|tuscany|montalcino|NV|13.5|docg|medio|carnes, massas, queijos|seco|=148
W|argiano|brunello di montalcino docg|it|r|??|tuscany|montalcino|NV|13.5|docg|medio|carnes, massas, queijos|seco|=148
W|argiano|brunello di montalcino docg|it|r|??|tuscany|montalcino|NV|13.5|docg|medio|carnes, massas, queijos|seco|=148
W|argiano|brunello di montalcino docg|it|r|??|tuscany|montalcino|NV|13.5|docg|medio|carnes, massas, queijos|seco|=148
W|argiano|brunello di montalcino docg 2014 6 x|it|r|??|tuscany|montalcino|2014|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino docg 2015 6 x|it|r|??|tuscany|montalcino|2015|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino docg 2017|it|r|??|tuscany|montalcino|2017|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino docg 2018|it|r|??|tuscany|montalcino|2018|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino docg 2018|it|r|??|tuscany|montalcino|2018|13.5|docg|medio|carnes, massas, queijos|seco|=156
W|argiano|brunello di montalcino docg 2018|it|r|??|tuscany|montalcino|2018|13.5|docg|medio|carnes, massas, queijos|seco|=156
W|argiano|brunello di montalcino docg 2019|it|r|??|tuscany|montalcino|2019|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino docg 2019|it|r|??|tuscany|montalcino|2019|13.5|docg|medio|carnes, massas, queijos|seco|=159
W|argiano|brunello di montalcino docg 2019|it|r|??|tuscany|montalcino|2019|13.5|docg|medio|carnes, massas, queijos|seco|=159
W|argiano|brunello di montalcino docg 2019 italy|it|r|??|tuscany|montalcino|2019|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino docg 2020|it|r|??|tuscany|montalcino|2020|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino docg 2020|it|r|??|tuscany|montalcino|2020|13.5|docg|medio|carnes, massas, queijos|seco|=163
W|argiano|brunello di montalcino docg 2020|it|r|??|tuscany|montalcino|2020|13.5|docg|medio|carnes, massas, queijos|seco|=163
W|argiano|brunello di montalcino docg 2020|it|r|??|tuscany|montalcino|2020|13.5|docg|medio|carnes, massas, queijos|seco|=163
W|argiano|brunello di montalcino docg 2020|it|r|??|tuscany|montalcino|2020|13.5|docg|medio|carnes, massas, queijos|seco|=163
W|argiano|brunello di montalcino docg 2020|it|r|??|tuscany|montalcino|2020|13.5|docg|medio|carnes, massas, queijos|seco|=163
W|argiano|brunello di montalcino docg 2020 6 bottle case|it|r|??|tuscany|montalcino|2020|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino docgtuscany italy 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino italy|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino magnum|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino magnum 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino magnum 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco|=173
W|argiano|brunello di montalcino magnum 2020|it|r|??|tuscany|montalcino|2020|13.5|??|medio|carnes, massas, queijos|seco|=173
W|argiano|brunello di montalcino mgm owc brunello di montalcino docg 2018 vino rosso|it|r|??|tuscany|montalcino|2018|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino riserva|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino riserva 2012|it|r|??|tuscany|montalcino|2012|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino riserva 2016|it|r|??|tuscany|montalcino|2016|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino toscana 2018 red dry 145 075|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino toscana italia 2011|it|r|??|tuscany|montalcino|2011|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino vigna del suolo|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino vigna del suolo|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=182
W|argiano|brunello di montalcino vigna del suolo 2015|it|r|??|tuscany|montalcino|2015|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino vigna del suolo 2016|it|r|??|tuscany|montalcino|2016|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello di montalcino vigna del suolo 2016|it|r|??|tuscany|montalcino|2016|13.5|??|medio|carnes, massas, queijos|seco|=185
W|argiano|brunello di montalcino vigna del suolo 2019|it|r|??|tuscany|montalcino|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello mnt v19|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunello montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|brunelo di montalcino vigna del suolo|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|castello sesti|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|nc igt|it|r|??|??|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|nc igt toscana 2020|it|r|??|tuscany|??|2020|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|nc non confunditur toscana|it|r|??|tuscany|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|nc non confunditur toscana igt tuscany 2021 italy|it|r|??|tuscany|??|2021|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|nc non confunditur toscana rosso|it|r|??|tuscany|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|nc rosso 2017|it|r|??|??|??|2017|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|nc rosso 2019|it|r|??|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|nc rosso 2020|it|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|nc super toscano|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|nc toscana igt|it|r|??|tuscany|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|non confonditur super tuscan 2019|it|r|??|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditor supertuscan blend tuscany italy|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditor supertuscan blend tuscany italy|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=203
W|argiano|non confunditur|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditur|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=205
W|argiano|non confunditur 2021|it|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditur 2021|it|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco|=207
W|argiano|non confunditur 2021|it|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco|=207
W|argiano|non confunditur 2023|it|r|??|??|??|2023|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditur 2023|it|r|??|??|??|2023|13.5|??|medio|carnes, massas, queijos|seco|=210
W|argiano|non confunditur 2023|it|r|??|??|??|2023|13.5|??|medio|carnes, massas, queijos|seco|=210
W|argiano|non confunditur igt|it|r|??|??|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|non confunditur igt 2021|it|r|??|??|??|2021|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|non confunditur igt toscana|it|r|??|tuscany|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|non confunditur rosso toscana igt|it|r|??|tuscany|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|non confunditur toscana 2019|it|r|??|tuscany|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditur toscana 2022|it|r|??|tuscany|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditur toscana 2022 red dry 14 075|it|r|??|tuscany|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditur toscana igt|it|r|??|tuscany|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argiano|non confunditur toscana rosso|it|r|??|tuscany|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditur toscana rosso 2020 italy|it|r|??|tuscany|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditur toscana rosso 2021 italy|it|r|??|tuscany|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|non confunditur toscana rosso 2023|it|r|??|tuscany|??|2023|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|riserva docg brunello di montalcino 2016|it|r|??|tuscany|montalcino|2016|13.5|docg|medio|carnes, massas, queijos|seco
W|argiano|ros mnt v24 6pk 2023|it|r|??|??|??|2023|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso de montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=228
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=228
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=228
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=228
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=228
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=228
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=228
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=228
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=228
W|argiano|rosso di montalcino|it|r|??|tuscany|montalcino|NV|13.5|??|medio|carnes, massas, queijos|seco|=228
W|argiano|rosso di montalcino 2018|it|r|??|tuscany|montalcino|2018|13.5|??|medio|carnes, massas, queijos|seco
