W|rapariga da quinta colheita seleccionada|seleccionada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao mirto safra|2018 espanhol mega oferta|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=42
W|ramon bilbao mirto|mirto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao limite sur|sur|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao limite norte|norte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao|safra 2015 espanhol mega oferta|??|r|??|??|??|2015|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao eidcion limitada|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza tto 1x|1x|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=50
W|ramon bilbao crianza|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=50
W|ramon bilbao crianza tempranillo|rioja 2019|es|r|tempranillo|rioja|??|2019|14.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza tempranillo|tempranillo|??|r|tempranillo|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza|rioja tinto espanha|es|r|??|rioja|??|NV|14.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza|rioja|es|r|??|rioja|??|NV|14.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza espanhol mega oferta|oferta|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza espanhol mega oferta|oferta|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=57
W|ramon bilbao crianza espanhol kit com 6 garrafas|garrafas|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza|2018 tinto espanha|??|r|??|??|??|2018|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=61
W|ramon bilbao crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=61
W|ramirana trinidad|trinidad|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramirana|maipo cabernet sauvignon carmenere|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ramirana|carmenere tinto chile|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ramirana|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|raizes|premium cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|raimonda barbera dalba|doc fontanafredda italiano|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|raices argentinas malbec|malbec|ar|r|malbec|mendoza|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rabuccolo rubbia|rubbia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rabo de galo regional algarve|2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rabbit family wines charming rabbit chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|r de romaneira|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|r de romaneira|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=74
W|qvdm vinha|do rio douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|qvdm vinha|do rio douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=76
W|qvdm vinha da francisca|douro doc|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|qvdm vinha da francisca|douro doc|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=78
W|qvdm rufo|branco douro doc|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|qvattrino assemblage|2023|??|r|??|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quotidiano sauvignon blanc|branco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quotidiano cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinto primitivo sauvignon blanc|blanc|??|w|primitivo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quintela|tinto 2019|??|r|??|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quintela colheita|tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quintela colheita|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quintela colheita|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quintela colheita|douro rose|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|quintela colheita|douro rose|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco|=89
W|quintela colheita|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|quintela colheita|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quintas de borba grande|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quintana blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta vicosa|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta vicosa syrah|2017 0|??|r|syrah|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta vesuvio vintage|2019 0 caixa|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta vesuvio vintage|2018 0 caixa|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta vesuvio vintage|2003 0 caixa|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta varzea da pedra|gran reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|valle madruga touriga nacional e touriga franca tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|valle madruga fernao pires branco 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta vallado|porto 20years|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta vale veados|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta vale dona maria vinhas|do sabor douro superior|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta vale dona maria vinha|do rio douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta vale dona maria vinha|do moinho douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta vale dona maria vinha da francisca|douro doc|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta vale dona maria vinha da francisca|douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta vale dona maria|porto vintage|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta vale dona maria|douro superior doc branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|quinta vale dona maria|douro superior doc|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta seival|tinto casta portuguesas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta sao joao batista|blend tejo|pt|r|??|tejo|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta sao joao batista|blend tejo|pt|r|??|tejo|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=114
W|quinta sao giao vinho verde|doc giao branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta sao giao vinho verde|doc colheita selecionada loureiro branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta sao bernardo|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta santiago alvarinho|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta san michel malvarinto|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta san michel galego dourado|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta san michel espumante malvasia colares|2022|??|s|chardonnay, pinot noir|??|??|2022|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|quinta romaneira syrah apontador|tinto 2021|??|r|syrah|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta regueiro maturado|branco 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta regueiro barricas|branco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta pacheca superior|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta pacheca superior|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta pacheca|lagar tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta pacheca|porto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta pacheca colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta pacheca colheita|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta noval vintage|2021 0|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta noval vintage|2019 0|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta noval vintage|2011 0|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta noval|tinto 2017 1|??|r|??|??|??|2017|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta noval|tinto 2017 0|??|r|??|??|??|2017|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta nova vinhas centenarias p2921|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova vinhas centenarias p2821|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova vinha centenaria ref p29p21|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova vinha centenaria ref p29p21|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova vinha centenaria ref p28p21|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova vinha centenaria p29|p29|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova unoaked|tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova unoaked|tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=143
W|quinta nova touriga nacional|tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta nova|tinto unoaked doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova|tinto unoaked doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=146
W|quinta nova terroir|tinto 2023|??|r|??|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta nova terroir|blend tinto 2022|??|r|??|??|??|2022|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova terroir|blend reserva doc|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta nova terroir|blend reserva doc|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=150
W|quinta nova|rose colheita doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta nova|rose 2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta nova|touriga nacional tinto 2023|??|r|??|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta nova|touriga nacional tinto 2021|??|r|??|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta nova|terroir blend tinto 2023|??|r|??|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta nova|douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta nova|blanc de noir branco 2024|??|w|??|??|??|2024|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta nova pomares|tinto doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova pomares|tinto doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=159
W|quinta nova pomares|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta nova mirabilis grande|branco doc|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta nova grande|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta nova aeternus|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta nova aeternus|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=164
W|quinta mouro vinha malho|tinto 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta morgado|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta morgado|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|quinta maria izabel mi|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta maria izabel|branco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta jubair seco bordo|bordo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta jubair bordo|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta jubair bordo|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=172
W|quinta jubair bordo seco|seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta jubair bordo demi sec|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta ja pias|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta giesta|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta giesta|rose 0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta giesta|tinto 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta giesta colheita tardia 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta giesta|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta gaivosa|white 10 anos 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta gaivosa vintage|2018 0|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta gaivosa tawny 20 anos 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta gaivosa tawny 10 anos 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta foz de arouce vinha santa maria|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta foz de arouce|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta foz arouce vinhas velhas santa maria|2015 tinto 1|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta foz arouce|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta foz arouce|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta fonte souto|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta fonte souto taifa|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta fonte souto|rose 0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta fonte souto|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta falorca|lagar tinto 2014|??|r|??|??|??|2014|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos termos vinha das colmeias|tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos termos|vinhas velhas tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos termos|vinha das colmeias tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos termos|branco 2024|??|w|??|??|??|2024|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta dos termos o pecado|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos termos|doc selecao tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos tavoras|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos pocos|douro doc colheita|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos pocos|douro doc colheita|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=203
W|quinta dos nogueiroes|tinto selection old vines limited edition 2013|??|r|??|??|??|2013|14.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos muros vintage|2018 0|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos muros|tinto o carater do douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos muros|rose exclusividade do douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|quinta dos muros m7|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos murcas vv47|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos murcas|tinto 2017|??|r|??|??|??|2017|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos murcas|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos murcas|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=212
W|quinta dos murcas minas|tinto 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos murcas margem|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos murcas margem|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos murcas assobio|douro tinto magnum|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos murcas assobio|douro tinto magnum|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=217
W|quinta dos murcas assobio|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta dos murcas assobio|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|quinta dos mattos|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta dos lemos dona santana|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
