W|tenuta moraria|maremma toscana doc 2021|it|r|??|toscana|??|2021|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta monteti|caburnio rosso toscana igt|it|r|??|toscana|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta monteti|caburnio igt 2015|??|r|??|??|??|2015|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta montescudiero|lunaja rosso 2016|??|r|??|??|??|2016|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta montenisa|franciacorta donna cora saten 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta montenisa|franciacorta docg blanc de blancs marchesi antinori|??|r|??|??|??|NV|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta montenisa|donna cora franciacorta docg saten marchesi antinori 2021|??|r|??|??|??|2021|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta montenisa|donna cora franciacorta docg saten 2012 magnum marchese antinori|??|r|??|??|??|2012|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta montenisa|cuvee royal brut franciacorta italy|it|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta montenisa|contessa maggi franciacorta docg riserva brut 2015 marchesi antinori|??|s|??|??|??|2015|12|docg|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta montenisa|contessa maggi 2016|??|r|??|??|??|2016|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta montenisa|conte aymo blanc de noir 2020 marchesi antinori|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta montenisa|blanc de blancs franciacorta nv|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta montemagno|tm metodo classico brut monferrato nv|??|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta montemagno|nobilis ruche di castagnole monferrato docg|??|r|??|??|??|NV|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta montemagno|mysterium barbera dasti superiore docg|??|r|barbera|??|??|NV|13|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta monteloro|scabrezza toscana 2024|it|r|??|toscana|??|2024|13|??|medio|carne vermelha; massas; queijo|seco
=44
W|tenuta monteloro|scabrezza toscana 2023|it|r|??|toscana|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta monteloro|mezzo braccio riesling 2021|??|w|riesling|??|??|2021|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta montecchiesi|vermentinochardonnay 2022|??|w|??|??|??|2022|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta montecchiesi|vermentino chardonnay toscana igt suche|it|w|chardonnay, vermentino|toscana|??|NV|12.5|igt|medio|peixes; frutos do mar; saladas|seco
W|tenuta montecchiesi|vermentina chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta montecchiesi|sangiovese toscana igt suche|it|r|sangiovese|toscana|??|NV|13.5|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta montecchiesi|miraly rose intrigant igt cuvee ruzove suche|??|p|??|??|??|NV|12.5|igt|leve|petiscos; saladas; comida asiatica|seco
W|tenuta montecchiesi|2023 montecchiesi vermentino chardonnay 2023|??|w|chardonnay, vermentino|??|??|2023|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta montecchiesi|2018 vermentino chardonnay toscana igt 125|it|w|chardonnay, vermentino|toscana|??|2018|12.5|igt|medio|peixes; frutos do mar; saladas|seco
W|tenuta montecchiesi|2016 selverello syrah cortona doc 14|??|r|syrah|??|??|2016|14|doc|encorpado|carne vermelha; massas; queijo|seco
W|tenuta monteccheiesi|miraly toscana rose igt|it|p|??|toscana|??|NV|12.5|igt|leve|petiscos; saladas; comida asiatica|seco
W|tenuta monteccheiesi|2021 miraly toscana rose igt 125|it|p|??|toscana|??|2021|12.5|igt|leve|petiscos; saladas; comida asiatica|seco
W|tenuta monte|ilice etna rosso 2018|it|r|??|etna|etna|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta monte|ilice etna bianco 2019|it|w|??|etna|etna|2019|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta montauto|vermentino igt toscana 2024|it|w|vermentino|toscana|??|2024|12.5|igt|medio|peixes; frutos do mar; saladas|seco
W|tenuta montauto|pinot nero igt toscana rosso 2022 vino rosso|it|r|??|toscana|??|2022|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta montauto|gessaia sauvignon igt toscana bianco 2022 vino bianco|it|w|??|toscana|??|2022|12.5|igt|medio|peixes; frutos do mar; saladas|seco
W|tenuta montauto|gessaia doc maremma toscana sauvignon 2023|it|r|??|toscana|??|2023|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta montanello|nebbiolo 2022|??|r|nebbiolo|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta montanello|langhe nebbiolo 2023|??|r|nebbiolo|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta montanello|barolo di castiglione falletto 2016|??|r|??|??|barolo|2016|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta montanello|barolo di castiglione falletto 2015|??|r|??|??|barolo|2015|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta montanello|barolo 2015|??|r|??|??|barolo|2015|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta montanello|barbera dalba 2017|??|r|barbera|??|??|2017|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta monolo|bramaterra riserva 2001|??|r|??|??|??|2001|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta monolo|bramaterra riserva 1996|??|r|??|??|??|1996|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta monolo|2004 bramaterra riserva|??|r|??|??|??|2004|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta monolo|1999 bramaterra riserva|??|r|??|??|??|1999|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta monolo|1996 bramaterra riserva|??|r|??|??|??|1996|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta monolo|1991 bramaterra riserva|??|r|??|??|??|1991|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta mokarta|syrah talia bio 2021|??|r|syrah|??|??|2021|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta mokarta|sauvignon blanc talia bio 2024|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta mokarta|perricone talia bio 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta mokarta|nero davola talia bio 2023|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta mokarta|grillo doc talia 2024|??|r|??|??|??|2024|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta mokarta|grillo doc 2024|??|r|??|??|??|2024|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta mokarta|etna rosso doc 2018|it|r|??|etna|etna|2018|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta migliavacca|vino rosso 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta migliavacca|vino rosso|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta migliavacca|monferrato vino rosso 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta migliavacca|il grignolino del monferrato casalese 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
=86
W|tenuta migliavacca|grignolino del monferrato 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta migliavacca|freisa bio 2023|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta migliavacca|freisa 2017 monferrato piedmont italy|it|r|??|??|??|2017|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta migliavacca|barbera del monferrato 2022|??|r|barbera|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta migliavacca|barbera del monferrato 2021|??|r|barbera|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
=92
W|tenuta meraviglia|rosso bolgheri doc 2020|??|r|??|??|??|2020|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta meraviglia|rosso bolgheri 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta meraviglia|rosato doc 2017|??|p|??|??|??|2017|12.5|doc|leve|petiscos; saladas; comida asiatica|seco
W|tenuta meraviglia|maestro di cava superiore doc|es|s|??|??|??|NV|12|doc|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta meraviglia|maestro di cava bolgheri superiore 2019|es|s|??|??|??|2019|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta meraviglia|maestro di cava bolgheri superiore 2018|es|s|??|??|??|2018|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta meraviglia|maestro di cava bolgheri superiore 2016|es|s|??|??|??|2016|12|??|leve|aperitivos; canapes; frutos do mar|brut
=100
W|tenuta meraviglia|maestro di cava 2016|es|s|??|??|??|2016|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta meraviglia|botro dei fichi vermentino doc|??|w|vermentino|??|??|NV|12.5|doc|medio|peixes; frutos do mar; saladas|seco
W|tenuta meraviglia|bolgheri tuscany it 2020|it|r|??|tuscany|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta meraviglia|bolgheri superiore maestro di cava 2016|es|s|??|??|??|2016|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta meraviglia|bolgheri rosso superiore maestro di cava 2017|es|s|??|??|??|2017|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta meraviglia|bolgheri rosso doc 2021|??|r|??|??|??|2021|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta meraviglia|bolgheri rosso doc|??|r|??|??|??|NV|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta meraviglia|bolgheri rosso 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta meraviglia|bolgheri rosso 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta meraviglia|bolgheri rosso 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta meraviglia|bolgheri 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta mazzolino|metodo classico blanc de blancs dosaggio zero 2011|??|r|??|??|??|2011|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta mazzolino|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta masseto|toscana igt 2021|it|r|??|toscana|??|2021|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta masseto|masseto 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta masseto|masseto 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta masseto|masseto 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta masseto|masseto 2017|??|r|??|??|??|2017|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta masseto|masseto 2016|??|r|??|??|??|2016|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta masseto|masseto 2015|??|r|??|??|??|2015|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta masseto|masseto 2012|??|r|??|??|??|2012|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta masseto|massetino 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
=123
W|tenuta masseto|igt 2022|??|r|??|??|??|2022|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta masseria|setteporte etna rosato nerello in rosa 2023|it|p|??|etna|etna|2023|12.5|??|leve|petiscos; saladas; comida asiatica|seco
W|tenuta masseri|primitivo igp|??|r|primitivo|??|??|NV|13|igp|medio|carne vermelha; massas; queijo|seco
W|tenuta masi|valpolicella doc 1971|it|r|??|valpolicella|??|1971|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta maryamado|rosato rose me toscana igt 2024|it|p|??|toscana|??|2024|12.5|igt|leve|petiscos; saladas; comida asiatica|seco
W|tenuta maryamado|fonteboni 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta maryamado|bonorlo 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta maryamado|arali 2021|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta martinelli|sebino igt erman 2019|??|r|??|??|??|2019|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta martinelli|franciacorta docg brut saten|??|s|??|??|??|NV|12|docg|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta martinelli|franciacorta docg brut benedetta buizza|??|s|??|??|??|NV|12|docg|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta martinelli|curtefranca doc curte 2023|??|r|??|??|??|2023|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta martinelli|benedetta buizza franciacorta docg saten|??|r|??|??|??|NV|13|docg|medio|carne vermelha; massas; queijo|seco
=137
W|tenuta martinelli|benedetta buizza franciacorta docg brut|??|s|??|??|??|NV|12|docg|leve|aperitivos; canapes; frutos do mar|brut
=139
W|tenuta martinelli|benedetta buizza franciacorta brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta marsiliana|vermentino 2024|??|w|vermentino|??|??|2024|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta marsiliana|costa toscana vermentino 2018|it|w|vermentino|toscana|??|2018|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta marsiliana|birillo 2016|??|r|??|??|??|2016|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta marsiliana|2021 birillo rosso|??|r|??|??|??|2021|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta marino|terra aspra syrah|??|r|syrah|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta marino|terra aspra primitivo|??|r|primitivo|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta marino|terra aspra aglianico bianco|??|r|aglianico|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta marino|terra aspra aglianico|??|r|aglianico|??|??|NV|14|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta marini|fiano salice salentino dop candido|??|w|fiano|??|??|NV|12.5|dop|medio|peixes; frutos do mar; saladas|seco
W|tenuta marini|fiano salento igp candido|??|w|fiano|??|??|NV|12.5|igp|medio|peixes; frutos do mar; saladas|seco
W|tenuta margon|villa margon chardonnay 2020|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta margon|maso montalto pinot nero 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta margon|lunelli pietragrande vigneti delle dolomiti igp|??|r|??|??|??|NV|13|igp|medio|carne vermelha; massas; queijo|seco
W|tenuta margherita|risotto truffle 250g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta margherita|risotto pumpkin|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta margherita|risotto porcini mushroom|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta margherita|riso carnaroli 1kg|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta margherita|riso baldo 500g|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta margherita|riso arborio 1kg|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta margherita|500|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta marchese|antinori chianti classico docg riserva 2022|??|r|??|chianti classico|chianti classico|2022|13.5|docg|encorpado|carne vermelha; massas; queijo|seco
W|tenuta marchese|antinori chianti classico docg riserva 1997|??|r|??|chianti classico|chianti classico|1997|13.5|docg|encorpado|carne vermelha; massas; queijo|seco
W|tenuta marcati|valpolicella superiore rotwein trocken 0|it|r|??|valpolicella|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta marcati|amarone della valpolicella rotwein trocken 0|it|r|??|valpolicella|??|NV|15|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta marcati|2013|??|r|??|??|??|2013|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta maraveja|gemma 2017|??|r|??|??|??|2017|13|??|medio|carne vermelha; massas; queijo|seco
=167
W|tenuta mara|totma rubicone igt pinot nero 2022|??|r|??|??|??|2022|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|totma pinot nero biodinamico rubicone rosso igt 2022|??|r|??|??|??|2022|13|igt|medio|carne vermelha; massas; queijo|seco
=170
W|tenuta mara|totma pinot nero 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
=172
=172
W|tenuta mara|se ven passito 2023|??|d|??|??|??|2023|13|??|encorpado|sobremesas; queijos azuis|seco
=175
W|tenuta mara|sangiovese guiry igt biodinamico 2021|??|r|sangiovese|??|??|2021|13.5|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|sangiovese chillea igt biodinamico anfora 2021|??|r|sangiovese|??|??|2021|13.5|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|rose biodinamico maryrose 2024|??|p|??|??|??|2024|12.5|??|leve|petiscos; saladas; comida asiatica|seco
W|tenuta mara|maramia sangiovese rubicone rosso igt 2019|??|r|sangiovese|??|??|2019|13.5|igt|medio|carne vermelha; massas; queijo|seco
=180
W|tenuta mara|maramia sangiovese biodinamico 2019|??|r|sangiovese|??|??|2019|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|maramia sangiovese 2020|??|r|sangiovese|??|??|2020|13.5|??|medio|carne vermelha; massas; queijo|seco
=183
=183
W|tenuta mara|maramia rubicone sangiovese igp 2017|??|r|sangiovese|??|??|2017|13.5|igp|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|maramia rubicone igt sangiovese bio|??|r|sangiovese|??|??|NV|13.5|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|maramia dante sangiovese biodinamico 2018 astucciato limited edition|??|r|sangiovese|??|??|2018|13.5|??|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|maramia 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|maramato sangiovese rubicone rosato igt 2020|??|p|sangiovese|??|??|2020|12.5|igt|leve|petiscos; saladas; comida asiatica|seco
=190
W|tenuta mara|maramato sangiovese rubicone rosato 2020|??|p|sangiovese|??|??|2020|12.5|??|leve|petiscos; saladas; comida asiatica|seco
W|tenuta mara|maramato rubicone rosato sangiovese bio 2020 0|??|p|sangiovese|??|??|2020|12.5|??|leve|petiscos; saladas; comida asiatica|seco
W|tenuta mara|mara mia rubicone sangiovese igp 2019|??|r|sangiovese|??|??|2019|13.5|igp|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|inandaki spumante metodo classico di pignoletto brut 2017|??|s|??|??|??|2017|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta mara|guiry sangiovese rubicone rosso igt 2021|??|r|sangiovese|??|??|2021|13.5|igt|medio|carne vermelha; massas; queijo|seco
=196
W|tenuta mara|guiry sangiovese rubicone igt 2020|??|r|sangiovese|??|??|2020|13.5|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|guiry sangiovese 2022|??|r|sangiovese|??|??|2022|13.5|??|medio|carne vermelha; massas; queijo|seco
=199
=199
W|tenuta mara|guiry rubicone igt sangiovese bio|??|r|sangiovese|??|??|NV|13.5|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|degustazione vini e prodotti locali|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|chillea 2020|??|r|??|??|??|2020|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|chillea 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|21 guiry sangiovese rubicone igp table red|??|r|sangiovese|??|??|NV|13.5|igp|medio|carne vermelha; massas; queijo|seco
W|tenuta mara|19 maramia sangiovese rubicone igp table red|??|r|sangiovese|??|??|NV|13.5|igp|medio|carne vermelha; massas; queijo|seco
W|tenuta manincor|reserve del conte typisch heisterkamp|??|r|??|??|??|NV|13|reserve|encorpado|carne vermelha; massas; queijo|seco
W|tenuta manenti|bric sassi gavi del comune di gavi 2023 by sarotto|??|r|??|??|??|2023|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta malucelli|ombra rossa blend 2019|??|r|??|??|??|2019|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta malucelli|janguito rosso riserva 2018|??|r|??|??|??|2018|13|??|encorpado|carne vermelha; massas; queijo|seco
W|tenuta malucelli|janguito rosso 2018|??|r|??|??|??|2018|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta malucelli|friuli colli orientali sei fratelli pinot grigio 2020|it|w|pinot grigio|friuli|??|2020|12.5|??|medio|peixes; frutos do mar; saladas|seco
W|tenuta makella|alma grillo sicilia doc|it|r|??|sicilia|??|NV|13|doc|medio|carne vermelha; massas; queijo|seco
W|tenuta maiano|rosso toscana igt ruscato 2021|it|r|??|toscana|??|2021|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta maiano|chianti docg maiano 2023|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha; massas; queijo|seco
W|tenuta macchiarola|verdeca salento igt|??|r|??|??|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta macchiarola|verdeca 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
=218
W|tenuta macchiarola|unodinoi salento igt|??|r|??|??|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta macchiarola|tippi puglia igt|??|r|??|??|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta macchiarola|tippi|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=222
=222
W|tenuta macchiarola|sole rosa salento igt|??|r|??|??|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta macchiarola|giro di boa 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
=226
W|tenuta macchiarola|don franco salento igp|??|r|??|??|??|NV|13|igp|medio|carne vermelha; massas; queijo|seco
W|tenuta macchiarola|don franco 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
=229
W|tenuta macchiarola|bizona primitivo rosso|??|r|primitivo|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
W|tenuta macchiarola|bizona 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
=232
W|tenuta macchiarola|bizona|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=234
=234
W|tenuta macchiarola|belle vignole salento igt|??|r|??|??|??|NV|13|igt|medio|carne vermelha; massas; queijo|seco
W|tenuta macchiarola|belle vignole 2022|??|r|??|??|??|2022|13|??|medio|carne vermelha; massas; queijo|seco
=238
W|tenuta macchiarola|belle vignole|??|r|??|??|??|NV|13|??|medio|carne vermelha; massas; queijo|seco
=240
=240
W|tenuta maccan|sparkling brut rose pinot nero nv|??|s|??|??|??|NV|12|??|leve|aperitivos; canapes; frutos do mar|brut
W|tenuta maccan|sauvignon blanc doc friuli 2023 3 x|it|w|sauvignon blanc|friuli|??|2023|12.5|doc|medio|peixes; frutos do mar; saladas|seco
W|tenuta maccan|sauvignon blanc doc friuli 2022 3 x|it|w|sauvignon blanc|friuli|??|2022|12.5|doc|medio|peixes; frutos do mar; saladas|seco
W|tenuta maccan|pinot grigio friuli doc 2021|it|w|pinot grigio|friuli|??|2021|12.5|doc|medio|peixes; frutos do mar; saladas|seco
W|tenuta maccan|pinot grigio delle venezie doc 2024|it|w|pinot grigio|delle venezie|delle venezie|2024|12.5|doc|medio|peixes; frutos do mar; saladas|seco
