W|finca las|moras malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca las|payas la abuela no esta orgullosa 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca lasierra|granacha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca legardeta|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca legardeta|finca legardeta syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca lomilla|blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca lomilla|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca loranque|loranque|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca loranque|la cruz cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca loranque|la cruz syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca loranque|syrah tempranillo|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|aljibes aljibes blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|aljibes aljibes blend 18 ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|aljibes aljibes blend 5 ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|aljibes alma bella sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|aljibes cabernet franc|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|aljibes cata de morante verdejo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|aljibes chardonnay barrique|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|aljibes enclave 2016 monastrell|??|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|aljibes enclave monastrell|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|aljibes helion tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|aljibes petit verdot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|aljibes selectus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|aljibes va blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|aljibes va tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|altos airen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|altos crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca los|altos garnacha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|altos gran coleccion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|altos gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca los|altos gran reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca los|altos gran reserva 2020 gold|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca los|altos gran reserva 2020 gold|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=89
W|finca los|altos gran reserva 2020 gold|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=89
W|finca los|altos gran reserva 2020 gold|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=89
W|finca los|altos gran reserva 2020 gold|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=89
W|finca los|altos reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca los|altos tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|corceles selected vineyard malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|dragones maida tinto de corte 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|duamados 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|frailes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|frutales crianza merlot syrah|??|r|??|??|??|NV|13.5|crianza|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|frutales garnacha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|halcones cepas viejas de bobal 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|halcones edicion limitada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|hornos verdejo 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|hoyales|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|hoyales|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=105
W|finca los|hoyales 2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|hoyales 2017 do ribera del duero|es|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|locos artuke|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|locos artuke|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=109
W|finca los|miguelillos 100 garnacha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|nobles bosca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|nobles cabernet bouchet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|nobles cabernet bouchet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=113
W|finca los|nobles cabernetbouchet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|nobles chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|nobles chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=116
W|finca los|nobles malbec verdot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|nobles malbecverdot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|prados malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|prados torrontes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|primos cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|primos cabernet sauvignon 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|primos cabernet sauvignon 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=123
W|finca los|primos chardonnay 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|primos malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|primos malbec 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|primos malbec mendoza argentina|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|primos rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca los|primos syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca los|primos torrontes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|primos torrontes 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca los|principes crianza 2020|??|r|??|??|??|2020|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca los|trenzones sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|trenzones sauvignon blanc 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|trenzones tempranillo rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca los|trenzones tempranillo rose 2023|??|p|??|??|??|2023|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca los|trenzones verdejo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|trenzones verdejo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=138
W|finca los|trenzones vino blanco do la mancha|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca los|trinos rioja reserva 2017|es|r|??|??|??|2017|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca losada|losada 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luna|beberide|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luna|beberide|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=143
W|finca luna|beberide|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=143
W|finca luna|beberide 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luna|beberide 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luna|beberide mencia 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luna|beberide mencia 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luna|beberide vino tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|750 bodegas luzon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|blanco macabeosauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca luzon|blanco macabeosauvignon blanc 2023|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca luzon|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|crianza 2021|??|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|crianza 750 bodegas luzon|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|crianza monastrell cabernet sauvignon|??|r|??|??|??|NV|13.5|crianza|encorpado|carne vermelha; queijo curado; massas|seco
W|finca luzon|crianza monastrell cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|crianza|encorpado|carne vermelha; queijo curado; massas|seco
W|finca luzon|crianza monastrell cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|crianza|encorpado|carne vermelha; queijo curado; massas|seco|=158
W|finca luzon|crianza monastrellcabernet s0|??|r|??|??|??|NV|13.5|crianza|encorpado|carne vermelha; queijo curado; massas|seco
W|finca luzon|crianza monastrellcabernet sauvignon|??|r|??|??|??|NV|13.5|crianza|encorpado|carne vermelha; queijo curado; massas|seco
W|finca luzon|crianza monastrellcabernet sauvignon magnum 2020|??|r|??|??|??|2020|13.5|crianza|encorpado|carne vermelha; queijo curado; massas|seco
W|finca luzon|macabeo sauvignon blanc 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca luzon|macabeo sauvignon blanc 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco|=163
W|finca luzon|macabeosauvignion blanc 0|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca luzon|monastrell organico bio 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|petit 750 bodegas luzon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|petit verdot 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|petit verdot 19|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|petit verdot 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=171
W|finca luzon|roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=171
W|finca luzon|roble 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|roble monastrell 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|roble monastrell 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=177
W|finca luzon|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=177
W|finca luzon|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=177
W|finca luzon|tinto joven 2023 monastrellsyrah|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca luzon|tinto monastrell organico sin sulfitos bio 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca luzon|tinto monastrell organico sin sulfitos bio 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=182
W|finca luzon|tinto monastrellsyrah 0|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca magnolia|alta blend malbec e syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca magnolia|alta magnolia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca magnolia|blend de blancas|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca magnolia|blend de blancas 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca magnolia|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca magnolia|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=189
W|finca magnolia|cabernet sauvignon 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca magnolia|chenin dulce natural|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca magnolia|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca magnolia|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=193
W|finca magnolia|malbec 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca magnolia|negra cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca magnolia|negra malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca magnolia|reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca malaveina|malaveina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca malaveina|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca malaveina|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca malaveina|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca malaveina|do|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca malaveina|do emporda 2023 castillo perelada|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca malaveina|magnum 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca malaveina|perelada 20172020|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manazanos|rosado 2021|??|p|??|??|??|2021|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca mangato|estela perinetti grand vin 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca mangato|leticia cabernet cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca mangato|leticia cabernet cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=209
W|finca mangato|leticia del valle malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca mangato|leticia malbec del valle|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca mangato|leticia malbec del valle|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=212
W|finca mangato|leticia rosado de tintas|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca manzano|1890 crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca manzano|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|1890 blanco vinas viejas rioja 2024|es|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca manzanos|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|blanco fermentado en barrica|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca manzanos|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=220
W|finca manzanos|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=220
W|finca manzanos|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=220
W|finca manzanos|crianza magnum 2016|??|r|??|??|??|2016|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|crianza rioja|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|crianza rioja|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=225
W|finca manzanos|crianza rioja 12s 2019|es|r|??|??|??|2019|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|garnacha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|garnacha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=228
W|finca manzanos|garnacha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=228
W|finca manzanos|garnacha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=228
W|finca manzanos|garnacha rioja 2021 case only|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|graciano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca manzanos|graciano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=233
W|finca manzanos|graciano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=233
