W|grant|burge meshach shiraz|??|r|shiraz|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge miamba shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=24
W|grant|burge miamba shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge miamba shiraz 750|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge miamba shiraz 750|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=28
W|grant|burge miamba shiraz 750m|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge miamba shiraz barossa valley|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge miamba shiraz dozen deal|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge mid strength barossa ink shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge midnight ink barossa cabernet sauvignon australia|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge midnight ink barossa shiraz australia|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge midnight ink barossa shiraz australia|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge midnight ink cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge midnight ink cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge midnight ink cabs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge midnight ink shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge midnight ink shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|grant|burge midnight ink shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge midnight ink shraz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge moscato frizzante|??|s|moscato|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge moscato frizzante|??|s|moscato|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=44
W|grant|burge moscato frizzante|??|s|moscato|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge moscato frizzante|??|s|moscato|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge moscato frizzante|??|s|moscato|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge nebu cabernet sauvignon shiraz|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge nebu cabernet sauvignon shiraz|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=49
W|grant|burge nebu cabernet shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge nebu cabernet shiraz|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge nv pinot chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge nv sparkling pinot noir chardonnay rose|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge of barossa valley glengarry tasting review|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge paso robles ink cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge pearl chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge petite bubbles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge petite bubbles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|grant|burge petite bubbles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|grant|burge petite bubbles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|grant|burge petite bubbles rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grant|burge petite bubbles rose sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge petite bubbles rose sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=63
W|grant|burge petite bubbles sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge pinot noir chardonnay methode|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge pinot noir chardonnay mid strength sparkling|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge pinot noir chardonnay nv|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge pinot noir chardonnay nv|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=68
W|grant|burge pinot noir chardonnay nv|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=68
W|grant|burge pinot noir chardonnay nv|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=68
W|grant|burge pinot noir chardonnay nv brut|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grant|burge pinot noir chardonnay nv case of 6|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge pinot noir chardonnay nv dozen deal|??|w|pinot noir|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge pinot noir chardonnay rose nv|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grant|burge pinot noir chardonnay sparkling|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge pinot noir chardonnay sparkling rose|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge pinot noir chardonnay sparkling vintage|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge pinot rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grant|burge pinot rose dry style|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grant|burge premium prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=82
W|grant|burge prosecco nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge prosecco nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=84
W|grant|burge prosecco nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=84
W|grant|burge prosecco nv australia|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge prosecco nv australia|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=87
W|grant|burge prosecco nv case of 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge prosecco rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge prosecco rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=90
W|grant|burge prosecco rose nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge prosecco rose nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=92
W|grant|burge prosecco rose nv australia|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge px black apera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge rose nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grant|burge shadrach 8 year old cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shadrach 8 years old cabernet sauvignon|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shadrach cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shadrach cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=99
W|grant|burge shadrach cabernet sauvignon|??|r|cabernet sauvignon|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shadrach cabernet sauvignon|??|r|cabernet sauvignon|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shadrach cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shadrach cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=103
W|grant|burge shadrach cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shadrach cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shadrach cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=106
W|grant|burge shiraz 5th generation australia|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shiraz benchmark|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shiraz cabernet benchmark|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge shiraz meshach|??|r|shiraz|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge sparkling nv pinot chardonnay|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge sparkling petite bubbles|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge sparkling petite bubbles case of 6|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge sparkling pinot chardonnay nv|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge sparkling pinot chardonnay nv piccolo|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge sparkling pinot chardonnay nv piccolo|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=116
W|grant|burge sparkling pinot noir chardonnay nv|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge sparkling pinot noir chardonnay nv|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=118
W|grant|burge sparkling pinot noir chardonnay rose nv|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge sparkling pinot noir chardonnay rose nv|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=120
W|grant|burge sparkling shiraz cabernet|??|s|shiraz|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge sparkling shiraz cabernet|??|s|shiraz|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=122
W|grant|burge sparkling shiraz cabernet nv|??|s|shiraz|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge sparkling shiraz cabernet sauvignon nv|??|s|cabernet sauvignon|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge summers chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge summers chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge summers south australia chardonnay australia|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge the holy trinity barossa gsm australia|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge the holy trinity grenache shiraz mourvedre|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge the holy trinity grenache shiraz mourvedre|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=130
W|grant|burge the holy trinity grenache shiraz mourvedre barossa valley|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge the holy trinity gsm|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge the vigneron natural shiraz|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge thorn riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge thorn riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=135
W|grant|burge vigneron hillcot merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vigneron miamba shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vigneron thorne eden valley riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge vineyard cameron barossa cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vineyard hillcot barossa merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vineyard hillcot merlot|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vineyard miamba barossa shiraz australia|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vineyard miamba barossa shiraz australia|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vineyard miamba barossa shiraz australia|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vineyard miamba barossa shiraz australia|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vineyard miamba shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vineyard miamba shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge vineyards hillcot barossa merlot australia|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge zero alcohol prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge zero prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge zero prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=151
W|grant|la garrocha amontillado sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grant|la garrocha oloroso sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grant|marnier cordon rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|pereira appointed managing director of edward snell co|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=157
W|grant|s 12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|s 12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|s sherry cask|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grant|s sherry cask|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=161
W|grant|s sherry cask|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=161
W|grantburgewines|vino grant burge je jedno z n|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grante|granatove vino dezertni sladke|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grante|granatove vino dezertni sladke|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=165
W|grante|granatove vino premium polosladke|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grante|granatove vino premium polosladke|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=167
W|grante|pomegranate wine premium semisweet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|granted|wish sauvignon blanc south africa|za|w|sauvignon blanc|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granted|wish sauvignon blanc western cape south africa|za|w|sauvignon blanc|western cape|western cape|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granted|wish shiraz western cape south africa|za|r|shiraz|western cape|western cape|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granted|wish shiraz western cape south africa|za|r|shiraz|western cape|western cape|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|granted|wish sauvignon blanc western cape south africa|za|w|sauvignon blanc|western cape|western cape|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|granterre|grana padano rasp|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantino|vinho verde doc portugalia|pt|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grantortellone|ricotta e spinaci ricotta and spinach 3kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantoscana|chianti|it|r|??|tuscany|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantoscana|chianti classico|it|r|??|tuscany|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantr|16 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantr|18 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantr|20 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantr|22 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantr|mfod h120 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantr|mfod h150 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantr|mfod h180 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grantrio|salento igp|??|r|??|??|??|2023|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|grants|grants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
