W|damarino|damarino|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|cabernet sauvignon|za|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|cabernet sauvignon|za|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=41
W|damascene stellenbosch|cabernet sauvignon 2019|za|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|cabernet sauvignon 2022|za|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|cabernet sauvignon 2023|za|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|cabernet sauvignon 2023|za|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=45
W|damascene stellenbosch|chenin blanc 2022|za|w|chenin blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|damascene stellenbosch|chenin blanc 24|za|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damascene stellenbosch|syrah|za|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|syrah 2019|za|r|syrah|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|syrah 2020|za|r|syrah|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|syrah 2022|za|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|syrah 2024|za|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene stellenbosch|syrah 2024|za|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco|=53
W|damascene stellenbosch|syrah 24|za|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene swartland|chenin blanc 2022|za|w|chenin blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|damascene swartland|chenin blanc 2024|za|w|chenin blanc|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|damascene swartland|chenin blanc 24|za|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|damascene swartland|syrah|za|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene swartland|syrah 2022|za|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene swartland|syrah 2022|za|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=60
W|damascene swartland|syrah 2024|za|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene swartland|syrah 2024|za|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco|=62
W|damascene syrah|2022|fr|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene syrah|ceres plateau 2022|fr|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene syrah|ceres plateau 2023 96 points|fr|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene syrah|ceres plateau 22|fr|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene syrah|stellenbosch 2022|za|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene syrah|stellenbosch 2022|za|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=68
W|damascene syrah|swartland 2022|za|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene syrah|swartland 2022|za|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=70
W|damascene syrah|swartland 24|za|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene wo|ceres plateau syrah 2024|fr|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene wo|stellenbosch cabernet sauvignon 2023|za|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascene wo|swartland syrah 2024|za|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasceno moscatel|roxo 2013 generoso|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascenos vaeni|wines|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damaschino|damaschino|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damaschino|2022 0|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|damaschito aglianico|del vulture docg|fr|r|aglianico|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|damaschito aglianico|del vulture superiore docg|fr|r|aglianico|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|damasco|100 gr a granel|gr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco apricot|deshidratado|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco cuisineco|turco 150g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco deshidratados|200g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco doce|jumbo 50g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco doce|picado 100g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco doce|turco 50g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco importado|festval 600g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco pecorino|2024 terre di chieti citra|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco seco|seco|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco seco|1 porcao 206g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco seco|azedo argentino saddi center|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco seco|brasil frutt pote 200g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco seco|doce turco saddi center|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco seco|turco frutoro bandeja 500g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco turco|oba bem querer 300 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damasco turco|seco 120g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascos desecados|1kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascos en|almibar campo claro|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascos glaceados|saddi center|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascos quiero|natural|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascos turcos|1 kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus brdkniv|og oliventrs skfte|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus cleaver|og oliventrs skfte|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus knivst|og canvas knivtaske|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus lille|kokkekniv og oliventrs skfte|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus nougat|original 75g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus rose|antioxidant body oil badger bb|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|damascus rose|face oil badger|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|damascus santoku|og oliventrs skfte og luftskr|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus steakknive|i oliventr 6 stk|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus stor|kokkekniv og oliventrs skfte|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus superst|japanske knive|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus traditional|french nougat original 75g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damascus universalkniv|og oliventrs skfte|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damask blue|gift box 69items 37cml 25cmw x 13cmh|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damask engraved|acrylic earrings|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damask print|cushion|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damask rose|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|damask rose|10|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|damaskuskniver ass|typer|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damassine aop|aop|fr|r|??|??|??|NV|13.5|AOP|encorpado|carne vermelha, queijo|seco
W|damassine dajoie|alain perret|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damassine erismann|erismann|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damaszkuszi rozsa|aromaviz rozsaviz naturpolc|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damaszkuszi rozsa|viragviz naturpolc|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damat cava|semi seco|es|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|damatta chourico|alentejano 225 gr|gr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damatta chourico|beirao 225 gr|gr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damatta chourico|transmontano 225 gr|gr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambach cabernet|franc trocken 2020|fr|r|cabernet franc|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambach cuvee|rose trocken 2022|fr|p|??|??|??|2022|13.5|??|medio|frutos do mar, saladas|seco
W|dambach cuvee|trigund trocken 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambach sauvignon|blanc trocken 2022|fr|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dambachlaville riesling|2023|fr|w|riesling|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|dambachlaville rouge|rouge|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
S
S
W|damblat rhum|de guyane|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|damble sauvignon|langhe|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambo farming|en fetas 200 gramos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambra biancolella|biancolella|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambra forastera|forastera|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambra frassitelli|frassitelli|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambra per|e palummo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambuster cheddar|cow p 200g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambuster cheddar|waxed truckle 200g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dambuster pinot|noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame aer|suction toy|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame arc|gspot vibrator plum|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame blanche|blanche|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame claire|chasselas de conversation|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de 11h|11h|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de bouard|bouard|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de bouard|bouard|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=155
W|dame de bouard|2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de bouard|montagne saint emilion 2018|fr|r|??|bordeaux|saint-emilion|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de bouard|montagne saintemilion 2017|fr|r|??|bordeaux|saintemilion|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de bouard|montagnestemilion aoc 2018|fr|r|??|??|??|2018|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|dame de carreau|3 vilde champagneoplevelser|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de carreau|cuvee batarde brut nature millesime champagne france|fr|s|??|champagne|champagne|NV|12|??|medio|aperitivos, frutos do mar|extra brut
W|dame de carreau|cuvee blancs vrais extra brut millesime champagne france|fr|s|??|champagne|champagne|NV|12|??|medio|aperitivos, frutos do mar|extra brut
W|dame de carreau|cuvee bonnes bondes extra brut millesime champagne france|fr|s|??|champagne|champagne|NV|12|??|medio|aperitivos, frutos do mar|extra brut
W|dame de chatenoy|blanc 2023|fr|w|??|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|dame de cleve|jacques frelin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de coeur|de saint preignan igp doc rose|fr|p|??|??|??|NV|13.5|IGP|medio|frutos do mar, saladas|seco
W|dame de gaffeliere|grand cru classe saint emilion france 2019|fr|r|??|bordeaux|saint-emilion|2019|13.5|GRAND CRU CLASSE|encorpado|carne vermelha, queijo|seco
W|dame de gaffeliere|saint emilion grand cru|fr|r|??|bordeaux|saint-emilion|NV|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|dame de gaffeliere|saintemilion grand cru 2020|fr|r|??|bordeaux|saintemilion|2020|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|dame de montrose|montrose|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|montrose|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=171
W|dame de montrose|2011 stestephe|fr|r|??|bordeaux|stestephe|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2012 cb6 stestephe|fr|r|??|bordeaux|stestephe|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2014 cb12 stestephe|fr|r|??|bordeaux|stestephe|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2019 cb6 stestephe|fr|r|??|bordeaux|stestephe|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2020 cb6 stestephe|fr|r|??|bordeaux|stestephe|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|2wein von ch montrose 2004 saintestephe|fr|r|??|bordeaux|saintestephe|2004|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|saintestephe 2019|fr|r|??|bordeaux|saintestephe|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|saintestephe 2020|fr|r|??|bordeaux|saintestephe|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|saintestephe 2022|fr|r|??|bordeaux|saintestephe|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|st estephe 2016|fr|r|??|bordeaux|st-estephe|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de montrose|st estephe 2024|fr|r|??|bordeaux|st-estephe|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de onze|heures|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de onze|heures 2024 victormarceau|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de pique|brasserie la montagnarde|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de respide|graves 2013|fr|r|??|bordeaux|graves|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de respide|graves 2014|fr|r|??|bordeaux|graves|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de respide|graves 2015|fr|r|??|bordeaux|graves|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de respide|graves 2017|fr|r|??|bordeaux|graves|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de respide|graves 2018|fr|r|??|bordeaux|graves|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de trotte|vieille 2012 bordeaux|fr|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame de trotte|vieille saint emilion grand cru 2014|fr|r|??|bordeaux|saint-emilion|2014|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|dame de trotte|vieille saint emilion grand cru 2014|fr|r|??|bordeaux|saint-emilion|2014|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco|=199
W|dame de trotte|vieille saintemilion aoc 2014|fr|r|??|bordeaux|saintemilion|2014|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|dame de trotte|vieille st emilion grand cru 2015 red dry 145 075|fr|r|??|??|??|2015|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|dame de trotte|vielle saint emilion grand cru|fr|r|??|bordeaux|saint-emilion|NV|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|dame de trotte|vielle st emilion grand cru 2 vin ch trotte vieille|fr|r|??|??|??|NV|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|dame de trottevielle|st emilion grand cru 2012|fr|r|??|??|??|2012|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|dame de trottevielle|st emilion grand cru 2012 pa tilbud|fr|r|??|??|??|2012|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|dame des neiges|domaine des cassagnas|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame drejet|i tr 1|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame duo|couples kit|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame el|precio de los arcones navidenos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame fin|finger vibe lime vibrator|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame forklelsespose|forklelsespose|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame gaffeliere|2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame honneur|2016 chateau lagrezette|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame jane|rose champagne henri giraud gift box|fr|s|??|champagne|champagne|NV|12|??|medio|aperitivos, frutos do mar|brut
W|dame jeanne|2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame jeanne|alchmille coteaux bourguignons blanc 2021|fr|w|??|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|dame jeanne|cremant de bourgogne premices rose 2020 120 abv|fr|s|??|??|??|2020|12|??|medio|aperitivos, frutos do mar|brut
W|dame jeanne|cremant premices 2019|fr|s|??|??|??|2019|12|??|medio|aperitivos, frutos do mar|brut
W|dame jeanne|prmices brut nature sparkling 2019|fr|s|??|??|??|2019|12|??|medio|aperitivos, frutos do mar|extra brut
W|dame jeanne|roses brut nature sparkling 2019|fr|s|??|??|??|2019|12|??|medio|aperitivos, frutos do mar|extra brut
W|dame jeanne|syrah 2024|fr|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame juliette|vosneromanee aoc 2023 domaine armelle et bernard rion|fr|w|??|bourgogne|vosne-romanee|2023|12.5|AOC|medio|peixe, frutos do mar|seco
W|dame marguerite|nuitssaintgeorges aoc 2021 domaine armelle et bernard rion|fr|r|??|??|??|2021|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|dame mas|extra anejo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame mas|reposado|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame mas|reposado|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=226
W|dame mas|reserva extra anejo|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dame mas|reserva extra anejo|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco|=228
W|dame min|powerful wand vibrator butter|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame montrose|montrose|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame montrose|2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame montrose|2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame montrose|2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dame montrose|2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=234
W|dame montrose|2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=234
W|dame nature|2023 domaine haugarot|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
