W|giv|pi edt r2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giver|y sus amigos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givino|limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givinos|spanish imports exclusive tasting|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givon|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givon|kosher|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givon|riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givon|sword wish amulet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givre|coing apple des cimes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givre|moelleux de pommes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givrey|champy cru|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givrey|champy cru|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=102
W|givrey|champy cru|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=102
W|givry|givry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|givry|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|1 cru cellier aux moines rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|1 cru clos servoisine rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|1 cru en veau blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|1 cru le vigron pelletier hibon|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|1 cru lempreinte rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|1 cru mademoiselle blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|1 cru mademoiselle blanc mg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|1 cru marole rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|1e cru clos du cras long rood domaine danjeanberthoux|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|1e cru en veau rood domaine masse|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|1e cru les grands pretans rood domaine besson|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|crausot domaine francois lumpp|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=119
W|givry|cru|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=119
W|givry|cru sandrine deletang bourgogne burgundy red|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru a vigne rouge domaine francois lumpp|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru a vigne rouge domaine francois lumpp|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru a vigne rouge domaine francois lumpp|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru a vigne rouge domaine francois lumpp|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru a vigne rouge domaine francois lumpp|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru a vigne rouge domaine francois lumpp|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru a vigne rouge domaine francois lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru a vigne rouge domaine lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru a vigne rouge domaine lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=130
W|givry|cru a vigne rouge lumpp|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru aoc domaine steinmaier|??|r|??|??|??|2019|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru blanc les grandes vignes domaine besson|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|cru blanc les grandes vignes domaine besson|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|cru bois chevaux|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru champ lalot domaine sarrazin rouge|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos charle domaine desvignes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos charle domaine laurent mouton|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos charle domaine desvignes|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos charle domaine laurent mouton|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos de la marole deliance bourgogne burgundy red|fr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos de la servoisine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos de la servoisine domdeliance|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos de la servoisine domdeliance|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos de la servoisine domdeliance|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos des celliers aux moines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos des vignes rondes domaine francois lumpp copie|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos du cellier aux moines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos du cellier aux moines|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|givry|cru clos du cellier aux moines|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos du cellier aux moines|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos du cellier aux moines les dessus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos du cras long domaine francois lumpp|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos du cras long domaine francois lumpp|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos du cras long domaine francois lumpp|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos du cras long domaine francois lumpp|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos du cras long domaine francois lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos du vernoy domaine desvignes|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine francois lumpp|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine francois lumpp|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine francois lumpp|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine francois lumpp|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine francois lumpp|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine francois lumpp|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine francois lumpp|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine laurent mouton|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine francois lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine laurent mouton|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus ac|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru clos jus domaine lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|givry|cru crausot domaine francois lumpp|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru crausot domaine francois lumpp|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru crausot domaine francois lumpp|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru crausot domaine francois lumpp|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru crausot domaine francois lumpp|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru crausot domaine francois lumpp|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru crausot domaine francois lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru cremillons seguin manuel|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru domaine chofflet valdenaire|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru domaine joblot|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru domaine joblot|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=183
W|givry|cru domaine joblot|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=183
W|givry|cru domaine steinmaier|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru domaine steinmaier|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=186
W|givry|cru domaine steinmaier|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=186
W|givry|cru en choue|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru la brulee domaine francois lumpp|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru la grande berge domaine laurent mouton|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru la grande berge domaine laurent mouton|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru la grande berge ac|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru la plante danjean berthoux|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru le pied du clou domaine francois lumpp|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru le pied du clou domaine francois lumpp|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru le pied du clou domaine francois lumpp|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru le pied du clou domaine francois lumpp|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru le pied du clou domaine francois lumpp|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru le pied du clou domaine francois lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru le pied du clou rouge domaine lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru le pied du clou rouge domaine lumpp|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=201
W|givry|cru lempreinte|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru lempreinte|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=203
W|givry|cru lempreinte|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru lempreinte domaine joblot rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru les bois chevaux 14|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru les bois gautiers domaine besson|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru les grandes vignes domaine desvignes|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru les grands pretans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru les grands pretans domaine besson|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru les grands pretans 22|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru mademoiselle|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru mademoiselle|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru mademoiselle white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|cru petit marole domaine francois lumpp|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru petit marole domaine francois lumpp|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru petite marole domaine francois lumpp|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru pretan besson vin rouge|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru rouge clos des grandes vignes domaine parize|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru rouge les grandes vignes domaine besson|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru servoisine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cru servoisine|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|givry|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|givry|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|cave de bissey rood|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine desvignes|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine des chaumes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|jadot|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|jean fery fils|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|jean fery fils|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=230
W|givry|ac remoissenet 075|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|domaine deliance|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|a vigne rouge cru domaine francois lumpp|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|a vigne rouge domaine francois lumpp|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|ac lieudit clos de la roche domaine gerard laurent|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|aoc vignerons de buxy|??|r|??|??|??|2020|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|givry|blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|givry|blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
