1. W|casadei sogno mediterraneo|red wine mediterranean blend toscana italy 2017|pt|r|??|toscana|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|casado morales eme|mazuelo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|casado morales protesta|rosado|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
32. W|casado morales protesta|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|casado morales rotwein trocken crianza|2018 19 tempranillo graciano rioja spanien|es|r|tempranillo|rioja|??|2018|13.5|crianza|encorpado|carne vermelha, massas, queijos curados|seco
34. W|casadores|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|casadores|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|casados o cansados rab amram|anidjar|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=4
38. W|casafina|35|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|casafina by costa|nova|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|casafina caramel|151|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|casafina caramel|16|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|casafina costa nova|37|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|casafina dinner plate|marshmallow|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|casafina lemon|juicer|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|casafina plate|artichoke|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|casafina spoon rest|marshmallow|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|casafrassi|1999 chianti classico xxi secolo|pt|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
48. W|casafrassi|2000 toscana xx1 secolo|pt|r|??|toscana|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|casagori la vigna di manfredi|2025|pt|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|casagori libero|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
51. W|casagori libero|rosso 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|casagori libero toscana|igt 2021 vino rosso|pt|r|??|toscana|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
53. W|casagori libero toscana|rosso 2022|pt|r|??|toscana|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
54. W|casagori marino|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|casagori marla|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|casagori o vo i|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|casagori ovo i toscana|igt 2022 vino rosso|pt|r|??|toscana|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
58. W|casagori suisogni|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|casagori tre|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|casagra chianti|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|casagra|primitivo 2022|pt|r|primitivo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
62. W|casajuana|100 anos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|casajuana|100 anos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=62
64. W|casajuana|100 anos kartonik|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|casajuana|25 anos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|casajuana|25 anos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=65
67. W|casajuana 25yo|citivs|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|casajuana 25yo citivs|40|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|casajuana|reserva 40|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
70. W|casajuana|reserva vsop 40|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
71. W|casajuana rva especial|vsop|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|casajuana solera|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
73. W|casajuana solera|reserva 36|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
74. W|casajuana xo solera|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
75. W|casajus|blanco fermentado en barrica ribera del duero|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
76. W|casajus crianza|2021|pt|r|??|??|??|2021|13.5|crianza|medio|carne vermelha, massas, queijos curados|seco
77. W|casajus|reserva ribera del duero do bodegas casajus|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
78. W|casajus ribera del duero vendimia|seleccionada|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|casajus roble|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
80. W|casajus|seleccion|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|casajus valpidio ribeira del|duero|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|casajus vendimia|seleccionada|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
83. W|casal amado|alvarinho 2023|pt|w|alvarinho|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
84. W|casal amado|vinho verde portugal nv|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|casal barcelos|doc branco|pt|w|??|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
86. W|casal bordino castelverdino montepulciano|dabruzzo|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
87. W|casal bordino feudi aragonesi|rosso|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
88. W|casal bordino|montepulciano|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
89. W|casal bordino|montepulciano|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=88
90. W|casal bordino|montepulciano|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=88
91. W|casal bordino montepulciano dabruzzo riserva|sinello|pt|r|montepulciano|??|??|NV|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
92. W|casal bordino terre sabelli montepulciano dabruzzo|doc 2020|pt|r|montepulciano|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
93. W|casal|branco lobo e falcao wolf falcon reserva 2020|pt|w|??|??|??|2020|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
94. W|casal|branco lobo falc wolf falcon reserva 2020|pt|w|??|??|??|2020|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
95. W|casal|branco ribatejo red|pt|w|??|tejo|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
96. W|casal|caeiro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
97. W|casal|caeiro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=96
98. W|casal|caeiro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=96
99. W|casal caeiro|2024 albarino|pt|w|albarino|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
100. W|casal caeiro|albarino sobre lias 2022|pt|w|albarino|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
101. W|casal caeiro|albarino sobre lias rias baixas spain|pt|w|albarino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
102. W|casal coelheira|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|casal cordeiro estagio prolongado|tinto 2010|pt|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|casal cordeiro grande|reserva tinto trasosmontes 2017|pt|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
105. W|casal cordeiro trasosmontes grande|reserva tinto 2017 red|pt|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
106. W|casal cordeiro trasosmontes|tinto 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|casal cordeiro trasosmontes|tinto 2021 red|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|casal cordilheira dos|andes|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|casal|d alem arinto reserva branco 2023 cx 3uni|pt|w|arinto|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
110. W|casal|d alem chardonnay branco 2021 cx 3uni|pt|w|chardonnay|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
111. W|casal|d alem syrah tinto 2020 cx 3uni|pt|r|syrah|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
112. W|casal da azenha|1966 portugal|pt|r|??|??|??|1966|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|casal da azenha|arinto lisboa branco 2022|pt|w|arinto|lisboa|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
114. W|casal da azenha lisboa|branco 2023|pt|w|??|lisboa|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
115. W|casal da azenha lisboa|tinto 2019|pt|r|??|lisboa|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
116. W|casal da azenha|red 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|casal da azenha|reserva 1957|pt|r|??|??|??|1957|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
118. W|casal da azenha|reserva lisboa tinto 2019|pt|r|??|lisboa|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
119. W|casal da azenha|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|casal da azenha|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=119
121. W|casal da azenha|white 2023|pt|w|??|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
122. W|casal da|bica|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|casal da|coelheira|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|casal da|coelheira|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=123
125. W|casal da coelheira|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|casal da coelheira amphora|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
127. W|casal da coelheira amphora|branco 2023|pt|w|??|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
128. W|casal da coelheira amphora|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|casal da coelheira amphora|tinto 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|casal da coelheira|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
131. W|casal da coelheira|branco 0|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
132. W|casal da coelheira|branco 0|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=131
133. W|casal da coelheira carpe|vitae|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|casal da coelheira limited edition|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|casal da coelheira|mythos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. W|casal da coelheira mythos tejo|tinto 2022|pt|r|??|tejo|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|casal da coelheira mythos|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
138. W|casal da coelheira mythos|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|casal da coelheira priv sellec|tinto 2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
140. W|casal da coelheira private collection|alicante bouschet|pt|r|alicante bouschet|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|casal da coelheira private collection|alicante bouschet 0|pt|r|alicante bouschet|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|casal da coelheira private collection|alicante bouschet 2020|pt|r|alicante bouschet|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|casal da coelheira private collection|alicante bouschet tinto|pt|r|alicante bouschet|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|casal da coelheira private collection blend|0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|casal da coelheira private collection blend|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|casal da coelheira private collection|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
147. W|casal da coelheira private collection fernao|pires|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|casal da coelheira private collection fernao pires|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|casal da coelheira private collection fernao pires|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
150. W|casal da coelheira private collection fernao pires tejo|branco 2022|pt|w|??|tejo|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
151. W|casal da coelheira private collection|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|casal da coelheira private collection tejo|tinto 2019|pt|r|??|tejo|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|casal da coelheira private collection|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
154. W|casal da coelheira private collection|verdelho 0|pt|w|verdelho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
155. W|casal da coelheira private collection|verdelho 2024|pt|w|verdelho|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
156. W|casal da coelheira private collection|verdelho branco|pt|w|verdelho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
157. W|casal da coelheira private|selection branco 2019|pt|w|??|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
158. W|casal da coelheira raizes|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
159. W|casal da coelheira|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|casal da coelheira|red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|casal da coelheira|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
162. W|casal da coelheira|reserva 2022|pt|r|??|??|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
163. W|casal da coelheira|reserva branco|pt|w|??|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
164. W|casal da coelheira|reserva branco 0|pt|w|??|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
165. W|casal da coelheira|reserva red|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
166. W|casal da coelheira|reserva red 2020|pt|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
167. W|casal da coelheira|reserva tejo tinto 2016|pt|r|??|tejo|??|2016|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
168. W|casal da coelheira|reserva tinto|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
169. W|casal da coelheira|reserva tinto 0|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
170. W|casal da coelheira|reserva white|pt|w|??|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
171. W|casal da coelheira|reserva white 2022|pt|w|??|??|??|2022|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
172. W|casal da coelheira|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
173. W|casal da coelheira|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=172
174. W|casal da coelheira|rose 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
175. W|casal da coelheira terracos|do tejo red 2022|pt|r|??|tejo|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|casal da coelheira terracos|do tejo tinto 2021|pt|r|??|tejo|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|casal da coelheira terracos|do tejo white 2023|pt|w|??|tejo|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
178. W|casal da coelheira|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|casal da coelheira|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=178
180. W|casal da coelheira|tinto 0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|casal da coelheira|tinto 0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
182. W|casal da coelheira|tinto reserva 2018|pt|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
183. W|casal da coelheira|verdelho private collection|pt|w|verdelho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
184. W|casal da coelheira|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
185. W|casal da coelheira|white 2022|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
186. W|casal da eira|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
187. W|casal da eira|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
188. W|casal da fonte|abaladico|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|casal da|garca|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|casal da monteira|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
191. W|casal da monteira|branco bib|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
192. W|casal da monteira|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
193. W|casal da monteira|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|casal da monteira|tinto bib|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|casal da seara|tinto vinho regional tejo|pt|r|??|tejo|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|casal da seara|verde|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|casal da seara verde|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
198. W|casal da seara verde|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
199. W|casal da seara|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
200. W|casal das aires|alicante bouschet|pt|r|alicante bouschet|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|casal das aires|alicante bouschet 2019 magnum tinto|pt|r|alicante bouschet|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|casal das aires|alicante bouschet 2019 tinto|pt|r|alicante bouschet|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|casal das aires|alicante bouschet 2020|pt|r|alicante bouschet|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|casal das aires|alicante bouschet tinto|pt|r|alicante bouschet|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|casal das aires|alicante bouschet vinhas velhas tinto 2019|pt|r|alicante bouschet|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
206. W|casal das aires|alicante bouschet vinhas velhas tinto 2020|pt|r|alicante bouschet|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|casal das aires|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
208. W|casal das aires|chardonnay 2019|pt|w|chardonnay|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
209. W|casal das aires|chardonnay 2019 branco|pt|w|chardonnay|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
210. W|casal das aires|chardonnay 2023|pt|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
211. W|casal das aires|chardonnay branco|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
212. W|casal das aires|chardonnay branco 2021|pt|w|chardonnay|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
213. W|casal das aires|chardonnay branco tejo|pt|w|chardonnay|tejo|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
214. W|casal das aires fernao pires|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
215. W|casal das aires fernao pires|old vines|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|casal das aires fernao pires|vinhas velhas branco 2019|pt|w|??|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
217. W|casal das aires|parapente|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|casal das aires|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|casal das aires|pinot noir 2019 magnum tinto|pt|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|casal das aires|pinot noir 2021|pt|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|casal das aires|vinhas velhas alicante bouschet 2020|pt|r|alicante bouschet|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
222. W|casal das aires|vinhas velhas fernao pires 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
223. W|casal das aires|vinhas velhas fernao pires tejo 2020|pt|r|??|tejo|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
