1. W|cascina ghercina|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|cascina ghercina brachetto|rosato 2025|??|p|??|??|??|2025|12.5|??|leve|saladas, aves, queijos leves|seco
21. W|cascina ghercina|chardonnay 2024|??|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
22. W|cascina ghercina dedicato langhe|rosso 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|cascina ghercina gavi|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|cascina ghercina gavi di|gavi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|cascina ghercina gavi di|gavi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=24
26. W|cascina ghercina gavi di|gavi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=24
27. W|cascina ghercina gavi di gavi|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|cascina ghercina gavi di gavi|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
29. W|cascina ghercina gavi di gavi|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=28
30. W|cascina ghercina gavi di gavi|docg 2025|??|r|??|??|??|2025|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
31. W|cascina ghercina langhe|doc nascetta del comune di novello|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
32. W|cascina ghercina langhe|doc rosso dedicato|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
33. W|cascina ghercina langhe|doc rosso dedicato|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=32
34. W|cascina ghercina langhe|doc rosso dedicato 2021|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
35. W|cascina ghercina langhe nascetta|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|cascina ghercina langhe|nebbiolo 2021|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
37. W|cascina ghercina langhe|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|cascina ghercina langhe|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
39. W|cascina ghercina langhe|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
40. W|cascina ghercina monferrato chiaretto|rosato 2023|??|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
41. W|cascina ghercina monferrato chiaretto|rosato 2024|??|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
42. W|cascina ghercina monferrato|doc chiaretto|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
43. W|cascina ghercina|moscato dasti|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
44. W|cascina ghercina|moscato dasti|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=43
45. W|cascina ghercina|moscato dasti|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=43
46. W|cascina ghercina|moscato dasti 2023|??|w|moscato|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
47. W|cascina ghercina|moscato dasti 2024|??|w|moscato|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
48. W|cascina ghercina|moscato dasti 2025|??|w|moscato|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
49. W|cascina ghercina|moscato dasti docg|??|w|moscato|??|??|NV|12.5|docg|leve|frutos do mar, peixes, saladas|seco
50. W|cascina ghercina|moscato dasti docg|??|w|moscato|??|??|NV|12.5|docg|leve|frutos do mar, peixes, saladas|seco|=49
51. W|cascina ghercina|moscato dasti docg|??|w|moscato|??|??|NV|12.5|docg|leve|frutos do mar, peixes, saladas|seco|=49
52. W|cascina ghercina|moscato dasti docg 2025|??|w|moscato|??|??|2025|12.5|docg|leve|frutos do mar, peixes, saladas|seco
53. W|cascina ghercina|nebbiolo dalba 2021|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
54. W|cascina ghercina|nebbiolo dalba 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
55. W|cascina ghercina|nebbiolo dalba doc nebbiolo dalba doc|??|r|nebbiolo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
56. W|cascina ghercina|nebbiolo dalba doc nebbiolo dalba doc|??|r|nebbiolo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=55
57. W|cascina ghercina piemonte|brachetto|it|r|??|piemonte|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
58. W|cascina ghercina piemonte|brachetto|it|r|??|piemonte|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=57
59. W|cascina ghercina piemonte|brachetto|it|r|??|piemonte|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=57
60. W|cascina ghercina piemonte|brachetto|it|r|??|piemonte|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=57
61. W|cascina ghercina piemonte|chardonnay|it|w|chardonnay|piemonte|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
62. W|cascina ghercina piemonte|chardonnay|it|w|chardonnay|piemonte|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=61
63. W|cascina ghercina piemonte|chardonnay|it|w|chardonnay|piemonte|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=61
64. W|cascina ghercina piemonte|doc barbera appassimento|it|r|barbera|piemonte|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
65. W|cascina ghercina piemonte|doc barbera appassimento|it|r|barbera|piemonte|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=64
66. W|cascina ghercina piemonte|doc barbera appassimento 2023|it|r|barbera|piemonte|??|2023|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
67. W|cascina ghercina piemonte|doc barbera appassimento 2024|it|r|barbera|piemonte|??|2024|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
68. W|cascina ghercina piemonte|doc brachetto|it|r|??|piemonte|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
69. W|cascina ghercina piemonte|doc brachetto|it|r|??|piemonte|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=68
70. W|cascina ghercina piemonte|doc brachetto 2025|it|r|??|piemonte|??|2025|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
71. W|cascina ghercina piemonte|doc chardonnay|it|w|chardonnay|piemonte|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
72. W|cascina ghercina piemonte|doc chardonnay|it|w|chardonnay|piemonte|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco|=71
73. W|cascina ghercina piemonte|doc chardonnay 2024|it|w|chardonnay|piemonte|??|2024|12.5|doc|leve|frutos do mar, peixes, saladas|seco
74. W|cascina ghercina piemonte|doc chardonnay 2025|it|w|chardonnay|piemonte|??|2025|12.5|doc|leve|frutos do mar, peixes, saladas|seco
75. W|cascina ghercina roero|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
76. W|cascina ghercina roero|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
77. W|cascina ghercina roero|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
78. W|cascina ghercina roero arneis|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|cascina ghercina roero arneis|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
80. W|cascina ghercina roero arneis|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
81. W|cascina ghercina roero arneis|docg 2024|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
82. W|cascina ghercina roero arneis|docg 2025|??|r|??|??|??|2025|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
83. W|cascina|gilli|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
84. W|cascina|gilli|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=83
85. W|cascina gilli albugnano|doc superiore notturno|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
86. W|cascina gilli|barbera dasti le more|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
87. W|cascina gilli bonarda piemonte frizzante|moye|ar|s|??|piemonte|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
88. W|cascina gilli freisa dasti|doc frizzante luna di maggio|??|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
89. W|cascina gilli freisa dasti|doc il forno|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
90. W|cascina gilli il|forno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|cascina gilli il|forno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=90
92. W|cascina gilli le|more|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|cascina gilli le|more|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
94. W|cascina gilli malvasia di castelnuovo|don bosco doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
95. W|cascina gilli malvasia di castelnuovo|don bosco vv 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|cascina gilli malvasia spumante|6 case|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
97. W|cascina gilli|rafe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|cascina gilli|rafe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=97
99. W|cascina guido berta|moscato dasti docg|??|w|moscato|??|??|NV|12.5|docg|leve|frutos do mar, peixes, saladas|seco
100. W|cascina guido berta nizza|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|cascina home gym storage rack weight rack for dumbbells kettlebells foam roller resistance bands and yoga mat storage holder exercise workout equipment storage organizer with hooks and|wheels|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
102. W|cascina i carpini rugiada del mattino timorasso colli tortonesi|doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
103. W|cascina i carpini sette zolle|barbera riserva colli tortonesi doc|??|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
104. W|cascina iuli barabba|barbera di monferrato 2000|??|r|barbera|??|??|2000|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
105. W|cascina iuli barat vino bianco baratuciat|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|cascina iuli la rina|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|cascina iuli la rina slarina vino|rosso 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|cascina iuli la rina vermouth|rosso nv|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
109. W|cascina iuli malidea monferrato|nebbiolo 2018|??|r|nebbiolo|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
110. W|cascina iuli malidea monferrato|nebbiolo 2021|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
111. W|cascina iuli natalin vino|rosso 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|cascina iuli rossore|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|cascina iuli rossore|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=112
114. W|cascina iuli umberta|barbera 2022|??|r|barbera|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
115. W|cascina iuli umberta|barbera 2023|??|r|barbera|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
116. W|cascina la barbatella la vigna dellangelo|barbera 2021|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
117. W|cascina la berchialla olek bondonio|barbera dalba 2021|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
118. W|cascina la berchialla olek bondonio|barbera dalba 2022|??|r|barbera|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
119. W|cascina la berchialla olek bondonio|barbera dasti 2022|??|r|barbera|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
120. W|cascina la berchialla olek bondonio dolcetto dalba|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|cascina la berchialla olek bondonio drunken fly|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|cascina la berchialla olek bondonio langhe|nebbiolo 2022|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
123. W|cascina la berchialla olek bondonio pelaverga giulietta|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|cascina la doria|moscato dasti 2024|??|w|moscato|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
125. W|cascina lanzarotti|barbera dalba superiore doc pujina 2022|??|r|barbera|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
126. W|cascina lanzarotti bicerin da|vija|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|cascina lanzarotti bin fait roero|docg 2021|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
128. W|cascina lanzarotti langhe|doc nebbiolo doc arbute 2023|??|r|nebbiolo|??|??|2023|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
129. W|cascina lanzarotti roero arneis|docg riserva arlass 2023|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
130. W|cascina lanzarotti roero arneis metodo|classico extra brut docg|??|s|??|??|??|NV|12|docg|leve|aperitivos, frutos do mar, sushi|extra brut
131. W|cascina lanzarotti roero|nebbiolo docg carlinot sru riserva 2020|??|r|nebbiolo|??|??|2020|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
132. W|cascina lanzarotti roero|nebbiolo docg carlinot sru riserva 2020 docg|??|r|nebbiolo|??|??|2020|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
133. W|cascina lanzarotti sette gennaio roero arneis|docg 2019|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
134. W|cascina le|doti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|cascina le doti barbaresco bordini|2017 144|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. W|cascina le doti langhe|nebbiolo 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
137. W|cascina le preseglie hamsa lugana|doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
138. W|cascina lieto bianco croche|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|cascina lieto bianco lieto|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
140. W|cascina lieto bianco lieto italy|white 2022|??|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
141. W|cascina lieto bianco sensazione|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|cascina lieto bianco sensazione|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|cascina lieto bianco sensazione|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|cascina lieto bianco sensazione|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=143
145. W|cascina lieto croche italy|sparkling red 2022|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, sushi|brut
146. W|cascina lieto dolce cado italy|white nv|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
147. W|cascina lieto lieto|2022 bianco macerato|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|cascina lieto litmo|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|cascina lieto litmo italy|red 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|cascina lieto|moscato lieto 2021|??|w|moscato|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
151. W|cascina lieto|moscato lieto 2022|??|w|moscato|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
152. W|cascina lieto|moscato lr 2020|??|w|moscato|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
153. W|cascina lieto|rosso frizzante croche 2022|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, sushi|brut
154. W|cascina lieto sensazione|2022 bianco macerato|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|cascina lieto sensazione italy|white 2022|??|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
156. W|cascina lieto vino bianco dolce cado solera|20192023|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|cascina lieto vino bianco lieto|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|cascina lieto vino bianco lieto riserva|2022|??|r|??|??|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
159. W|cascina lieto vino bianco sensazione|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|cascina lieto vino|rosso frizzante croche 2022|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, sushi|brut
161. W|cascina lieto vino|rosso litmo 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
162. W|cascina lo zoccolaio barolo riserva|2016|it|r|??|??|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
163. W|cascina lodola finalmente|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. W|cascina lodola|pinot nero doc mirano 2024|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
165. W|cascina lodola vino|rosso sei gioia 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|cascina longoria barbaresco|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
167. W|cascina longoria fratelli toso langhe|nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
168. W|cascina luisin|2019 barbera dalba maggiur|??|r|barbera|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
169. W|cascina luisin asili|barbaresco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|cascina luisin ave roero arneis|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|cascina luisin barbaresco|asili|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|cascina luisin barbaresco asili|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|cascina luisin barbaresco asili|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
174. W|cascina luisin barbaresco asili|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=173
175. W|cascina luisin barbaresco asili|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|cascina luisin barbaresco minuto luigi|1982|it|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|cascina luisin barbaresco minuto luigi|1982|it|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=176
178. W|cascina luisin barbaresco minuto luigi|1982|it|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=176
179. W|cascina luisin barbaresco|paolin|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|cascina luisin barbaresco paolin|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|cascina luisin barbaresco paolin|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
182. W|cascina luisin barbaresco paolin|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|cascina luisin barbaresco paolin|2021|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
184. W|cascina luisin barbaresco|rabaja|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|cascina luisin barbaresco rabaja|2014|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|cascina luisin barbaresco rabaja|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|cascina luisin barbaresco rabaja|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
188. W|cascina luisin barbaresco rabaja|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=187
189. W|cascina luisin barbaresco rabaja|2018|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|cascina luisin barbaresco rabaja|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
191. W|cascina luisin barbaresco riserva|2015|it|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
192. W|cascina luisin barbaresco sori|paolin|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|cascina luisin barolo leon|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|cascina luisin langhe|nebbiolo 2022|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
195. W|cascina luisin maggiur|barbera dalba|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
196. W|cascina luisin magguir langhe|nebbiolo 2023|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
197. W|cascina maddalena capotesta lugana|doc 2022|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
198. W|cascina maria|barbera dalba superiore doc|??|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
199. W|cascina maria barolo|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
200. W|cascina maria barolo|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=199
201. W|cascina maria langhe|doc rosso|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
202. W|cascina maria langhe|rosso doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
203. W|cascina maria|nebbiolo dalba doc|??|r|nebbiolo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
204. W|cascina maria roero arneis|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
205. W|cascina massara barolo massara|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
206. W|cascina massara barolo monvigliero|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|cascina massara|burlotto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|cascina massara burlotto barolo massara|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|cascina massara burlotto barolo massara|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=208
210. W|cascina massara burlotto barolo massara|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=208
