1. W|caselletti puglia|igp primitivo 2020|??|r|primitivo|??|??|2020|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
71. W|casette|rosso 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|casetto bardolino chiaretto|classico doc 2020|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
73. W|casetto bardolino chiaretto spumante|doc brut 2019|??|s|??|??|??|2019|12|doc|leve|aperitivos, frutos do mar, sushi|brut
74. W|casetto bardolino|classico doc 2018|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
75. W|casetto bardolino superiore|classico docg 2017|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
76. W|casetto bral|igt rosso verona 2018|??|r|??|??|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
77. W|casetto collechiara|igt bianco verona 2018|??|r|??|??|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
78. W|casetto decanto|igt rosso verona 2018|??|r|??|??|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
79. W|casetto lugana lu|doc 2020|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
80. W|casetto olio|extra vergine di oliva 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|casetto|pinot grigio delle venezie doc 2021|??|w|pinot grigio|??|??|2021|12.5|doc|leve|frutos do mar, peixes, saladas|seco
82. W|casey flat open range|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
83. W|casey fruit stand|raspberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
84. W|casey funky blender triple crown|blackberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|casey ghost note golden sweet|apricot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|casey ghost note kay pearl|nectarine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
87. X
88. W|casey jones apple|cut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|casey jones apple|cut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=88
90. W|casey jones|barrel cut double barrel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|casey jones|barrel cut double barrel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=90
92. W|casey jones|barrel cut single barrel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|casey jones distillery|barrel cut double barrel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
94. W|casey jones distillery|barrel cut single barrel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|casey jones distillery total eclipse|moonshine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|casey jones distillery total eclipse|moonshine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=95
97. W|casey jones ky straight|bbn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|casey jones total eclipse|giftpack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|casey jones total eclipse|giftpack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=98
100. W|casey jones total eclipse|moonshine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|casey jones total eclipse|moonshine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=100
102. W|casey key|7 anos ron anejo de miel virgen arte del autentico ron mexicano edicion maestra coleccion limitada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|caseys ridge|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
104. W|cash la|autobiografia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|cash man in black su propia historia en sus propias|palabras|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|cash|register|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|cashaca|pitu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|cashcane black smoke|0 45|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|cashcane saloon|cask|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|cashel|blue|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|cashel blue|170g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. X
113. W|cashel blue|mature|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|cashel blue mature|sheridans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|cashel blue third of a|pound|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
116. W|cashel farmhouse|blue|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|cashew acaramelado|100 gr a granel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|cashew and cashew|brittle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|cashew bbq|240|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|cashew biscuit|100 lady joseph|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|cashew|butter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|cashew|butter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=121
123. W|cashew|clusters|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|cashew cookies|24pcs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|cashew curry cashew mit curry 60g pstash|berlin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|cashew feni|12 pieces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|cashew feni|9 pieces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|cashew kadalai mittai|1pc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|cashew kernel w320 50lb|65871|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|cashew mit|rauchergewurz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|cashew natural|100 gr a granel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|cashew nut cookies|198g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|cashew nut cookies|265gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|cashew nut kernels w320 21134g|vn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|cashew nut roasted tom yum flavour and|products|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. W|cashew|nuts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|cashew|nuts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=136
138. W|cashew|nuts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=136
139. W|cashew|nuts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=136
140. W|cashew nuts|180gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|cashew nuts|1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|cashew nuts|350g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|cashew nuts|500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|cashew nuts|50gms|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|cashew nuts butter|250gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|cashew nuts fairtrade from burkina faso|organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|cashew nuts honeysea|salt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|cashew nuts natural whole peeled|kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|cashew nuts|organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|cashew nuts|organic raw|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|cashew nuts roasted and|unsalted|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|cashew nuts roasted salted 150gr|tin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|cashew nuts salted|100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
154. W|cashew nuts|whole|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|cashew nuts whole|1 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|cashew organically grown natures glory 100g250g|organic best before approx1 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|cashew peri peri|w240|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|cashew roasted cinnamon cashew mit zimt und zucker 60g pstash|berlin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|cashew roasted salted w320|250 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|cashew roca original buttercrunch toffee with cashews|225g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|cashew salado|100 gr a granel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
162. W|cashew|split|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|cashew tostado 100g a|granel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. W|cashew|w150|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|cashew|w180|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|cashew|w210|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
167. W|cashew|w240|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|cashew w240 chilli|garlic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|cashew w240 dry|roasted|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|cashew w240|sweetened|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|cashew|w320|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|cashew w320|chilli|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|cashew w320|salted|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
174. W|cashew with|skin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|cashewdrik uden tilsat sukker|natumi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|cashewkerne gerostet mit|tellicherrypfeffer130g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|cashewkerne mit|karamell|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
178. W|cashewkerne mit spicy cajun|80g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|cashewkerne mit spicy cajun sal de|ibiza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|cashewkerne|natur|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|cashewkerne toskana|130g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
182. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
183. W|cashewndder chili og|lime|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
184. W|cashewndder kologisk|100 g obs bedst fr 13012026|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|cashewndder med brunet smr og|chokoladedrage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|cashewndder med brunet smr og|chokoladedrage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=185
187. W|cashewndder med ostesmag|nddehuset|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
188. W|cashewndder ristede og saltede|100 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|cashewndder sweet and salty obs bedst fr|04122025|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
191. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
192. W|cashewnoten gebrand|ongezouten|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|cashewnoten|gezouten|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|cashewnoten|ongezouten|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|cashewnoten oriental spices|pomegranate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|cashewnoten rosemary|curry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|cashewnoten smoked herbs hot|spices|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|cashewntter kologisk|1 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
200. W|cashewnusse|vollmilchschokolade|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
202. W|cashews|organic 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|cashews raw and|unsalted|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|cashews roasted salted|500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|cashews salados x|kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
206. W|cashews tostado con sal crunch it|250 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|cashews vallealto|90g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|cashews whole|500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|cashews whole roasted|unsalted|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|cashews whole|salted|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|cashews with summer|truffle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
213. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
214. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
215. W|cashmere|5080|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|cashmere|bowtie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|cashmere coral stole with|lurex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|cashmere|cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|cashmere|creme|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|cashmere|hops|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|cashmere hops dual purpose lemon|flavored|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
222. W|cashmere hops|pellets|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
223. W|cashmere kumquat eau de toilette|korres|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|cashmere long coat cashmere coat long|coat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|cashmere lupomax|2020 100g 135|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|cashmere lurex stripe|stole|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|cashmere lurex zig zag|stole|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|cashmere matte|eyelights|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|cashmere muffler ikat stole|set|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
230. W|cashmere muffler lurex stole|set|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|cashmere|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
232. W|cashmere|scarf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|cashmere shawl with floral|pattern|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|cashmere shores can|65|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
