W|fratelli bortolin|bortolin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|dogana rosso|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=67
W|fratelli cozza|moscato frizzante|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|moscato giallo puglia 12750|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|nero di troia|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|nero di troia puglia igt|fr|r|??|??|??|NV|13.5|IGT|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|pinot grigio|fr|w|pinot grigio|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli cozza|pinot grigio|fr|w|pinot grigio|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=73
W|fratelli cozza|pinot grigio delle venezie igt|fr|w|pinot grigio|??|??|NV|12.5|IGT|medio|peixe, frutos do mar|seco
W|fratelli cozza|pinot grigio doc 2024|fr|w|pinot grigio|??|??|2024|12.5|DOC|medio|peixe, frutos do mar|seco
W|fratelli cozza|primitivo|fr|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|primitivo igt 2022|fr|r|primitivo|??|??|2022|13.5|IGT|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|primitivo puglia igt 12750|fr|r|primitivo|??|??|NV|13.5|IGT|encorpado|carne vermelha, queijo|seco
W|fratelli cozza|prosecco|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli cozza|prosecco|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=80
W|fratelli cozza|prosecco|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=80
W|fratelli cozza|prosecco doc extra dry|it|s|??|??|??|NV|12|DOC|medio|aperitivos, frutos do mar|brut
W|fratelli cozza|prosecco doc extra dry 12750|it|s|??|??|??|NV|12|DOC|medio|aperitivos, frutos do mar|brut
W|fratelli cozza|prosecco doc extra dry italy|it|s|??|??|??|NV|12|DOC|medio|aperitivos, frutos do mar|brut
W|fratelli cozza|prosecco extra dry doc|it|s|??|??|??|NV|12|DOC|medio|aperitivos, frutos do mar|brut
W|fratelli cozza|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|fratelli cozza|rose prosecco|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli danna|brunello di montalcino 2016|it|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli danna|brunello di montalcino 2016|it|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=89
W|fratelli danna|brunello di montalcino 2016|it|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco|=89
W|fratelli danna|chianti 2022|it|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli degani|amarone della valpolicella classico 2020|it|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli dellaquila|frandina ciro bianco 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli dellaquila|salvogaro ciro rosso classico 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli demaria|bartolomeo barolo docg 2018 piedmont italy|it|r|??|??|??|2018|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli demaria|bartolomeo barolo docg 2019 piedmont italy|it|r|??|??|??|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli demaria|bartolomeo barolo millesimi docg 2008 piedmont italy|it|r|??|??|??|2008|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli demaria|bartolomeo nebbiolo dalba dop 2013 piedmont italy|it|r|nebbiolo|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli demaria|bartolomeo nebbiolo dalba dop 2017 piedmont italy|it|r|nebbiolo|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli dogliani|docg barolo 2017|it|r|??|??|??|2017|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli dolcetto|dalba|fr|r|dolcetto|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli falzari|altrove|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli falzari|assentada 2021 blanc|fr|w|??|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli falzari|pilandra|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli falzari|selengaia chianti|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli falzari|tinnari 2022 blanc|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli felix|2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli felix|bianco|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli felix|bianco 2023|fr|w|??|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli felix|bianco terroirs project|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli felix|bianco vigneti tardis 2023|fr|w|??|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli felix|campania bianco 2022 vigneti tardis italy|it|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli felix|campania bianco orange wine|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli felix|campania bianco vigneti tardis 2024|fr|w|??|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli felix|campania bianco vigneti tardis orange wine|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli felix|campania rosso vigneti tardis 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli felix|rosso vigneti tardis 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ferrero|barbera dalba 2019|it|r|barbera|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ferrero|barolo gattera 2018|it|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ferrero|manzone barolo 2001|it|r|??|??|??|2001|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ferrero|manzone barolo 2003|it|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli fici|marsala secco|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|fratelli fogliati|neive barbaresco docg|it|r|??|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli gancia|prose rose extra dry|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|fratelli giacosa|2013 barolo bussia|it|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|barbaresco basarin riserva gianmate|it|r|??|??|??|NV|13.5|RISERVA|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|barbaresco docg|it|r|??|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|barbaresco docg piedmont 1968|it|r|??|??|??|1968|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|barbera dalba|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|barbera dalba bussia doc 2022|it|r|barbera|??|??|2022|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|barolo bussia docg 2018|it|r|??|??|??|2018|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|barolo docg 2019|it|r|??|??|??|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|barolo docg rosso|it|r|??|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|barolo docg scarrone vigna mandorlo|it|r|??|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|basarin vigna gianmate|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|dolcetto dalba madonna di como|fr|r|dolcetto|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|nebbiolo dalba|it|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli giacosa|nebbiolo dalba|it|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=138
W|fratelli giacosa|nebbiolo dalba doc 2021|it|r|nebbiolo|??|??|2021|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|fratelli giuliari|giuliari|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli giuliari|i prognai 2016 5 litri amarone della valpolicella|it|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli giuliari|i prognai 2016 jeroboam amarone della valpolicella|it|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli giuliari|nemm veneto bianco|it|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli giuliari|recioto della valpolicella|it|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos|doce
W|fratelli gran|cuvee brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli gran|cuvee brut sparkling wine|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli grasso|barbaresco cascina vallegrande 1982|it|r|??|??|??|1982|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli grasso|barbaresco cascina vallegrande 1983|it|r|??|??|??|1983|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli grasso|barbaresco vallegrande|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli grasso|trej vino rosso|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli grasso|vallegrande barbaresco 1979|it|r|??|??|??|1979|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli grati|grati|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli grati|chianti tuscany italy|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli grati|chianti tuscany italy|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=154
W|fratelli guiliari|amarone della valpolicella|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli guiliari|nemm bianco del veneto|it|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli guiliari|nemm veneto rosso|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli jnoon|red|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli jnoon|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli lunardi|biscotti cioccolato e arancia 200g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli lunardi|biscotti con cioccolato 200g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli lunardi|biscotti con limone 200g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli lunardi|cantucci toscani igp mandorle 200g|fr|r|??|??|??|NV|13.5|IGP|encorpado|carne vermelha, queijo|seco
W|fratelli lunardi|truffle honey|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli lunelli|ferrari formula 1 special edition brut trentodoc nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli lunelli|ferrari giulio ferrari riserva del fondatore metodo classico 2004 1|fr|r|??|??|??|2004|13.5|RISERVA|encorpado|carne vermelha, queijo|seco
W|fratelli lunelli|ferrari metodo classico rose nv|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|fratelli lunelli|ferrari perle millesimato trentodoc 2005|fr|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli maggi|pinot grigio vin alb sgr|fr|w|pinot grigio|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli maggi|riesling vin alb frizzante sgr|fr|w|riesling|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli merlot|wine|fr|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli merlot|wine|fr|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=172
W|fratelli montepul|abruzzo 19 c 2019 case only|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli moscone|barolo|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli mossio|bricco caramelli|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ms|akluj merlot 2018|fr|r|merlot|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ms|chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli ms|chardonnay sau blanc wine|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli ms|red|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ms|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|fratelli ms|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=181
W|fratelli ms|sangiovese wine|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ms|shiraz cab wine|fr|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ms|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|fratelli nebbiolo|alba|it|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli nebbiolo|alba|it|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=186
W|fratelli negri|viticoltori colline novaresi uva rara 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli negri|viticoltori colline sizzano 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli nistri|chianti|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli nistri|chianti docg|it|r|??|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli nistri|chianti docg 2017 italy|it|r|??|??|??|2017|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli nistri|chianti docg 2019 italy|it|r|??|??|??|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli nistri|chianti docg 2021 italy|it|r|??|??|??|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli nistri|chianti docg 2022 italy|it|r|??|??|??|2022|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli nistri|fratelli nistri chianti docg|it|r|??|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli nistri|vignole chianti classico docg 2021|it|r|??|??|??|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli noi|rose sparkling|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli noi|sparkling|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli noi|sparkling|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=199
W|fratelli noi|sparkling|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=199
W|fratelli noi|sparkling rose|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli noi|sparkling wine|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|fratelli noi|spritzer classico|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli oddero|barolo|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli oddero|barolo vigna rionda riserva 2013|it|r|??|??|??|2013|13.5|RISERVA|encorpado|carne vermelha, queijo|seco
W|fratelli omede|gino 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli paolazzi|kit degustazione|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli pardi|pardi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli pasini|artigiano nebbiolo|it|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli pasini|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli pasini|testa dura|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli pgrigio|20 2020 case only|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli pinna|ricotta salata|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ponte|barbera dasti superiore docg piedmont italy|it|r|barbera|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli ponte|fiore di loto moscato moscato dasti docg italy|it|r|??|??|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fratelli ponte|roero arneis|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli ponte|roero arneis|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=217
W|fratelli povero|roero arneis 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli povero|roero arneis 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli prosecco|nv case only|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
S
W|fratelli rabino|barbera dalba|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli rabino|roero arneis|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli raguzzoni|campo dei galli 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli raguzzoni|campo dei galli 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=225
W|fratelli raguzzoni|campo dei galli 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=225
W|fratelli raguzzoni|filare di mezzo modena italy lambrusco oliva 2023|it|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli raguzzoni|la colombara|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|fratelli raguzzoni|la colombara|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=229
W|fratelli raguzzoni|rosato frizzante 2023|fr|p|??|??|??|2023|13.5|??|medio|frutos do mar, saladas|seco
W|fratelli raguzzoni|rosato frizzante 2023|fr|p|??|??|??|2023|13.5|??|medio|frutos do mar, saladas|seco|=231
