W|languedoc|syrah domaine baume rg|fr|r|syrah|languedoc|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon barton guestier reserve cabernet sauvignon 12|fr|r|cabernet sauvignon|languedoc|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon barton guestier partager tinto 12|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon barton guestier partager blanco 12|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon baron philippe de rothschild pinot noir 6|fr|r|pinot noir|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon baron philippe de rothschild merlot 6|fr|r|merlot|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon baron philippe de rothschild chardonnay 6|fr|w|chardonnay|languedoc|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|languedoc|roussillon baron philippe de rothschild cabernet sauvignon 6|fr|r|cabernet sauvignon|languedoc|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon arrogant frog tutti fruti red 6|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon arrogant frog shiraz 12|fr|r|shiraz|languedoc|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon arrogant frog sauvignon blanc 12|fr|w|sauvignon blanc|languedoc|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|languedoc|roussillon arrogant frog pinot noir 12|fr|r|pinot noir|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|roussillon arrogant frog cabernet sauvignon merlot 12|fr|r|cabernet sauvignon|languedoc|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
X
W|languedoc|rouge saint sylvestre|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|rouge lou maset aupilhac bd|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|rouge lou maset aupilhac bd|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=49
W|languedoc|rouge les darons jeff carrel|fr|r|??|languedoc|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|rouge chateau puech haut tete de belier|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|rouge cerise domaine croix gratiot|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|rouge bio terra moulin de gassac|fr|r|??|languedoc|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|rouge aop grenache syrah abbotts delaunay|fr|r|syrah|languedoc|??|NV|13.5|aop|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|rouge aop le dahut caisse de 6 bouteilles|fr|r|??|languedoc|??|2021|13.5|aop|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|rouge abbotts delaunay|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|rouge|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|rose vin dune nuit mas jullien|fr|p|??|languedoc|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|rose vin dune nuit|fr|p|??|languedoc|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|rose gourmandise cellier du pic|fr|p|??|languedoc|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|rose chateau la negly lecume|fr|p|??|languedoc|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|rose aop grenache noir syrah abbotts delaunay|fr|p|syrah|languedoc|??|NV|12.5|aop|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|rose abbotts delaunay|fr|p|??|languedoc|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|rose|fr|p|??|languedoc|??|2020|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|rose|fr|p|??|languedoc|??|2018|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|rose|fr|p|??|languedoc|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|romain du perret aoc rotwein wein trocken frankreich 6 x 1|fr|r|??|languedoc|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|romain du perret aoc rotwein wein trocken frankreich 3 x 1|fr|r|??|languedoc|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|romain du perret aoc rotwein wein trocken frankreich 12 x 1|fr|r|??|languedoc|??|NV|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|reliefs le roc des anges|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|red wine|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pure syrah mas llossanes|fr|r|syrah|languedoc|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|pur chasan mas llossanes|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|puech noble rouge domaine rostaing|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|puech noble domaine rostaing|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|puech haut prestige rouge|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|puech haut prestige blanc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|promesse domaine virgile joly rouge edition limitee|fr|r|??|languedoc|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|prestige les complices chateau puech 20212022 vin blanc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|prestige chateau puech haut|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|polissons clos constantin|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pinot noir les hauts de montarels|fr|r|pinot noir|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pinot noir domaine baume rs|fr|r|pinot noir|languedoc|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pierres blanches cabernet sauvignon|fr|r|cabernet sauvignon|languedoc|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc|pic saint loup nobilis bio rg|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pic saint loup domaine morties|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pic saint loup ambroisie bio rg|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pezenas villafranchien domaine le conte des floris|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pezenas pleine lune domaine le conte des floris|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pezenas lune blanche domaine le conte des floris|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pezenas lune blanche domaine le conte des floris|fr|r|??|languedoc|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pezenas le rouge domaine turner pageot|fr|r|??|languedoc|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pezenas carmina major domaine turner pageot|fr|r|??|languedoc|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pezenas carmina major domaine turner pageot|fr|r|??|languedoc|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pezenas carmin|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pezenas b 815 domaine turner pageot|fr|r|??|languedoc|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pezenas aoc terres melees domaine la font des ormes|fr|r|??|languedoc|??|2015|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|petits pas domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|petits pas domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=99
W|languedoc|petits pas domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=99
W|languedoc|petits pas domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=99
W|languedoc|peira levada domaine sauta roc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|pas de geant laurent miquel|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|paradoxe domaine larjolle|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|nuit grave terrasses du larzac mas des chimeres|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|nicot mas des agrunelles|fr|r|??|languedoc|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|montpeyroux villa dondona domaine lynchsuquet|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|montpeyroux truffieres rouge bio domaine daupilhac|fr|r|??|languedoc|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|montpeyroux rouge la boda domaine daupilhac|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|montpeyroux rouge cuvee aupilhac domaine daupilhac|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|montpeyroux rouge cuvee aupilhac domaine daupilhac|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|montpeyroux lesprit de font caude domaine alain chabanon|fr|r|??|languedoc|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|merlot gd chataignier dom baume 24 rg|fr|r|merlot|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|mas rousseau domaine du pas de lescalette|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|mas rousseau domaine du pas de lescalette|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=115
W|languedoc|mas rousseau domaine du pas de lescalette|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=115
W|languedoc|mas rousseau domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|mas rousseau domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=118
W|languedoc|mas rousseau domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=118
W|languedoc|mas rousseau domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=118
W|languedoc|mas rousseau domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=118
W|languedoc|mas rousseau domaine du pas de lescalette|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=118
W|languedoc|manon clos marie|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|m comme je suis le mas de mon pere|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|lyv sauvignon blanc sonderflasche flacon|fr|w|sauvignon blanc|languedoc|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|languedoc|lyv rose trocken sonderflasche flacon|fr|p|??|languedoc|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|lindigene mas des agrunelles|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|lheritiere des pierres domaine saint sylvestre|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|lheritiere des pierres domaine saint sylvestre|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|lheritiere des pierres domaine saint sylvestre|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|lestrade domaine garrabou|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|vignes oubliees|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|terrassettes corbieres clos de lanhel|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|sept vaillant les equilibristes|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|passantes chimeres|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|montagnes bleues foulaquier|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|marnes mas granier wit|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|marnes mas granier wit|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|griottiers mas de la seranne|fr|r|??|languedoc|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|griottiers mas de la seranne|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|frieys domaine du pas de lescalette|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|frieys domaine du pas de lescalette|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=142
W|languedoc les|frieys domaine du pas de lescalette|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=142
W|languedoc les|darons by jeff carrel rouge|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|cocalieres domaine daupilhac 1|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc les|cades|fr|r|??|languedoc|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|lepique domaine belles|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|leon clos constantin|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc le|vassal domaine rostaing|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc le|sang du papete domaine saint sylvestre|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc le|petit modat domaine modat|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc le|pas de d domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc le|pas de d domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=153
W|languedoc le|pas de d domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=153
W|languedoc le|pas de d domaine du pas de lescalette|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc le|pas de d domaine du pas de lescalette|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=156
W|languedoc le|pas de d domaine du pas de lescalette|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=156
W|languedoc le|pas de d domaine du pas de lescalette|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=156
W|languedoc le|grand pas domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc le|grand pas domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=160
W|languedoc le|grand pas domaine du pas de lescalette|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=160
W|languedoc le|grand pas domaine du pas de lescalette|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc le|grand pas domaine du pas de lescalette|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=163
W|languedoc le|grand pas domaine du pas de lescalette|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=163
W|languedoc le|grand carre mas dagalis|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc le|grand carre mas dagalis|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=166
W|languedoc le|geai domaine de montcalmes|fr|r|??|languedoc|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc le|geai domaine de montcalmes|fr|r|??|languedoc|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|lautre blanc domaine daigues belles|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|larmanela bergerie du capucin|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|laphylante domaine vaisse|fr|r|??|languedoc|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|languedoc grenache syrah|fr|r|syrah|languedoc|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|languedoc la|soie blanche le chemin des reves|fr|r|??|languedoc|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc la|soie blanche le chemin des reves|fr|r|??|languedoc|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc la|mejanelle rouge domaine disnard|fr|r|??|languedoc|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc la|clape rouge chemin dapres|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc la|clape chateau capitoul rocaille|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc la|begou maxime magnon|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|jadis domaine leon barral|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|in bilico domaine sauta roc|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|homo habilis domaine le conte des floris|fr|r|??|languedoc|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|grenache domaine sauta roc|fr|r|grenache|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|goguette domaine de cammaous caussarelle blanc|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|faugeres tonnerre de dieu domaine leo vareille|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|euziera clos constantin|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|languedoc|drinksome|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|dourbie oscar rouge bio|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|dourbie oscar rose|fr|p|??|languedoc|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|languedoc|dourbie oscar blanc bio|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|dourbie marius rouge|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|dourbie malacoste rouge bio|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|dourbie malacoste blanc bio|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|dourbie joseph rouge bio|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine sarrat de goundy la clape bibarium|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine de nizas le clos|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine de laccent una notte|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine de laccent la rocheuse bio|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|domaine de castelnau picpoul de pinet|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|dame jeanne bergerie du capucin|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|cuvee h clos de la barthassade|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|cuvee h clos de la barthassade|fr|r|??|languedoc|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|cuvee du chasseur rg|fr|r|??|languedoc|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|languedoc|corbieres chateau mandirac domaine preigne le vieux|fr|r|??|languedoc|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
