1. W|cartuxa|branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
41. W|cartuxa|colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=40
42. W|cartuxa|colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=40
43. W|cartuxa|colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=40
44. W|cartuxa|colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=40
45. W|cartuxa|colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=40
46. W|cartuxa|colheita branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
47. W|cartuxa|colheita branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
48. W|cartuxa|colheita branco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
49. W|cartuxa|colheita branco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=48
50. W|cartuxa|colheita branco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=48
51. W|cartuxa|colheita branco evora|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
52. W|cartuxa|colheita bruto branco|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
53. W|cartuxa|colheita double magnum 3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
54. W|cartuxa|colheita imperial 5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|cartuxa|colheita magnum 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|cartuxa|colheita magnum 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=55
57. W|cartuxa|colheita magnum 1 2013 em caixa de madeira|??|f|??|??|??|2013|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
58. W|cartuxa|colheita magnum 1 2015 em caixa de madeira|??|f|??|??|??|2015|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
59. W|cartuxa|colheita red|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|cartuxa|colheita rehoboam|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|cartuxa|colheita reserve tinto evora|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
62. W|cartuxa|colheita rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
63. W|cartuxa|colheita rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=62
64. W|cartuxa|colheita rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=62
65. W|cartuxa|colheita rose|??|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
66. W|cartuxa|colheita rose|??|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco|=65
67. W|cartuxa|colheita rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
68. W|cartuxa|colheita tardia|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|cartuxa|colheita tardia branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
70. W|cartuxa|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
71. W|cartuxa|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
72. W|cartuxa|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
73. W|cartuxa|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
74. W|cartuxa|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
75. W|cartuxa|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
76. W|cartuxa|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
77. W|cartuxa|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
78. W|cartuxa|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
79. W|cartuxa|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=70
80. W|cartuxa|colheita tinto 1|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|cartuxa|colheita tinto|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|cartuxa|colheita tinto|??|r|??|??|??|1998|13.5|??|medio|carne vermelha, massas, queijos curados|seco
83. W|cartuxa|colheita tinto|??|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
84. W|cartuxa|colheita tinto|??|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|cartuxa|colheita tinto|??|r|??|??|??|2001|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|cartuxa|colheita tinto|??|r|??|??|??|2002|13.5|??|medio|carne vermelha, massas, queijos curados|seco
87. W|cartuxa|colheita tinto|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
88. W|cartuxa|colheita tinto|??|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|cartuxa|colheita tinto|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
90. W|cartuxa|colheita tinto|??|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|cartuxa|colheita tinto|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
92. W|cartuxa|colheita tinto|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|cartuxa|colheita tinto|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
94. W|cartuxa|colheita tinto|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|cartuxa|colheita tinto|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|cartuxa|colheita tinto|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
97. W|cartuxa|colheita tinto|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|cartuxa|colheita tinto|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|cartuxa|colheita tinto|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|cartuxa|colheita tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|cartuxa|colheita tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
102. W|cartuxa|colheita tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=101
103. W|cartuxa|colheita tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=101
104. W|cartuxa|colheita tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=101
105. W|cartuxa|colheita tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|cartuxa|colheita tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|cartuxa|colheita tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=106
108. W|cartuxa|colheita tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=106
109. W|cartuxa|colheita tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=106
110. W|cartuxa|colheita tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=106
111. W|cartuxa|colheita tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=106
112. W|cartuxa|colheita tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|cartuxa|colheita tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=112
114. W|cartuxa|colheita tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=112
115. W|cartuxa|colheita tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=112
116. W|cartuxa|colheita tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=112
117. W|cartuxa|colheita tinto 750ml|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|cartuxa|colheita tinto evora|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|cartuxa|colheita tinto imperial 5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|cartuxa|colheita tinto imperial 5000ml9999|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|cartuxa|colheita tinto jeroboam|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|cartuxa|colheita tinto magnum 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|cartuxa|colheita tinto magnum 1500ml|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|cartuxa|colheita tn cx pap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|cartuxa|colheita tn cx pap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=124
126. W|cartuxa|colheita white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
127. W|cartuxa|colhieta branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
128. W|cartuxa|doc alentejano evora white|??|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
129. W|cartuxa|doc alentejo 15 vol doc|pt|r|??|alentejo|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
130. W|cartuxa|doc alentejo evora blend de tintas|pt|r|??|alentejo|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
131. W|cartuxa|doc alentejo evora branco 2019 vinho de talha|pt|w|??|alentejo|??|2019|12.5|doc|medio|peixes, frutos do mar, saladas|seco
132. W|cartuxa|doc alentejo evora branco|pt|w|??|alentejo|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
133. W|cartuxa|doc alentejo evora espumante bruto branco|pt|s|??|alentejo|??|2019|12|doc|leve|frutos do mar, aperitivos, sushi|brut
134. W|cartuxa|doc alentejo evora espumante bruto rose|pt|s|??|alentejo|??|2015|12|doc|leve|frutos do mar, aperitivos, sushi|brut
135. W|cartuxa|doc alentejo evora espumante reserva bruto|pt|s|??|alentejo|??|2016|12|doc|leve|frutos do mar, aperitivos, sushi|brut
136. W|cartuxa|doc alentejo evora rose|pt|p|??|alentejo|??|2023|12|doc|leve|carne vermelha, massas, queijos curados|seco
137. W|cartuxa|doc alentejo evora tinto|pt|r|??|alentejo|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
138. W|cartuxa|doc alentejo evora tinto 2023 vinho de talha biologico|pt|r|??|alentejo|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
139. W|cartuxa|doc alentejo evora tinto reserva|pt|r|??|alentejo|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
140. W|cartuxa|ea alentejano branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
141. W|cartuxa|ea alentejano tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|cartuxa|ea biologico tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|cartuxa|ea branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
144. W|cartuxa|ea branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=143
145. W|cartuxa|ea branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
146. W|cartuxa|ea branco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
147. W|cartuxa|ea branco por|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
148. W|cartuxa|ea portuguese red mini bottles case st|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|cartuxa|ea portuguese white mini bottles case st|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
150. W|cartuxa|ea red|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|cartuxa|ea red 2021 special easter day|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|cartuxa|ea red mini|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|cartuxa|ea reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
154. W|cartuxa|ea reserva por|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
155. W|cartuxa|ea reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
156. W|cartuxa|ea reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=155
157. W|cartuxa|ea reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=155
158. W|cartuxa|ea rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
159. W|cartuxa|ea rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=158
160. W|cartuxa|ea rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=158
161. W|cartuxa|ea rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
162. W|cartuxa|ea rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
163. W|cartuxa|ea tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. W|cartuxa|ea tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=163
165. W|cartuxa|ea tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=163
166. W|cartuxa|ea tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=163
167. W|cartuxa|ea tinto 2020 portugal|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|cartuxa|ea tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|cartuxa|ea tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|cartuxa|ea tinto double magnum|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|cartuxa|ea tinto magnum 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|cartuxa|ea tinto reserva|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
173. W|cartuxa|ea white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
174. W|cartuxa|ea white mini|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
175. W|cartuxa|espumante bruto|??|s|??|??|??|2014|12|??|leve|frutos do mar, aperitivos, sushi|brut
176. W|cartuxa|espumante bruto reserva|??|s|??|??|??|2016|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
177. W|cartuxa|espumante bruto rose|??|s|??|??|??|2015|12|??|leve|frutos do mar, aperitivos, sushi|brut
178. W|cartuxa|evora|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|cartuxa|evora branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
180. W|cartuxa|evora branco colheita|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
181. W|cartuxa|evora branco colheita portugues|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
182. W|cartuxa|evora branco white wine colheita portugal|pt|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
183. W|cartuxa|evora colheita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
184. W|cartuxa|evora colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
185. W|cartuxa|evora colheita branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
186. W|cartuxa|evora colheita branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
187. W|cartuxa|evora colheita branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
188. W|cartuxa|evora colheita red blend|??|r|red blend|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|cartuxa|evora colheita rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
190. W|cartuxa|evora colheita rose portugues|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
191. W|cartuxa|evora colheita tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
192. W|cartuxa|evora colheita tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|cartuxa|evora colheita tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=192
194. W|cartuxa|evora colheita tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|cartuxa|evora colheita tinto jeroboam 2017 em caixa individual de madeira|??|f|??|??|??|2017|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
196. W|cartuxa|evora colheita tinto magnum|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|cartuxa|evora colheita tinto magnum|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|cartuxa|evora colheita tinto rehoboam 2020 em caixa individual de madeira|??|f|??|??|??|2020|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
199. W|cartuxa|evora reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
200. W|cartuxa|evora reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
201. W|cartuxa|evora reserva tinto|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=200
202. W|cartuxa|evora reserva tinto|??|r|??|??|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
203. W|cartuxa|evora reserva tinto rehoboam 2018 em caixa individual de madeira|??|f|??|??|??|2018|20|reserva|encorpado|sobremesas, queijos azuis, foie gras|doce
204. W|cartuxa|evora rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
205. W|cartuxa|evora rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
206. W|cartuxa|evora tinto 2020 145 abv|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|cartuxa|evora tinto colheita|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|cartuxa|evora tinto reserva|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
209. W|cartuxa|evora tinto reserva 2018 15 abv|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
210. W|cartuxa|evora vinha de talha 2022case only|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|cartuxa|evoru alentejo tinto reserva|pt|r|??|alentejo|??|1997|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
212. W|cartuxa|feo geno branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
213. W|cartuxa|feo geno tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|cartuxa|foral d evora tinto colheita 145vol|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|cartuxa|foral de evora branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
216. W|cartuxa|foral de evora branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=215
217. W|cartuxa|foral de evora branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
218. W|cartuxa|foral de evora colheita branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
219. W|cartuxa|foral de evora colheita tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|cartuxa|foral de evora red|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|cartuxa|foral de evora tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
222. W|cartuxa|foral de evora tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=221
223. W|cartuxa|foral de evora tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|cartuxa|foral de evora white|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
225. W|cartuxa|foral de evora white 2021 special easter day|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
226. W|cartuxa|foral devora white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
227. W|cartuxa|foral evora tn por|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|cartuxa|geno branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
229. S
230. S
231. S
232. W|cartuxa|monte de pinheiros branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
233. W|cartuxa|monte de pinheiros red|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|cartuxa|monte de pinheiros red 2020 special easter day|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
